EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KVARN_MO, SWEDEN (STAID: 5397)
Blended and updated with sources:59647 902561 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  5397,902561,20121201,    8,    0
  5397,902561,20121202,   21,    0
  5397,902561,20121203,    2,    0
  5397,902561,20121204,   80,    0
  5397,902561,20121205,  107,    0
  5397,902561,20121206,    8,    0
  5397,902561,20121207,   20,    0
  5397,902561,20121208,    0,    0
  5397,902561,20121209,-9999,    9
  5397,902561,20121210,    5,    0
  5397,902561,20121211,   13,    0
  5397,902561,20121212,    0,    0
  5397,902561,20121213,    3,    0
  5397,902561,20121214,    5,    0
  5397,902561,20121215,   60,    0
  5397,902561,20121216,    0,    0
  5397,902561,20121217,    9,    0
  5397,902561,20121218,   18,    0
  5397,902561,20121219,    4,    0
  5397,902561,20121220,    6,    0
  5397,902561,20121221,    6,    0
  5397,902561,20121222,    5,    0
  5397,902561,20121223,   41,    0
  5397,902561,20121224,   47,    0
  5397,902561,20121225,   10,    0
  5397,902561,20121226,   28,    0
  5397,902561,20121227,    0,    0
  5397,902561,20121228,   20,    0
  5397,902561,20121229,   20,    0
  5397,902561,20121230,   11,    0
  5397, 59647,20121231,   46,    0
  5397, 59647,20130101,    0,    0
  5397, 59647,20130102,    2,    0
  5397, 59647,20130103,   11,    0
  5397, 59647,20130104,    0,    0
  5397, 59647,20130105,    0,    0
  5397, 59647,20130106,    0,    0
  5397, 59647,20130107,    3,    0
  5397, 59647,20130108,    0,    0
  5397, 59647,20130109,    7,    0
  5397, 59647,20130110,   17,    0
  5397, 59647,20130111,    8,    0
  5397, 59647,20130112,    0,    0
  5397, 59647,20130113,    0,    0
  5397, 59647,20130114,   16,    0
  5397, 59647,20130115,   46,    0
  5397, 59647,20130116,    0,    0
  5397, 59647,20130117,    3,    0
  5397, 59647,20130118,   11,    0
  5397, 59647,20130119,   17,    0
  5397, 59647,20130120,    0,    0
  5397, 59647,20130121,    0,    0
  5397, 59647,20130122,    1,    0
  5397, 59647,20130123,    0,    0
  5397, 59647,20130124,    0,    0
  5397, 59647,20130125,    0,    0
  5397, 59647,20130126,    0,    0
  5397, 59647,20130127,   26,    0
  5397, 59647,20130128,    0,    0
  5397, 59647,20130129,   18,    0
  5397, 59647,20130130,    5,    0
  5397, 59647,20130131,    1,    0
  5397, 59647,20130201,    0,    0
  5397, 59647,20130202,    0,    0
  5397, 59647,20130203,    0,    0
  5397, 59647,20130204,   45,    0
  5397, 59647,20130205,   38,    0
  5397, 59647,20130206,   39,    0
  5397, 59647,20130207,   11,    0
  5397, 59647,20130208,    5,    0
  5397, 59647,20130209,   22,    0
  5397, 59647,20130210,    0,    0
  5397, 59647,20130211,    0,    0
  5397, 59647,20130212,   23,    0
  5397, 59647,20130213,    4,    0
  5397, 59647,20130214,    0,    0
  5397, 59647,20130215,    0,    0
  5397, 59647,20130216,    0,    0
  5397, 59647,20130217,   12,    0
  5397, 59647,20130218,   13,    0
  5397, 59647,20130219,    5,    0
  5397, 59647,20130220,    2,    0
  5397, 59647,20130221,    0,    0
  5397, 59647,20130222,    0,    0
  5397, 59647,20130223,    0,    0
