EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VILLINGSBERG, SWEDEN (STAID: 5455)
Blended and updated with sources:38846 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  5455, 38846,19500101,-9999,    9
  5455, 38846,19500102,    0,    0
  5455, 38846,19500103,-9999,    9
  5455, 38846,19500104,    0,    1
  5455, 38846,19500105,    0,    1
  5455, 38846,19500106,    0,    1
  5455, 38846,19500107,-9999,    9
  5455, 38846,19500108,-9999,    9
  5455, 38846,19500109,    0,    1
  5455, 38846,19500110,    0,    1
  5455, 38846,19500111,    0,    1
  5455, 38846,19500112,-9999,    9
  5455, 38846,19500113,-9999,    9
  5455, 38846,19500114,-9999,    9
  5455, 38846,19500115,-9999,    9
  5455, 38846,19500116,-9999,    9
  5455, 38846,19500117,-9999,    9
  5455, 38846,19500118,-9999,    9
  5455, 38846,19500119,-9999,    9
  5455, 38846,19500120,    0,    1
  5455, 38846,19500121,    0,    1
  5455, 38846,19500122,-9999,    9
  5455, 38846,19500123,-9999,    9
  5455, 38846,19500124,-9999,    9
  5455, 38846,19500125,    0,    0
  5455, 38846,19500126,-9999,    9
  5455, 38846,19500127,    0,    0
  5455, 38846,19500128,-9999,    9
  5455, 38846,19500129,    0,    0
  5455, 38846,19500130,-9999,    9
  5455, 38846,19500131,-9999,    9
  5455, 38846,19500201,-9999,    9
  5455, 38846,19500202,    0,    0
  5455, 38846,19500203,-9999,    9
  5455, 38846,19500204,-9999,    9
  5455, 38846,19500205,-9999,    9
  5455, 38846,19500206,-9999,    9
  5455, 38846,19500207,    0,    0
  5455, 38846,19500208,-9999,    9
  5455, 38846,19500209,-9999,    9
  5455, 38846,19500210,-9999,    9
  5455, 38846,19500211,-9999,    9
  5455, 38846,19500212,-9999,    9
  5455, 38846,19500213,-9999,    9
  5455, 38846,19500214,-9999,    9
  5455, 38846,19500215,-9999,    9
  5455, 38846,19500216,-9999,    9
  5455, 38846,19500217,-9999,    9
  5455, 38846,19500218,-9999,    9
  5455, 38846,19500219,-9999,    9
  5455, 38846,19500220,    0,    1
  5455, 38846,19500221,    0,    1
  5455, 38846,19500222,-9999,    9
  5455, 38846,19500223,    0,    1
  5455, 38846,19500224,    0,    1
  5455, 38846,19500225,    0,    1
  5455, 38846,19500226,    0,    1
  5455, 38846,19500227,    0,    1
  5455, 38846,19500228,    0,    1
  5455, 38846,19500301,    0,    1
  5455, 38846,19500302,    0,    1
  5455, 38846,19500303,-9999,    9
  5455, 38846,19500304,-9999,    9
  5455, 38846,19500305,    0,    1
  5455, 38846,19500306,    0,    1
  5455, 38846,19500307,    0,    1
  5455, 38846,19500308,    0,    1
  5455, 38846,19500309,    0,    1
  5455, 38846,19500310,-9999,    9
  5455, 38846,19500311,    0,    1
  5455, 38846,19500312,    0,    1
  5455, 38846,19500313,    0,    1
  5455, 38846,19500314,    0,    1
  5455, 38846,19500315,    0,    1
  5455, 38846,19500316,-9999,    9
  5455, 38846,19500317,-9999,    9
  5455, 38846,19500318,-9999,    9
  5455, 38846,19500319,    0,    1
  5455, 38846,19500320,    0,    1
  5455, 38846,19500321,    0,    1
  5455, 38846,19500322,    0,    1
  5455, 38846,19500323,-9999,    9
  5455, 38846,19500324,-9999,    9
  5455, 38846,19500325,    0,    0
  5455, 38846,19500326,-9999,    9
  5455, 38846,19500327,    0,    1
  5455, 38846,19500328,    0,    1
  5455, 38846,19500329,    0,    1
  5455, 38846,19500330,    0,    1
  5455, 38846,19500331,    0,    1
  5455, 38846,19500401,-9999,    9
  5455, 38846,19500402,-9999,    9
  5455, 38846,19500403,-9999,    9
  5455, 38846,19500404,-9999,    9
  5455, 38846,19500405,    0,    1
  5455, 38846,19500406,    0,    1
  5455, 38846,19500407,    0,    1
  5455, 38846,19500408,-9999,    9
  5455, 38846,19500409,-9999,    9
  5455, 38846,19500410,-9999,    9
  5455, 38846,19500411,-9999,    9
  5455, 38846,19500412,-9999,    9
  5455, 38846,19500413,-9999,    9
  5455, 38846,19500414,    0,    1
  5455, 38846,19500415,    0,    1
  5455, 38846,19500416,-9999,    9
  5455, 38846,19500417,-9999,    9
  5455, 38846,19500418,-9999,    9
  5455, 38846,19500419,-9999,    9
  5455, 38846,19500420,    0,    1
  5455, 38846,19500421,    0,    1
  5455, 38846,19500422,    0,    1
  5455, 38846,19500423,    0,    1
  5455, 38846,19500424,-9999,    9
  5455, 38846,19500425,-9999,    9
  5455, 38846,19500426,-9999,    9
  5455, 38846,19500427,    0,    0
  5455, 38846,19500428,-9999,    9
  5455, 38846,19500429,-9999,    9
  5455, 38846,19500430,    0,    0
  5455, 38846,19500501,-9999,    9
  5455, 38846,19500502,-9999,    9
  5455, 38846,19500503,    0,    0
  5455, 38846,19500504,-9999,    9
  5455, 38846,19500505,    0,    1
  5455, 38846,19500506,    0,    1
  5455, 38846,19500507,    0,    1
  5455, 38846,19500508,    0,    1
  5455, 38846,19500509,    0,    1
  5455, 38846,19500510,    0,    1
  5455, 38846,19500511,    0,    1
  5455, 38846,19500512,    0,    1
  5455, 38846,19500513,    0,    1
  5455, 38846,19500514,    0,    1
  5455, 38846,19500515,    0,    1
  5455, 38846,19500516,    0,    1
  5455, 38846,19500517,-9999,    9
  5455, 38846,19500518,    0,    0
  5455, 38846,19500519,-9999,    9
  5455, 38846,19500520,-9999,    9
  5455, 38846,19500521,    0,    0
  5455, 38846,19500522,-9999,    9
  5455, 38846,19500523,-9999,    9
  5455, 38846,19500524,    0,    1
  5455, 38846,19500525,    0,    1
  5455, 38846,19500526,-9999,    9
  5455, 38846,19500527,-9999,    9
  5455, 38846,19500528,-9999,    9
  5455, 38846,19500529,    0,    0
  5455, 38846,19500530,-9999,    9
  5455, 38846,19500531,    0,    1
  5455, 38846,19500601,    0,    1
  5455, 38846,19500602,    0,    1
  5455, 38846,19500603,    0,    1
  5455, 38846,19500604,    0,    1
  5455, 38846,19500605,    0,    1
  5455, 38846,19500606,    0,    1
  5455, 38846,19500607,    0,    1
  5455, 38846,19500608,    0,    1
  5455, 38846,19500609,-9999,    9
  5455, 38846,19500610,-9999,    9
  5455, 38846,19500611,    0,    1
  5455, 38846,19500612,    0,    1
  5455, 38846,19500613,-9999,    9
  5455, 38846,19500614,-9999,    9
  5455, 38846,19500615,-9999,    9
  5455, 38846,19500616,-9999,    9
  5455, 38846,19500617,-9999,    9
  5455, 38846,19500618,-9999,    9
  5455, 38846,19500619,-9999,    9
  5455, 38846,19500620,    0,    0
  5455, 38846,19500621,-9999,    9
  5455, 38846,19500622,-9999,    9
  5455, 38846,19500623,-9999,    9
  5455, 38846,19500624,-9999,    9
  5455, 38846,19500625,-9999,    9
  5455, 38846,19500626,    0,    1
  5455, 38846,19500627,    0,    1
  5455, 38846,19500628,-9999,    9
  5455, 38846,19500629,-9999,    9
  5455, 38846,19500630,-9999,    9
  5455, 38846,19500701,-9999,    9
  5455, 38846,19500702,    0,    1
  5455, 38846,19500703,    0,    1
  5455, 38846,19500704,-9999,    9
  5455, 38846,19500705,    0,    1
  5455, 38846,19500706,    0,    1
  5455, 38846,19500707,    0,    1
  5455, 38846,19500708,-9999,    9
  5455, 38846,19500709,    0,    0
  5455, 38846,19500710,-9999,    9
  5455, 38846,19500711,-9999,    9
  5455, 38846,19500712,    0,    0
  5455, 38846,19500713,-9999,    9
  5455, 38846,19500714,    0,    1
  5455, 38846,19500715,    0,    1
  5455, 38846,19500716,    0,    1
  5455, 38846,19500717,-9999,    9
  5455, 38846,19500718,-9999,    9
  5455, 38846,19500719,-9999,    9
  5455, 38846,19500720,    0,    1
  5455, 38846,19500721,    0,    1
  5455, 38846,19500722,-9999,    9
  5455, 38846,19500723,-9999,    9
  5455, 38846,19500724,-9999,    9
  5455, 38846,19500725,-9999,    9
  5455, 38846,19500726,-9999,    9
  5455, 38846,19500727,-9999,    9
  5455, 38846,19500728,-9999,    9
  5455, 38846,19500729,-9999,    9
  5455, 38846,19500730,-9999,    9
  5455, 38846,19500731,    0,    1
  5455, 38846,19500801,    0,    1
  5455, 38846,19500802,-9999,    9
  5455, 38846,19500803,    0,    0
  5455, 38846,19500804,-9999,    9
  5455, 38846,19500805,    0,    1
  5455, 38846,19500806,    0,    1
  5455, 38846,19500807,    0,    1
  5455, 38846,19500808,    0,    1
  5455, 38846,19500809,    0,    1
  5455, 38846,19500810,    0,    1
  5455, 38846,19500811,-9999,    9
  5455, 38846,19500812,-9999,    9
  5455, 38846,19500813,-9999,    9
  5455, 38846,19500814,    0,    1
  5455, 38846,19500815,    0,    1
  5455, 38846,19500816,    0,    1
  5455, 38846,19500817,-9999,    9
  5455, 38846,19500818,-9999,    9
  5455, 38846,19500819,    0,    1
  5455, 38846,19500820,    0,    1
  5455, 38846,19500821,-9999,    9
  5455, 38846,19500822,-9999,    9
  5455, 38846,19500823,-9999,    9
  5455, 38846,19500824,-9999,    9
  5455, 38846,19500825,-9999,    9
  5455, 38846,19500826,    0,    0
