EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SALA, SWEDEN (STAID: 5518)
Blended and updated with sources:39178 39182 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  5518, 39178,19510601,    0,    0
  5518, 39178,19510602,    0,    0
  5518, 39178,19510603,    9,    0
  5518, 39178,19510604,   55,    0
  5518, 39178,19510605,   13,    0
  5518, 39178,19510606,    6,    0
  5518, 39178,19510607,    0,    0
  5518, 39178,19510608,    0,    0
  5518, 39178,19510609,    0,    0
  5518, 39178,19510610,    0,    0
  5518, 39178,19510611,    0,    0
  5518, 39178,19510612,    0,    0
  5518, 39178,19510613,  124,    0
  5518, 39178,19510614,    0,    0
  5518, 39178,19510615,    0,    0
  5518, 39178,19510616,    0,    0
  5518, 39178,19510617,    0,    0
  5518, 39178,19510618,    0,    0
  5518, 39178,19510619,    8,    0
  5518, 39178,19510620,    0,    0
  5518, 39178,19510621,    0,    0
  5518, 39178,19510622,    0,    0
  5518, 39178,19510623,    0,    0
  5518, 39178,19510624,    1,    0
  5518, 39178,19510625,    0,    0
  5518, 39178,19510626,  531,    0
  5518, 39178,19510627,    0,    0
  5518, 39178,19510628,  120,    0
  5518, 39178,19510629,   40,    0
  5518, 39178,19510630,    0,    0
  5518, 39178,19510701,    0,    0
  5518, 39178,19510702,   34,    0
  5518, 39178,19510703,   29,    0
  5518, 39178,19510704,    0,    0
  5518, 39178,19510705,    0,    0
  5518, 39178,19510706,    0,    0
  5518, 39178,19510707,   63,    0
  5518, 39178,19510708,    0,    0
  5518, 39178,19510709,   39,    0
  5518, 39178,19510710,   11,    0
  5518, 39178,19510711,   18,    0
  5518, 39178,19510712,    0,    0
  5518, 39178,19510713,    0,    0
  5518, 39178,19510714,    0,    0
  5518, 39178,19510715,    0,    0
  5518, 39178,19510716,    0,    0
  5518, 39178,19510717,    0,    0
  5518, 39178,19510718,   70,    0
  5518, 39178,19510719,    0,    0
  5518, 39178,19510720,    0,    0
  5518, 39178,19510721,    0,    0
  5518, 39178,19510722,    0,    0
  5518, 39178,19510723,    0,    0
  5518, 39178,19510724,    0,    0
  5518, 39178,19510725,    0,    0
  5518, 39178,19510726,    0,    0
  5518, 39178,19510727,    0,    0
  5518, 39178,19510728,    0,    0
  5518, 39178,19510729,    0,    0
  5518, 39178,19510730,    0,    0
  5518, 39178,19510731,    0,    0
  5518, 39178,19510801,    0,    0
  5518, 39178,19510802,   64,    0
  5518, 39178,19510803,    0,    0
  5518, 39178,19510804,    0,    0
  5518, 39178,19510805,    0,    0
  5518, 39178,19510806,   54,    0
  5518, 39178,19510807,    0,    0
  5518, 39178,19510808,    0,    0
  5518, 39178,19510809,  267,    0
  5518, 39178,19510810,  631,    0
  5518, 39178,19510811,   11,    0
  5518, 39178,19510812,   22,    0
  5518, 39178,19510813,    5,    0
  5518, 39178,19510814,    4,    0
  5518, 39178,19510815,    0,    0
  5518, 39178,19510816,  120,    0
  5518, 39178,19510817,   10,    0
  5518, 39178,19510818,    0,    0
  5518, 39178,19510819,    0,    0
  5518, 39178,19510820,   60,    0
  5518, 39178,19510821,   23,    0
  5518, 39178,19510822,   10,    0
  5518, 39178,19510823,   61,    0
  5518, 39178,19510824,    0,    0
  5518, 39178,19510825,    3,    0
  5518, 39178,19510826,    2,    0
  5518, 39178,19510827,   36,    0
  5518, 39178,19510828,   13,    0
  5518, 39178,19510829,    0,    0
  5518, 39178,19510830,    0,    0
  5518, 39178,19510831,  116,    0
  5518, 39178,19510901,   55,    0
  5518, 39178,19510902,   16,    0
  5518, 39178,19510903,    0,    0
  5518, 39178,19510904,    0,    0
  5518, 39178,19510905,    0,    0
  5518, 39178,19510906,    0,    0
  5518, 39178,19510907,    0,    0
  5518, 39178,19510908,    0,    0
  5518, 39178,19510909,    0,    0
  5518, 39178,19510910,    0,    0
  5518, 39178,19510911,    0,    0
  5518, 39178,19510912,    0,    0
  5518, 39178,19510913,    0,    0
  5518, 39178,19510914,   22,    0
  5518, 39178,19510915,  189,    0
  5518, 39178,19510916,    0,    0
  5518, 39178,19510917,    3,    0
  5518, 39178,19510918,   73,    0
  5518, 39178,19510919,   57,    0
  5518, 39178,19510920,    0,    0
  5518, 39178,19510921,    0,    0
  5518, 39178,19510922,    1,    0
  5518, 39178,19510923,    2,    0
