EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SARNA, SWEDEN (STAID: 5603)
Blended and updated with sources:39668 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  5603, 39668,18790801,    0,    0
  5603, 39668,18790802,    5,    0
  5603, 39668,18790803,   50,    0
  5603, 39668,18790804,   13,    0
  5603, 39668,18790805,    0,    0
  5603, 39668,18790806,    0,    0
  5603, 39668,18790807,  183,    0
  5603, 39668,18790808,    7,    0
  5603, 39668,18790809,   14,    0
  5603, 39668,18790810,   79,    0
  5603, 39668,18790811,    4,    0
  5603, 39668,18790812,    0,    0
  5603, 39668,18790813,    0,    0
  5603, 39668,18790814,    0,    0
  5603, 39668,18790815,    0,    0
  5603, 39668,18790816,    0,    0
  5603, 39668,18790817,    0,    0
  5603, 39668,18790818,    0,    0
  5603, 39668,18790819,    0,    0
  5603, 39668,18790820,    0,    0
  5603, 39668,18790821,   24,    0
  5603, 39668,18790822,   44,    0
  5603, 39668,18790823,    0,    0
  5603, 39668,18790824,    1,    0
  5603, 39668,18790825,    1,    0
  5603, 39668,18790826,    9,    0
  5603, 39668,18790827,   33,    0
  5603, 39668,18790828,  129,    0
  5603, 39668,18790829,    2,    0
  5603, 39668,18790830,    0,    0
  5603, 39668,18790831,   18,    0
  5603, 39668,18790901,   12,    0
  5603, 39668,18790902,   77,    0
  5603, 39668,18790903,    0,    0
  5603, 39668,18790904,    0,    0
  5603, 39668,18790905,    1,    0
  5603, 39668,18790906,    0,    0
  5603, 39668,18790907,    0,    0
  5603, 39668,18790908,    0,    0
  5603, 39668,18790909,   81,    0
  5603, 39668,18790910,    6,    0
  5603, 39668,18790911,    0,    0
  5603, 39668,18790912,   32,    0
  5603, 39668,18790913,   70,    0
  5603, 39668,18790914,  359,    0
  5603, 39668,18790915,    0,    0
  5603, 39668,18790916,    1,    0
  5603, 39668,18790917,    3,    0
  5603, 39668,18790918,    0,    0
  5603, 39668,18790919,   78,    0
  5603, 39668,18790920,    8,    0
  5603, 39668,18790921,    2,    0
  5603, 39668,18790922,  115,    0
  5603, 39668,18790923,    7,    0
  5603, 39668,18790924,  244,    0
  5603, 39668,18790925,   50,    0
  5603, 39668,18790926,    0,    0
  5603, 39668,18790927,    0,    0
  5603, 39668,18790928,   16,    0
  5603, 39668,18790929,   53,    0
  5603, 39668,18790930,    7,    0
  5603, 39668,18791001,    1,    0
  5603, 39668,18791002,   47,    0
  5603, 39668,18791003,   65,    0
  5603, 39668,18791004,    2,    0
  5603, 39668,18791005,    3,    0
  5603, 39668,18791006,    0,    0
  5603, 39668,18791007,    3,    0
  5603, 39668,18791008,    2,    0
  5603, 39668,18791009,    0,    0
  5603, 39668,18791010,    9,    0
  5603, 39668,18791011,   20,    0
  5603, 39668,18791012,    0,    0
  5603, 39668,18791013,    0,    0
  5603, 39668,18791014,    0,    0
  5603, 39668,18791015,    0,    0
  5603, 39668,18791016,    0,    0
  5603, 39668,18791017,   31,    0
  5603, 39668,18791018,    0,    0
  5603, 39668,18791019,   44,    0
  5603, 39668,18791020,    2,    0
  5603, 39668,18791021,    2,    0
  5603, 39668,18791022,   10,    0
  5603, 39668,18791023,    0,    0
  5603, 39668,18791024,   31,    0
  5603, 39668,18791025,   19,    0
  5603, 39668,18791026,    3,    0
  5603, 39668,18791027,    0,    0
  5603, 39668,18791028,    0,    0
  5603, 39668,18791029,    6,    0
  5603, 39668,18791030,    0,    0
  5603, 39668,18791031,   20,    0
  5603, 39668,18791101,   13,    0
  5603, 39668,18791102,    0,    0
  5603, 39668,18791103,   10,    0
  5603, 39668,18791104,    0,    0
  5603, 39668,18791105,    0,    0
  5603, 39668,18791106,   23,    0
  5603, 39668,18791107,    0,    0
  5603, 39668,18791108,    0,    0
  5603, 39668,18791109,    0,    0
  5603, 39668,18791110,    0,    0
  5603, 39668,18791111,    0,    0
  5603, 39668,18791112,   12,    0
  5603, 39668,18791113,    0,    0
  5603, 39668,18791114,    0,    0
  5603, 39668,18791115,    0,    0
  5603, 39668,18791116,   25,    0
  5603, 39668,18791117,    0,    0
  5603, 39668,18791118,    0,    0
  5603, 39668,18791119,    0,    0
  5603, 39668,18791120,    0,    0
  5603, 39668,18791121,    0,    0
  5603, 39668,18791122,    1,    0
  5603, 39668,18791123,    1,    0
  5603, 39668,18791124,    0,    0
  5603, 39668,18791125,    0,    0
  5603, 39668,18791126,    0,    0
  5603, 39668,18791127,    0,    0
  5603, 39668,18791128,    0,    0
  5603, 39668,18791129,    1,    0
  5603, 39668,18791130,    0,    0
  5603, 39668,18791201,    0,    0
  5603, 39668,18791202,    0,    0
  5603, 39668,18791203,    2,    0
  5603, 39668,18791204,    0,    0
  5603, 39668,18791205,   24,    0
  5603, 39668,18791206,    2,    0
  5603, 39668,18791207,    0,    0
  5603, 39668,18791208,    0,    0
  5603, 39668,18791209,    0,    0
  5603, 39668,18791210,    0,    0
  5603, 39668,18791211,    0,    0
  5603, 39668,18791212,    0,    0
  5603, 39668,18791213,    0,    0
  5603, 39668,18791214,    0,    0
  5603, 39668,18791215,    0,    0
  5603, 39668,18791216,    0,    0
  5603, 39668,18791217,    0,    0
  5603, 39668,18791218,    0,    0
  5603, 39668,18791219,    0,    0
  5603, 39668,18791220,    0,    0
  5603, 39668,18791221,    0,    0
  5603, 39668,18791222,    0,    0
  5603, 39668,18791223,    0,    0
  5603, 39668,18791224,    0,    0
