EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station YTTERHOGDAL, SWEDEN (STAID: 5623)
Blended and updated with sources:39754 39764 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  5623, 39764,19450701,    0,    0
  5623, 39764,19450702,    4,    0
  5623, 39764,19450703,    0,    0
  5623, 39764,19450704,    0,    0
  5623, 39764,19450705,    0,    0
  5623, 39764,19450706,  180,    0
  5623, 39764,19450707,    0,    0
  5623, 39764,19450708,   40,    0
  5623, 39764,19450709,  238,    0
  5623, 39764,19450710,    0,    0
  5623, 39764,19450711,    0,    0
  5623, 39764,19450712,    0,    0
  5623, 39764,19450713,  140,    0
  5623, 39764,19450714,    0,    0
  5623, 39764,19450715,    0,    0
  5623, 39764,19450716,    0,    0
  5623, 39764,19450717,    0,    0
  5623, 39764,19450718,   46,    0
  5623, 39764,19450719,    0,    0
  5623, 39764,19450720,   45,    0
  5623, 39764,19450721,    0,    0
  5623, 39764,19450722,   49,    0
  5623, 39764,19450723,    3,    0
  5623, 39764,19450724,    6,    0
  5623, 39764,19450725,    0,    0
  5623, 39764,19450726,    0,    0
  5623, 39764,19450727,   12,    0
  5623, 39764,19450728,    0,    0
  5623, 39764,19450729,   50,    0
  5623, 39764,19450730,   63,    0
  5623, 39764,19450731,    0,    0
  5623, 39764,19450801,    0,    0
  5623, 39764,19450802,   10,    0
  5623, 39764,19450803,    0,    0
  5623, 39764,19450804,    0,    0
  5623, 39764,19450805,    0,    0
  5623, 39764,19450806,   99,    0
  5623, 39764,19450807,    0,    0
  5623, 39764,19450808,   18,    0
  5623, 39764,19450809,    0,    0
  5623, 39764,19450810,    0,    0
  5623, 39764,19450811,    0,    0
  5623, 39764,19450812,   20,    0
  5623, 39764,19450813,    0,    0
  5623, 39764,19450814,   71,    0
  5623, 39764,19450815,   39,    0
  5623, 39764,19450816,    0,    0
  5623, 39764,19450817,   49,    0
  5623, 39764,19450818,  110,    0
  5623, 39764,19450819,  180,    0
  5623, 39764,19450820,    5,    0
  5623, 39764,19450821,   48,    0
  5623, 39764,19450822,   50,    0
  5623, 39764,19450823,    5,    0
  5623, 39764,19450824,   41,    0
  5623, 39764,19450825,  150,    0
  5623, 39764,19450826,    0,    0
  5623, 39764,19450827,    0,    0
  5623, 39764,19450828,    0,    0
  5623, 39764,19450829,    0,    0
  5623, 39764,19450830,    0,    0
  5623, 39764,19450831,    0,    0
  5623, 39764,19450901,    2,    0
  5623, 39764,19450902,    0,    0
  5623, 39764,19450903,    0,    0
  5623, 39764,19450904,   11,    0
  5623, 39764,19450905,    2,    0
  5623, 39764,19450906,    0,    0
  5623, 39764,19450907,    0,    0
  5623, 39764,19450908,    0,    0
  5623, 39764,19450909,    0,    0
  5623, 39764,19450910,    0,    0
  5623, 39764,19450911,    0,    0
  5623, 39764,19450912,    0,    0
  5623, 39764,19450913,    0,    0
  5623, 39764,19450914,   12,    0
  5623, 39764,19450915,    0,    0
  5623, 39764,19450916,    0,    0
  5623, 39764,19450917,    0,    0
  5623, 39764,19450918,    0,    0
  5623, 39764,19450919,    0,    0
  5623, 39764,19450920,   60,    0
  5623, 39764,19450921,    0,    0
  5623, 39764,19450922,   11,    0
  5623, 39764,19450923,  135,    0
  5623, 39764,19450924,   10,    0
  5623, 39764,19450925,    0,    0
  5623, 39764,19450926,   12,    0
  5623, 39764,19450927,    0,    0
  5623, 39764,19450928,   10,    0
  5623, 39764,19450929,   10,    0
  5623, 39764,19450930,    8,    0
  5623, 39764,19451001,    0,    0
  5623, 39764,19451002,    5,    0
  5623, 39764,19451003,    0,    0
  5623, 39764,19451004,    0,    0
  5623, 39764,19451005,    5,    0
  5623, 39764,19451006,    0,    0
  5623, 39764,19451007,    0,    0
  5623, 39764,19451008,    0,    0
  5623, 39764,19451009,   10,    0
  5623, 39764,19451010,    0,    0
  5623, 39764,19451011,    0,    0
  5623, 39764,19451012,   12,    0
  5623, 39764,19451013,   30,    0
  5623, 39764,19451014,   13,    0
  5623, 39764,19451015,    5,    0
  5623, 39764,19451016,    0,    0
  5623, 39764,19451017,    0,    0
  5623, 39764,19451018,    0,    0
  5623, 39764,19451019,    0,    0
  5623, 39764,19451020,    0,    0
  5623, 39764,19451021,    0,    0
  5623, 39764,19451022,    4,    0
  5623, 39764,19451023,    0,    0
  5623, 39764,19451024,    0,    0
  5623, 39764,19451025,   51,    0
  5623, 39764,19451026,   75,    0
  5623, 39764,19451027,    0,    0
  5623, 39764,19451028,    0,    0
  5623, 39764,19451029,   42,    0
  5623, 39764,19451030,    0,    0
  5623, 39764,19451031,    0,    0
  5623, 39764,19451101,    0,    0
  5623, 39764,19451102,    0,    0
  5623, 39764,19451103,    0,    0
  5623, 39764,19451104,    0,    0
  5623, 39764,19451105,    0,    0
  5623, 39764,19451106,    0,    0
  5623, 39764,19451107,  120,    0
  5623, 39764,19451108,   48,    0
  5623, 39764,19451109,    0,    0
  5623, 39764,19451110,    0,    0
  5623, 39764,19451111,    0,    0
  5623, 39764,19451112,    0,    0
  5623, 39764,19451113,    0,    0
  5623, 39764,19451114,    0,    0
  5623, 39764,19451115,    0,    0
  5623, 39764,19451116,   39,    0
  5623, 39764,19451117,    0,    0
  5623, 39764,19451118,    0,    0
  5623, 39764,19451119,    0,    0
  5623, 39764,19451120,    0,    0
  5623, 39764,19451121,    0,    0
  5623, 39764,19451122,    0,    0
  5623, 39764,19451123,    0,    0
  5623, 39764,19451124,    0,    0
  5623, 39764,19451125,   30,    0
  5623, 39764,19451126,    0,    0
  5623, 39764,19451127,    0,    0
  5623, 39764,19451128,    6,    0
  5623, 39764,19451129,   50,    0
  5623, 39764,19451130,    0,    0
  5623, 39764,19451201,   39,    0
  5623, 39764,19451202,    0,    0
  5623, 39764,19451203,   28,    0
  5623, 39764,19451204,    0,    0
  5623, 39764,19451205,    0,    0
  5623, 39764,19451206,    0,    0
  5623, 39764,19451207,    0,    0
  5623, 39764,19451208,    0,    0
  5623, 39764,19451209,   20,    0
  5623, 39764,19451210,    0,    0
  5623, 39764,19451211,    0,    0
  5623, 39764,19451212,    0,    0
  5623, 39764,19451213,    0,    0
  5623, 39764,19451214,    0,    0
  5623, 39764,19451215,   10,    0
  5623, 39764,19451216,    0,    0
