EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OVERANG, SWEDEN (STAID: 5697)
Blended and updated with sources:40166 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  5697, 40166,19450101,  162,    0
  5697, 40166,19450102,   16,    0
  5697, 40166,19450103,   45,    0
  5697, 40166,19450104,    0,    0
  5697, 40166,19450105,    0,    0
  5697, 40166,19450106,   15,    0
  5697, 40166,19450107,  104,    0
  5697, 40166,19450108,    0,    0
  5697, 40166,19450109,    0,    0
  5697, 40166,19450110,    0,    0
  5697, 40166,19450111,    0,    0
  5697, 40166,19450112,    0,    0
  5697, 40166,19450113,   63,    0
  5697, 40166,19450114,   94,    0
  5697, 40166,19450115,   10,    0
  5697, 40166,19450116,   47,    0
  5697, 40166,19450117,   81,    0
  5697, 40166,19450118,    0,    0
  5697, 40166,19450119,    0,    0
  5697, 40166,19450120,    0,    0
  5697, 40166,19450121,   26,    0
  5697, 40166,19450122,    0,    0
  5697, 40166,19450123,   12,    0
  5697, 40166,19450124,   51,    0
  5697, 40166,19450125,    6,    0
  5697, 40166,19450126,    5,    0
  5697, 40166,19450127,    0,    0
  5697, 40166,19450128,    0,    0
  5697, 40166,19450129,    0,    0
  5697, 40166,19450130,    0,    0
  5697, 40166,19450131,    0,    0
  5697, 40166,19450201,    0,    0
  5697, 40166,19450202,   27,    0
  5697, 40166,19450203,    0,    0
  5697, 40166,19450204,   29,    0
  5697, 40166,19450205,   51,    0
  5697, 40166,19450206,    0,    0
  5697, 40166,19450207,   34,    0
  5697, 40166,19450208,   21,    0
  5697, 40166,19450209,   10,    0
  5697, 40166,19450210,    0,    0
  5697, 40166,19450211,    0,    0
  5697, 40166,19450212,    0,    0
  5697, 40166,19450213,    5,    0
  5697, 40166,19450214,    0,    0
  5697, 40166,19450215,    0,    0
  5697, 40166,19450216,    0,    0
  5697, 40166,19450217,    0,    0
  5697, 40166,19450218,   14,    0
  5697, 40166,19450219,    0,    0
  5697, 40166,19450220,   45,    0
  5697, 40166,19450221,    0,    0
  5697, 40166,19450222,  138,    0
  5697, 40166,19450223,    0,    0
  5697, 40166,19450224,    4,    0
  5697, 40166,19450225,   86,    0
  5697, 40166,19450226,  126,    0
  5697, 40166,19450227,   36,    0
  5697, 40166,19450228,  147,    0
  5697, 40166,19450301,   50,    0
  5697, 40166,19450302,   28,    0
  5697, 40166,19450303,   50,    0
  5697, 40166,19450304,   12,    0
  5697, 40166,19450305,   38,    0
  5697, 40166,19450306,   22,    0
  5697, 40166,19450307,   15,    0
  5697, 40166,19450308,   50,    0
  5697, 40166,19450309,   33,    0
  5697, 40166,19450310,   96,    0
  5697, 40166,19450311,    9,    0
  5697, 40166,19450312,    3,    0
  5697, 40166,19450313,   28,    0
  5697, 40166,19450314,   63,    0
  5697, 40166,19450315,   53,    0
  5697, 40166,19450316,    0,    0
  5697, 40166,19450317,    3,    0
  5697, 40166,19450318,    0,    0
  5697, 40166,19450319,    4,    0
  5697, 40166,19450320,   48,    0
  5697, 40166,19450321,   30,    0
  5697, 40166,19450322,  118,    0
  5697, 40166,19450323,    0,    0
  5697, 40166,19450324,    0,    0
  5697, 40166,19450325,    0,    0
  5697, 40166,19450326,    0,    0
  5697, 40166,19450327,    0,    0
  5697, 40166,19450328,    0,    0
  5697, 40166,19450329,    0,    0
  5697, 40166,19450330,    0,    0
  5697, 40166,19450331,    0,    0
  5697, 40166,19450401,   70,    0
  5697, 40166,19450402,    0,    0
  5697, 40166,19450403,    0,    0
  5697, 40166,19450404,    0,    0
  5697, 40166,19450405,    0,    0
  5697, 40166,19450406,    0,    0
  5697, 40166,19450407,    5,    0
  5697, 40166,19450408,   20,    0
  5697, 40166,19450409,   56,    0
  5697, 40166,19450410,   92,    0
  5697, 40166,19450411,    9,    0
  5697, 40166,19450412,   14,    0
  5697, 40166,19450413,    0,    0
  5697, 40166,19450414,    0,    0
  5697, 40166,19450415,    0,    0
  5697, 40166,19450416,   89,    0
  5697, 40166,19450417,    0,    0
  5697, 40166,19450418,   63,    0
  5697, 40166,19450419,    8,    0
  5697, 40166,19450420,    0,    0
  5697, 40166,19450421,   38,    0
  5697, 40166,19450422,    0,    0
  5697, 40166,19450423,    0,    0
  5697, 40166,19450424,    3,    0
  5697, 40166,19450425,    0,    0
  5697, 40166,19450426,    0,    0
  5697, 40166,19450427,   30,    0
  5697, 40166,19450428,   42,    0
  5697, 40166,19450429,   88,    0
  5697, 40166,19450430,   79,    0
  5697, 40166,19450501,    0,    0
  5697, 40166,19450502,    0,    0
  5697, 40166,19450503,    0,    0
  5697, 40166,19450504,    0,    0
  5697, 40166,19450505,    9,    0
  5697, 40166,19450506,   29,    0
  5697, 40166,19450507,    0,    0
  5697, 40166,19450508,    0,    0
  5697, 40166,19450509,    0,    0
  5697, 40166,19450510,   13,    0
  5697, 40166,19450511,   71,    0
  5697, 40166,19450512,    3,    0
  5697, 40166,19450513,   77,    0
  5697, 40166,19450514,  147,    0
  5697, 40166,19450515,    0,    0
  5697, 40166,19450516,    0,    0
  5697, 40166,19450517,   10,    0
  5697, 40166,19450518,   35,    0
  5697, 40166,19450519,    4,    0
  5697, 40166,19450520,    0,    0
  5697, 40166,19450521,    0,    0
  5697, 40166,19450522,    0,    0
  5697, 40166,19450523,    2,    0
  5697, 40166,19450524,    0,    0
  5697, 40166,19450525,    0,    0
  5697, 40166,19450526,    0,    0
  5697, 40166,19450527,    0,    0
  5697, 40166,19450528,    0,    0
  5697, 40166,19450529,    0,    0
  5697, 40166,19450530,   47,    0
  5697, 40166,19450531,    0,    0
  5697, 40166,19450601,    0,    0
  5697, 40166,19450602,    0,    0
  5697, 40166,19450603,   49,    0
  5697, 40166,19450604,   54,    0
  5697, 40166,19450605,   33,    0
  5697, 40166,19450606,    0,    0
  5697, 40166,19450607,   31,    0
  5697, 40166,19450608,    0,    0
  5697, 40166,19450609,  153,    0
  5697, 40166,19450610,    3,    0
  5697, 40166,19450611,    0,    0
  5697, 40166,19450612,   11,    0
  5697, 40166,19450613,    5,    0
  5697, 40166,19450614,   10,    0
  5697, 40166,19450615,    0,    0
  5697, 40166,19450616,    7,    0
  5697, 40166,19450617,    5,    0
  5697, 40166,19450618,    4,    0
  5697, 40166,19450619,   10,    0
  5697, 40166,19450620,    0,    0
  5697, 40166,19450621,    0,    0
  5697, 40166,19450622,    0,    0
  5697, 40166,19450623,    0,    0
  5697, 40166,19450624,    0,    0
  5697, 40166,19450625,    5,    0
  5697, 40166,19450626,   21,    0
  5697, 40166,19450627,    8,    0
  5697, 40166,19450628,    0,    0
  5697, 40166,19450629,    0,    0
  5697, 40166,19450630,    0,    0
  5697, 40166,19450701,    0,    0
  5697, 40166,19450702,    0,    0
  5697, 40166,19450703,    0,    0
  5697, 40166,19450704,    0,    0
  5697, 40166,19450705,    0,    0
  5697, 40166,19450706,    0,    0
  5697, 40166,19450707,    0,    0
  5697, 40166,19450708,   63,    0
  5697, 40166,19450709,   82,    0
  5697, 40166,19450710,   40,    0
  5697, 40166,19450711,    0,    0
  5697, 40166,19450712,    0,    0
  5697, 40166,19450713,    0,    0
  5697, 40166,19450714,    0,    0
  5697, 40166,19450715,    0,    0
  5697, 40166,19450716,    0,    0
  5697, 40166,19450717,    0,    0
  5697, 40166,19450718,    0,    0
  5697, 40166,19450719,    0,    0
  5697, 40166,19450720,    0,    0
  5697, 40166,19450721,   66,    0
  5697, 40166,19450722,    2,    0
  5697, 40166,19450723,    0,    0
  5697, 40166,19450724,   91,    0
  5697, 40166,19450725,   64,    0
  5697, 40166,19450726,   57,    0
  5697, 40166,19450727,    0,    0
  5697, 40166,19450728,    0,    0
  5697, 40166,19450729,   80,    0
  5697, 40166,19450730,   40,    0
  5697, 40166,19450731,    0,    0
  5697, 40166,19450801,    4,    0
  5697, 40166,19450802,    0,    0
  5697, 40166,19450803,    0,    0
  5697, 40166,19450804,    0,    0
  5697, 40166,19450805,   65,    0
  5697, 40166,19450806,   11,    0
  5697, 40166,19450807,    0,    0
  5697, 40166,19450808,    0,    0
  5697, 40166,19450809,    0,    0
  5697, 40166,19450810,    0,    0
  5697, 40166,19450811,    0,    0
  5697, 40166,19450812,    0,    0
  5697, 40166,19450813,    0,    0
  5697, 40166,19450814,    0,    0
  5697, 40166,19450815,    0,    0
  5697, 40166,19450816,    0,    0
  5697, 40166,19450817,   10,    0
  5697, 40166,19450818,   80,    0
  5697, 40166,19450819,  136,    0
  5697, 40166,19450820,  100,    0
  5697, 40166,19450821,    2,    0
  5697, 40166,19450822,   14,    0
  5697, 40166,19450823,    0,    0
  5697, 40166,19450824,   15,    0
  5697, 40166,19450825,  109,    0
  5697, 40166,19450826,    4,    0
  5697, 40166,19450827,   37,    0
  5697, 40166,19450828,   17,    0
  5697, 40166,19450829,   13,    0
  5697, 40166,19450830,   40,    0
  5697, 40166,19450831,   42,    0
  5697, 40166,19450901,   15,    0
  5697, 40166,19450902,    2,    0
  5697, 40166,19450903,    0,    0
  5697, 40166,19450904,   22,    0
  5697, 40166,19450905,   14,    0
  5697, 40166,19450906,    7,    0
  5697, 40166,19450907,    7,    0
  5697, 40166,19450908,    0,    0
  5697, 40166,19450909,    0,    0
  5697, 40166,19450910,    0,    0
  5697, 40166,19450911,    0,    0
  5697, 40166,19450912,    0,    0
  5697, 40166,19450913,    0,    0
  5697, 40166,19450914,   33,    0
  5697, 40166,19450915,    4,    0
  5697, 40166,19450916,    8,    0
  5697, 40166,19450917,    4,    0
  5697, 40166,19450918,    0,    0
  5697, 40166,19450919,    0,    0
  5697, 40166,19450920,   47,    0
  5697, 40166,19450921,    0,    0
  5697, 40166,19450922,   39,    0
  5697, 40166,19450923,   80,    0
  5697, 40166,19450924,   10,    0
  5697, 40166,19450925,    0,    0
  5697, 40166,19450926,    0,    0
  5697, 40166,19450927,   33,    0
  5697, 40166,19450928,    0,    0
  5697, 40166,19450929,    0,    0
  5697, 40166,19450930,   39,    0
  5697, 40166,19451001,    7,    0
  5697, 40166,19451002,    0,    0
  5697, 40166,19451003,   22,    0
  5697, 40166,19451004,   25,    0
  5697, 40166,19451005,   35,    0
  5697, 40166,19451006,   21,    0
  5697, 40166,19451007,    3,    0
  5697, 40166,19451008,   16,    0
  5697, 40166,19451009,  134,    0
  5697, 40166,19451010,   36,    0
  5697, 40166,19451011,    0,    0
  5697, 40166,19451012,   30,    0
  5697, 40166,19451013,  122,    0
  5697, 40166,19451014,   41,    0
  5697, 40166,19451015,    0,    0
  5697, 40166,19451016,   24,    0
  5697, 40166,19451017,   35,    0
  5697, 40166,19451018,    0,    0
  5697, 40166,19451019,    0,    0
  5697, 40166,19451020,    0,    0
  5697, 40166,19451021,    0,    0
  5697, 40166,19451022,    9,    0
  5697, 40166,19451023,    0,    0
  5697, 40166,19451024,    0,    0
  5697, 40166,19451025,    0,    0
  5697, 40166,19451026,   19,    0
  5697, 40166,19451027,   13,    0
  5697, 40166,19451028,    5,    0
  5697, 40166,19451029,    0,    0
  5697, 40166,19451030,    0,    0
  5697, 40166,19451031,   35,    0
  5697, 40166,19451101,   22,    0
  5697, 40166,19451102,    0,    0
  5697, 40166,19451103,    0,    0
  5697, 40166,19451104,    0,    0
  5697, 40166,19451105,    0,    0
  5697, 40166,19451106,   51,    0
  5697, 40166,19451107,  226,    0
  5697, 40166,19451108,    5,    0
  5697, 40166,19451109,    0,    0
  5697, 40166,19451110,   11,    0
  5697, 40166,19451111,    0,    0
  5697, 40166,19451112,    0,    0
  5697, 40166,19451113,    0,    0
  5697, 40166,19451114,    0,    0
  5697, 40166,19451115,    0,    0
  5697, 40166,19451116,    0,    0
  5697, 40166,19451117,   18,    0
  5697, 40166,19451118,    0,    0
  5697, 40166,19451119,    0,    0
  5697, 40166,19451120,    0,    0
  5697, 40166,19451121,    8,    0
  5697, 40166,19451122,    0,    0
  5697, 40166,19451123,    8,    0
  5697, 40166,19451124,    0,    0
  5697, 40166,19451125,  128,    0
  5697, 40166,19451126,   17,    0
  5697, 40166,19451127,   91,    0
  5697, 40166,19451128,   49,    0
  5697, 40166,19451129,   24,    0
  5697, 40166,19451130,    0,    0
  5697, 40166,19451201,    0,    0
  5697, 40166,19451202,    0,    0
  5697, 40166,19451203,   28,    0
  5697, 40166,19451204,    0,    0
  5697, 40166,19451205,    0,    0
  5697, 40166,19451206,    0,    0
  5697, 40166,19451207,    0,    0
  5697, 40166,19451208,    0,    0
  5697, 40166,19451209,  200,    0
  5697, 40166,19451210,   69,    0
  5697, 40166,19451211,    0,    0
  5697, 40166,19451212,    0,    0
  5697, 40166,19451213,   34,    0
  5697, 40166,19451214,   46,    0
  5697, 40166,19451215,   23,    0
  5697, 40166,19451216,   26,    0
  5697, 40166,19451217,  171,    0
  5697, 40166,19451218,  108,    0
  5697, 40166,19451219,    0,    0
  5697, 40166,19451220,   67,    0
  5697, 40166,19451221,    0,    0
  5697, 40166,19451222,    0,    0
  5697, 40166,19451223,    0,    0
  5697, 40166,19451224,    0,    0
  5697, 40166,19451225,    0,    0
  5697, 40166,19451226,    0,    0
  5697, 40166,19451227,    0,    0
  5697, 40166,19451228,    0,    0
  5697, 40166,19451229,    0,    0
  5697, 40166,19451230,    0,    0
  5697, 40166,19451231,    0,    0
  5697, 40166,19460101,   33,    0
  5697, 40166,19460102,    0,    0
  5697, 40166,19460103,   10,    0
  5697, 40166,19460104,   41,    0
  5697, 40166,19460105,  168,    0
  5697, 40166,19460106,   47,    0
  5697, 40166,19460107,  220,    0
  5697, 40166,19460108,    0,    0
  5697, 40166,19460109,    0,    0
  5697, 40166,19460110,   57,    0
  5697, 40166,19460111,    0,    0
  5697, 40166,19460112,    0,    0
  5697, 40166,19460113,    0,    0
  5697, 40166,19460114,    0,    0
  5697, 40166,19460115,    0,    0
  5697, 40166,19460116,    0,    0
  5697, 40166,19460117,    0,    0
  5697, 40166,19460118,    0,    0
  5697, 40166,19460119,    0,    0
  5697, 40166,19460120,    0,    0
  5697, 40166,19460121,    0,    0
  5697, 40166,19460122,    0,    0
  5697, 40166,19460123,    0,    0
  5697, 40166,19460124,    0,    0
  5697, 40166,19460125,    0,    0
  5697, 40166,19460126,    0,    0
  5697, 40166,19460127,    0,    0
  5697, 40166,19460128,   39,    0
  5697, 40166,19460129,   19,    0
  5697, 40166,19460130,    0,    0
  5697, 40166,19460131,   18,    0
  5697, 40166,19460201,   41,    0
  5697, 40166,19460202,    0,    0
  5697, 40166,19460203,    0,    0
  5697, 40166,19460204,    0,    0
  5697, 40166,19460205,    0,    0
  5697, 40166,19460206,    0,    0
  5697, 40166,19460207,   16,    0
  5697, 40166,19460208,   27,    0
  5697, 40166,19460209,    0,    0
  5697, 40166,19460210,   55,    0
  5697, 40166,19460211,    0,    0
  5697, 40166,19460212,    0,    0
  5697, 40166,19460213,   20,    0
  5697, 40166,19460214,   51,    0
  5697, 40166,19460215,  105,    0
  5697, 40166,19460216,  115,    0
  5697, 40166,19460217,  102,    0
  5697, 40166,19460218,  130,    0
  5697, 40166,19460219,   73,    0
  5697, 40166,19460220,    0,    0
  5697, 40166,19460221,    0,    0
  5697, 40166,19460222,    0,    0
  5697, 40166,19460223,    0,    0
  5697, 40166,19460224,    0,    0
  5697, 40166,19460225,    0,    0
  5697, 40166,19460226,    0,    0
  5697, 40166,19460227,    0,    0
  5697, 40166,19460228,   10,    0
  5697, 40166,19460301,    0,    0
  5697, 40166,19460302,    0,    0
  5697, 40166,19460303,   11,    0
  5697, 40166,19460304,    0,    0
  5697, 40166,19460305,   11,    0
  5697, 40166,19460306,    0,    0
  5697, 40166,19460307,    0,    0
  5697, 40166,19460308,    0,    0
  5697, 40166,19460309,    0,    0
  5697, 40166,19460310,    0,    0
  5697, 40166,19460311,    0,    0
  5697, 40166,19460312,    6,    0
  5697, 40166,19460313,    0,    0
  5697, 40166,19460314,    0,    0
  5697, 40166,19460315,    0,    0
  5697, 40166,19460316,   35,    0
  5697, 40166,19460317,   20,    0
  5697, 40166,19460318,   48,    0
  5697, 40166,19460319,   50,    0
  5697, 40166,19460320,   12,    0
  5697, 40166,19460321,   70,    0
  5697, 40166,19460322,    0,    0
  5697, 40166,19460323,    0,    0
  5697, 40166,19460324,    0,    0
  5697, 40166,19460325,   52,    0
  5697, 40166,19460326,   55,    0
  5697, 40166,19460327,   27,    0
  5697, 40166,19460328,    5,    0
  5697, 40166,19460329,    0,    0
  5697, 40166,19460330,  148,    0
  5697, 40166,19460331,  134,    0
  5697, 40166,19460401,   55,    0
  5697, 40166,19460402,  154,    0
  5697, 40166,19460403,   27,    0
  5697, 40166,19460404,   14,    0
  5697, 40166,19460405,   19,    0
  5697, 40166,19460406,   24,    0
  5697, 40166,19460407,   68,    0
  5697, 40166,19460408,   26,    0
  5697, 40166,19460409,   56,    0
  5697, 40166,19460410,   16,    0
  5697, 40166,19460411,    0,    0
  5697, 40166,19460412,    0,    0
  5697, 40166,19460413,   56,    0
  5697, 40166,19460414,   40,    0
  5697, 40166,19460415,    0,    0
  5697, 40166,19460416,   15,    0
  5697, 40166,19460417,   47,    0
  5697, 40166,19460418,   17,    0
  5697, 40166,19460419,   20,    0
  5697, 40166,19460420,   30,    0
  5697, 40166,19460421,   22,    0
  5697, 40166,19460422,   20,    0
  5697, 40166,19460423,   29,    0
  5697, 40166,19460424,    0,    0
  5697, 40166,19460425,    0,    0
  5697, 40166,19460426,   15,    0
  5697, 40166,19460427,   10,    0
  5697, 40166,19460428,    0,    0
  5697, 40166,19460429,   48,    0
  5697, 40166,19460430,    2,    0
  5697, 40166,19460501,    0,    0
