EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PITEA, SWEDEN (STAID: 5764)
Blended and updated with sources:40492 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  5764, 40492,18590701,-9999,    9
  5764, 40492,18590702,-9999,    9
  5764, 40492,18590703,-9999,    9
  5764, 40492,18590704,-9999,    9
  5764, 40492,18590705,-9999,    9
  5764, 40492,18590706,-9999,    9
  5764, 40492,18590707,    0,    0
  5764, 40492,18590708,    1,    0
  5764, 40492,18590709,    0,    0
  5764, 40492,18590710,    0,    0
  5764, 40492,18590711,    0,    0
  5764, 40492,18590712,    1,    0
  5764, 40492,18590713,    6,    0
  5764, 40492,18590714,    0,    0
  5764, 40492,18590715,   37,    0
  5764, 40492,18590716,    0,    0
  5764, 40492,18590717,    0,    0
  5764, 40492,18590718,    1,    0
  5764, 40492,18590719,   43,    0
  5764, 40492,18590720,    0,    0
  5764, 40492,18590721,    0,    0
  5764, 40492,18590722,    0,    0
  5764, 40492,18590723,    0,    0
  5764, 40492,18590724,    0,    0
  5764, 40492,18590725,    0,    0
  5764, 40492,18590726,    0,    0
  5764, 40492,18590727,    0,    0
  5764, 40492,18590728,   13,    0
  5764, 40492,18590729,   25,    0
  5764, 40492,18590730,    0,    0
  5764, 40492,18590731,    0,    0
  5764, 40492,18590801,   28,    0
  5764, 40492,18590802,  181,    0
  5764, 40492,18590803,    4,    0
  5764, 40492,18590804,    0,    0
  5764, 40492,18590805,   84,    0
  5764, 40492,18590806,    0,    0
  5764, 40492,18590807,   18,    0
  5764, 40492,18590808,   16,    0
  5764, 40492,18590809,   37,    0
  5764, 40492,18590810,   19,    0
  5764, 40492,18590811,   23,    0
  5764, 40492,18590812,    7,    0
