EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ABRAUR, SWEDEN (STAID: 5804)
Blended and updated with sources:40664 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  5804, 40664,19910701,    0,    0
  5804, 40664,19910702,    0,    0
  5804, 40664,19910703,    0,    0
  5804, 40664,19910704,    0,    0
  5804, 40664,19910705,    0,    0
  5804, 40664,19910706,    0,    0
  5804, 40664,19910707,    0,    0
  5804, 40664,19910708,    0,    0
  5804, 40664,19910709,    0,    0
  5804, 40664,19910710,    3,    0
  5804, 40664,19910711,    0,    0
  5804, 40664,19910712,    7,    0
  5804, 40664,19910713,   20,    0
  5804, 40664,19910714,  122,    0
  5804, 40664,19910715,   39,    0
  5804, 40664,19910716,   50,    0
  5804, 40664,19910717,    5,    0
  5804, 40664,19910718,   10,    0
  5804, 40664,19910719,   10,    0
  5804, 40664,19910720,    0,    0
  5804, 40664,19910721,    0,    0
  5804, 40664,19910722,    5,    0
  5804, 40664,19910723,    0,    0
  5804, 40664,19910724,    5,    0
  5804, 40664,19910725,    0,    0
  5804, 40664,19910726,   10,    0
  5804, 40664,19910727,   10,    0
  5804, 40664,19910728,    0,    0
  5804, 40664,19910729,    0,    0
  5804, 40664,19910730,    0,    0
  5804, 40664,19910731,    0,    0
  5804, 40664,19910801,    0,    0
  5804, 40664,19910802,    0,    0
  5804, 40664,19910803,    9,    0
  5804, 40664,19910804,  177,    0
  5804, 40664,19910805,    0,    0
  5804, 40664,19910806,  224,    0
  5804, 40664,19910807,    0,    0
  5804, 40664,19910808,    3,    0
  5804, 40664,19910809,  150,    0
  5804, 40664,19910810,   75,    0
