EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MALMBERGET, SWEDEN (STAID: 5842)
Blended and updated with sources:40830 40836 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  5842, 40836,19440502,    0,    0
  5842, 40836,19440503,    0,    0
  5842, 40836,19440504,    0,    0
  5842, 40836,19440505,    0,    0
  5842, 40836,19440506,    0,    0
  5842, 40836,19440507,    0,    0
  5842, 40836,19440508,    0,    0
  5842, 40836,19440509,    0,    0
  5842, 40836,19440510,    0,    0
  5842, 40836,19440511,    0,    0
  5842, 40836,19440512,    0,    0
  5842, 40836,19440513,    0,    0
  5842, 40836,19440514,    0,    0
  5842, 40836,19440515,    0,    0
  5842, 40836,19440516,    0,    0
  5842, 40836,19440517,    0,    0
  5842, 40836,19440518,    0,    0
  5842, 40836,19440519,    0,    0
  5842, 40836,19440520,    0,    0
  5842, 40836,19440521,    0,    0
  5842, 40836,19440522,    0,    0
  5842, 40836,19440523,    0,    0
  5842, 40836,19440524,   10,    0
  5842, 40836,19440525,    3,    0
  5842, 40836,19440526,    0,    0
  5842, 40836,19440527,    0,    0
  5842, 40836,19440528,    0,    0
  5842, 40836,19440529,    0,    0
  5842, 40836,19440530,    8,    0
  5842, 40836,19440531,   45,    0
  5842, 40836,19440601,    0,    0
  5842, 40836,19440602,    7,    0
  5842, 40836,19440603,    4,    0
  5842, 40836,19440604,    0,    0
  5842, 40836,19440605,    0,    0
  5842, 40836,19440606,    0,    0
  5842, 40836,19440607,    0,    0
  5842, 40836,19440608,    0,    0
  5842, 40836,19440609,    0,    0
  5842, 40836,19440610,    0,    0
  5842, 40836,19440611,  170,    0
  5842, 40836,19440612,   26,    0
  5842, 40836,19440613,    3,    0
  5842, 40836,19440614,    8,    0
  5842, 40836,19440615,  138,    0
  5842, 40836,19440616,   94,    0
  5842, 40836,19440617,    0,    0
  5842, 40836,19440618,    0,    0
  5842, 40836,19440619,    0,    0
  5842, 40836,19440620,    0,    0
  5842, 40836,19440621,    0,    0
  5842, 40836,19440622,    0,    0
  5842, 40836,19440623,    0,    0
  5842, 40836,19440624,    0,    0
  5842, 40836,19440625,    0,    0
  5842, 40836,19440626,    0,    0
  5842, 40836,19440627,   34,    0
  5842, 40836,19440628,   22,    0
  5842, 40836,19440629,    0,    0
  5842, 40836,19440630,    0,    0
  5842, 40836,19440701,    0,    0
  5842, 40836,19440702,    0,    0
  5842, 40836,19440703,    0,    0
  5842, 40836,19440704,    0,    0
  5842, 40836,19440705,    0,    0
  5842, 40836,19440706,    0,    0
  5842, 40836,19440707,    0,    0
  5842, 40836,19440708,    0,    0
  5842, 40836,19440709,    0,    0
  5842, 40836,19440710,   68,    0
  5842, 40836,19440711,   39,    0
  5842, 40836,19440712,    7,    0
  5842, 40836,19440713,    0,    0
  5842, 40836,19440714,    0,    0
  5842, 40836,19440715,    0,    0
  5842, 40836,19440716,    0,    0
  5842, 40836,19440717,  160,    0
  5842, 40836,19440718,    3,    0
  5842, 40836,19440719,  129,    0
  5842, 40836,19440720,    2,    0
  5842, 40836,19440721,    0,    0
  5842, 40836,19440722,   80,    0
  5842, 40836,19440723,   12,    0
  5842, 40836,19440724,  304,    0
  5842, 40836,19440725,  104,    0
  5842, 40836,19440726,    0,    0
  5842, 40836,19440727,    0,    0
  5842, 40836,19440728,    0,    0
  5842, 40836,19440729,    0,    0
  5842, 40836,19440730,    0,    0
  5842, 40836,19440731,    6,    0
  5842, 40836,19440801,    0,    0
  5842, 40836,19440802,    0,    0
  5842, 40836,19440803,    0,    0
  5842, 40836,19440804,    0,    0
  5842, 40836,19440805,    0,    0
  5842, 40836,19440806,    2,    0
  5842, 40836,19440807,   18,    0
  5842, 40836,19440808,   80,    0
  5842, 40836,19440809,   17,    0
  5842, 40836,19440810,  194,    0
  5842, 40836,19440811,   10,    0
  5842, 40836,19440812,    0,    0
  5842, 40836,19440813,   40,    0
  5842, 40836,19440814,   40,    0
  5842, 40836,19440815,    7,    0
  5842, 40836,19440816,  116,    0
  5842, 40836,19440817,   10,    0
  5842, 40836,19440818,   25,    0
  5842, 40836,19440819,  156,    0
  5842, 40836,19440820,    0,    0
  5842, 40836,19440821,   65,    0
  5842, 40836,19440822,   11,    0
  5842, 40836,19440823,    0,    0
  5842, 40836,19440824,   31,    0
  5842, 40836,19440825,    0,    0
  5842, 40836,19440826,    0,    0
  5842, 40836,19440827,    4,    0
  5842, 40836,19440828,   42,    0
  5842, 40836,19440829,  180,    0
  5842, 40836,19440830,    0,    0
  5842, 40836,19440831,    1,    0
  5842, 40836,19440901,    0,    0
  5842, 40836,19440902,    8,    0
  5842, 40836,19440903,    0,    0
  5842, 40836,19440904,    0,    0
  5842, 40836,19440905,    0,    0
  5842, 40836,19440906,    0,    0
