EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KAVLINGE, SWEDEN (STAID: 5903)
Blended and updated with sources:37580 37582 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  5903, 37582,19450101,    0,    1
  5903, 37582,19450102,   33,    0
  5903, 37582,19450103,   19,    0
  5903, 37582,19450104,   39,    1
  5903, 37582,19450105,    0,    1
  5903, 37582,19450106,    5,    0
  5903, 37582,19450107,   23,    0
  5903, 37582,19450108,    5,    0
  5903, 37582,19450109,   46,    0
  5903, 37580,19450110,   80,    0
  5903, 37580,19450111,   10,    1
  5903, 37582,19450112,    0,    1
  5903, 37582,19450113,    0,    1
  5903, 37582,19450114,    0,    1
  5903, 37582,19450115,    0,    1
  5903, 37582,19450116,   42,    0
  5903, 37582,19450117,   14,    0
  5903, 37582,19450118,  165,    1
  5903, 37582,19450119,    0,    1
  5903, 37582,19450120,    0,    1
  5903, 37582,19450121,    0,    1
  5903, 37582,19450122,    0,    1
  5903, 37582,19450123,    0,    1
  5903, 37582,19450124,    0,    1
  5903, 37582,19450125,    9,    0
  5903, 37582,19450126,  155,    0
  5903, 37582,19450127,  120,    1
  5903, 37582,19450128,    0,    1
  5903, 37582,19450129,    0,    1
  5903, 37582,19450130,    0,    1
  5903, 37582,19450131,   62,    0
  5903, 37582,19450201,  117,    0
  5903, 37582,19450202,   75,    1
  5903, 37582,19450203,    0,    1
  5903, 37582,19450204,    0,    1
  5903, 37580,19450205,    5,    0
  5903, 37580,19450206,    1,    0
  5903, 37580,19450207,   69,    0
  5903, 37580,19450208,    1,    0
  5903, 37582,19450209,   10,    0
  5903, 37582,19450210,   51,    0
  5903, 37582,19450211,   32,    0
  5903, 37582,19450212,    2,    0
  5903, 37582,19450213,  102,    0
  5903, 37582,19450214,   18,    1
  5903, 37582,19450215,    0,    1
  5903, 37582,19450216,    0,    1
  5903, 37582,19450217,    0,    1
  5903, 37582,19450218,    0,    1
  5903, 37582,19450219,    3,    0
  5903, 37582,19450220,   26,    1
  5903, 37582,19450221,    0,    1
  5903, 37582,19450222,    0,    1
  5903, 37582,19450223,    0,    1
  5903, 37582,19450224,    0,    1
  5903, 37582,19450225,  105,    0
  5903, 37582,19450226,    4,    1
  5903, 37582,19450227,    0,    1
  5903, 37582,19450228,    0,    1
  5903, 37582,19450301,   20,    1
  5903, 37582,19450302,    0,    1
  5903, 37582,19450303,    0,    1
  5903, 37582,19450304,    0,    1
  5903, 37582,19450305,    0,    1
  5903, 37582,19450306,    0,    1
  5903, 37582,19450307,    0,    1
  5903, 37582,19450308,    0,    1
  5903, 37582,19450309,    0,    1
  5903, 37582,19450310,    0,    1
  5903, 37580,19450311,    1,    0
  5903, 37580,19450312,    2,    0
  5903, 37582,19450313,    5,    0
  5903, 37582,19450314,    2,    1
  5903, 37582,19450315,    0,    1
  5903, 37582,19450316,   40,    0
  5903, 37580,19450317,    2,    0
  5903, 37580,19450318,    1,    0
  5903, 37582,19450319,   75,    0
  5903, 37580,19450320,   10,    1
  5903, 37582,19450321,    0,    1
  5903, 37582,19450322,    0,    1
  5903, 37582,19450323,    0,    1
  5903, 37582,19450324,    0,    1
  5903, 37582,19450325,    0,    1
  5903, 37582,19450326,    0,    1
  5903, 37580,19450327,    2,    0
  5903, 37580,19450328,    1,    0
  5903, 37582,19450329,   50,    0
  5903, 37582,19450330,    6,    0
  5903, 37582,19450331,   38,    0
  5903, 37582,19450401,   58,    0
  5903, 37582,19450402,   55,    0
  5903, 37580,19450403,   45,    0
  5903, 37580,19450404,    2,    1
  5903, 37582,19450405,    0,    1
  5903, 37582,19450406,    0,    1
  5903, 37582,19450407,    0,    1
  5903, 37582,19450408,    0,    1
  5903, 37582,19450409,    0,    1
  5903, 37582,19450410,    0,    1
  5903, 37582,19450411,    0,    1
  5903, 37582,19450412,    0,    1
  5903, 37582,19450413,   27,    1
  5903, 37582,19450414,    0,    1
  5903, 37582,19450415,    0,    1
  5903, 37582,19450416,    0,    1
  5903, 37582,19450417,    0,    1
  5903, 37582,19450418,    2,    1
  5903, 37582,19450419,    0,    1
  5903, 37582,19450420,   19,    0
  5903, 37582,19450421,    8,    0
  5903, 37582,19450422,    2,    1
  5903, 37582,19450423,    0,    1
  5903, 37582,19450424,    0,    1
  5903, 37582,19450425,    0,    1
  5903, 37582,19450426,    0,    1
  5903, 37582,19450427,   72,    0
  5903, 37582,19450428,   37,    0
  5903, 37582,19450429,    5,    0
  5903, 37582,19450430,    7,    0
  5903, 37582,19450501,   24,    0
  5903, 37582,19450502,   22,    1
  5903, 37582,19450503,    0,    1
  5903, 37582,19450504,   37,    1
  5903, 37582,19450505,    0,    1
  5903, 37582,19450506,    0,    1
  5903, 37582,19450507,    0,    1
  5903, 37582,19450508,    0,    1
  5903, 37580,19450509,    3,    0
  5903, 37582,19450510,   53,    1
  5903, 37582,19450511,    0,    1
  5903, 37582,19450512,    0,    1
  5903, 37582,19450513,    0,    1
  5903, 37582,19450514,   12,    1
  5903, 37582,19450515,    0,    1
  5903, 37582,19450516,    1,    1
  5903, 37582,19450517,    0,    1
  5903, 37582,19450518,    0,    1
  5903, 37582,19450519,    0,    1
  5903, 37582,19450520,    0,    1
  5903, 37582,19450521,    0,    1
  5903, 37582,19450522,    0,    1
  5903, 37582,19450523,    0,    1
  5903, 37582,19450524,   33,    1
  5903, 37582,19450525,    0,    1
  5903, 37582,19450526,    0,    1
  5903, 37582,19450527,   30,    1
  5903, 37582,19450528,    0,    1
  5903, 37582,19450529,    0,    1
  5903, 37582,19450530,   28,    1
  5903, 37582,19450531,    0,    1
  5903, 37582,19450601,    0,    1
  5903, 37582,19450602,    0,    1
  5903, 37582,19450603,    0,    1
  5903, 37582,19450604,    2,    1
  5903, 37582,19450605,    0,    1
  5903, 37582,19450606,  103,    0
  5903, 37582,19450607,   45,    1
  5903, 37582,19450608,    0,    1
  5903, 37582,19450609,    0,    1
  5903, 37582,19450610,   64,    0
  5903, 37582,19450611,   60,    0
  5903, 37582,19450612,   24,    0
  5903, 37582,19450613,   52,    0
  5903, 37582,19450614,   62,    0
  5903, 37582,19450615,   65,    0
  5903, 37582,19450616,   36,    0
  5903, 37582,19450617,   70,    1
  5903, 37582,19450618,    0,    1
  5903, 37582,19450619,    0,    1
  5903, 37582,19450620,    0,    1
  5903, 37582,19450621,    0,    1
  5903, 37582,19450622,    0,    1
  5903, 37582,19450623,    0,    1
  5903, 37582,19450624,    0,    1
  5903, 37582,19450625,    0,    1
  5903, 37582,19450626,    0,    1
  5903, 37582,19450627,  325,    0
  5903, 37582,19450628,  207,    0
  5903, 37582,19450629,   71,    0
  5903, 37582,19450630,   17,    0
  5903, 37582,19450701,    7,    0
  5903, 37582,19450702,    2,    0
  5903, 37582,19450703,   13,    0
  5903, 37582,19450704,   12,    0
  5903, 37582,19450705,   74,    0
  5903, 37582,19450706,   14,    0
  5903, 37582,19450707,   12,    0
  5903, 37582,19450708,   20,    1
  5903, 37582,19450709,    0,    1
  5903, 37582,19450710,    0,    1
  5903, 37582,19450711,    0,    1
  5903, 37582,19450712,    0,    1
  5903, 37582,19450713,    0,    1
  5903, 37582,19450714,    0,    1
  5903, 37582,19450715,    0,    1
  5903, 37582,19450716,    0,    1
  5903, 37582,19450717,    0,    1
  5903, 37582,19450718,    6,    0
  5903, 37582,19450719,   84,    0
  5903, 37582,19450720,  168,    0
  5903, 37582,19450721,  118,    0
  5903, 37582,19450722,  206,    0
  5903, 37582,19450723,    2,    1
  5903, 37582,19450724,    0,    1
  5903, 37582,19450725,    0,    1
  5903, 37582,19450726,   38,    0
  5903, 37582,19450727,   33,    1
  5903, 37582,19450728,    0,    1
  5903, 37582,19450729,    1,    0
  5903, 37580,19450730,   20,    1
  5903, 37582,19450731,    0,    1
  5903, 37582,19450801,    0,    1
  5903, 37582,19450802,    0,    1
  5903, 37582,19450803,    0,    1
  5903, 37582,19450804,    0,    1
  5903, 37582,19450805,    0,    1
  5903, 37582,19450806,    0,    1
  5903, 37582,19450807,  129,    0
  5903, 37582,19450808,   11,    0
  5903, 37582,19450809,   87,    0
  5903, 37582,19450810,    4,    0
  5903, 37582,19450811,  333,    0
  5903, 37582,19450812,  209,    0
  5903, 37582,19450813,   80,    0
  5903, 37582,19450814,   14,    0
  5903, 37582,19450815,  200,    0
  5903, 37582,19450816,  102,    1
  5903, 37582,19450817,    0,    1
  5903, 37582,19450818,    0,    1
  5903, 37582,19450819,    0,    1
  5903, 37582,19450820,    0,    1
  5903, 37582,19450821,   14,    0
  5903, 37582,19450822,   47,    0
  5903, 37582,19450823,  110,    0
  5903, 37582,19450824,   75,    0
  5903, 37582,19450825,    2,    1
  5903, 37582,19450826,    0,    1
  5903, 37580,19450827,    1,    1
  5903, 37582,19450828,    0,    1
  5903, 37582,19450829,    0,    1
  5903, 37580,19450830,    1,    1
  5903, 37582,19450831,    0,    1
  5903, 37582,19450901,    0,    1
  5903, 37582,19450902,    0,    1
  5903, 37582,19450903,    0,    1
  5903, 37582,19450904,    0,    1
  5903, 37582,19450905,    0,    1
  5903, 37582,19450906,    0,    1
  5903, 37582,19450907,    0,    1
  5903, 37582,19450908,    0,    1
  5903, 37582,19450909,    0,    1
  5903, 37582,19450910,    0,    1
  5903, 37582,19450911,    0,    1
  5903, 37582,19450912,    0,    1
  5903, 37582,19450913,    0,    1
  5903, 37582,19450914,   28,    0
  5903, 37582,19450915,   35,    0
  5903, 37582,19450916,   74,    0
  5903, 37582,19450917,    3,    0
  5903, 37582,19450918,   68,    0
  5903, 37582,19450919,   75,    0
  5903, 37580,19450920,   55,    0
  5903, 37580,19450921,    2,    0
  5903, 37580,19450922,   17,    1
  5903, 37582,19450923,    0,    1
  5903, 37582,19450924,    0,    1
  5903, 37582,19450925,    5,    0
  5903, 37582,19450926,    6,    0
  5903, 37582,19450927,   18,    0
  5903, 37582,19450928,    7,    1
  5903, 37582,19450929,    0,    1
  5903, 37582,19450930,   62,    0
  5903, 37582,19451001,    1,    1
  5903, 37582,19451002,    0,    1
  5903, 37582,19451003,    0,    1
  5903, 37582,19451004,   25,    0
  5903, 37582,19451005,   30,    1
  5903, 37582,19451006,    0,    1
  5903, 37582,19451007,    0,    1
  5903, 37582,19451008,   22,    1
  5903, 37582,19451009,    0,    1
  5903, 37580,19451010,   73,    0
  5903, 37580,19451011,    1,    0
  5903, 37582,19451012,    8,    0
  5903, 37580,19451013,    5,    0
  5903, 37580,19451014,    1,    0
  5903, 37580,19451015,    2,    0
  5903, 37580,19451016,    8,    0
  5903, 37580,19451017,    1,    1
  5903, 37582,19451018,    0,    1
  5903, 37582,19451019,    0,    1
  5903, 37582,19451020,    0,    1
  5903, 37582,19451021,    0,    1
  5903, 37582,19451022,   75,    0
  5903, 37582,19451023,    6,    0
  5903, 37582,19451024,  116,    0
  5903, 37582,19451025,   72,    0
  5903, 37582,19451026,  103,    0
  5903, 37582,19451027,   40,    0
  5903, 37582,19451028,    3,    1
  5903, 37582,19451029,    0,    1
  5903, 37580,19451030,    1,    1
  5903, 37582,19451031,    0,    1
  5903, 37582,19451101,    1,    0
  5903, 37582,19451102,    2,    1
  5903, 37582,19451103,    0,    1
  5903, 37582,19451104,    0,    1
  5903, 37582,19451105,    0,    1
  5903, 37582,19451106,    0,    1
