EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LANDSKRONA_D, SWEDEN (STAID: 5907)
Blended and updated with sources:37592 37598 37600 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  5907, 37592,19450101,   10,    0
  5907, 37592,19450102,   12,    0
  5907, 37592,19450103,   20,    0
  5907, 37592,19450104,   68,    0
  5907, 37600,19450105,    0,    0
  5907, 37592,19450106,   10,    0
  5907, 37592,19450107,    7,    0
  5907, 37592,19450108,    8,    0
  5907, 37592,19450109,   36,    0
  5907, 37592,19450110,   50,    0
  5907, 37600,19450111,    0,    0
  5907, 37600,19450112,    0,    0
  5907, 37600,19450113,    0,    0
  5907, 37600,19450114,    0,    0
  5907, 37600,19450115,    0,    0
  5907, 37592,19450116,   43,    0
  5907, 37600,19450117,    4,    0
  5907, 37592,19450118,  141,    0
  5907, 37600,19450119,    1,    0
  5907, 37600,19450120,    0,    0
  5907, 37600,19450121,    0,    0
  5907, 37600,19450122,    0,    0
  5907, 37600,19450123,    0,    0
  5907, 37600,19450124,    0,    0
  5907, 37592,19450125,    7,    0
  5907, 37592,19450126,   53,    0
  5907, 37592,19450127,   66,    0
  5907, 37600,19450128,    0,    0
  5907, 37600,19450129,    0,    0
  5907, 37600,19450130,    0,    0
  5907, 37592,19450131,   48,    0
  5907, 37592,19450201,   94,    0
  5907, 37592,19450202,   58,    0
  5907, 37592,19450203,    2,    0
  5907, 37592,19450204,    0,    0
  5907, 37592,19450205,    2,    0
  5907, 37592,19450206,    0,    0
  5907, 37592,19450207,   48,    0
  5907, 37592,19450208,    0,    0
  5907, 37592,19450209,   10,    0
  5907, 37592,19450210,   51,    0
  5907, 37592,19450211,   22,    0
  5907, 37592,19450212,   14,    0
  5907, 37592,19450213,   50,    0
  5907, 37592,19450214,    8,    0
  5907, 37592,19450215,    0,    0
  5907, 37592,19450216,    0,    0
  5907, 37592,19450217,    0,    0
  5907, 37592,19450218,    0,    0
  5907, 37592,19450219,    0,    0
  5907, 37592,19450220,   39,    0
  5907, 37592,19450221,    0,    0
  5907, 37592,19450222,    0,    0
  5907, 37592,19450223,    0,    0
  5907, 37592,19450224,    0,    0
  5907, 37592,19450225,   69,    0
  5907, 37592,19450226,    3,    0
  5907, 37592,19450227,    0,    0
  5907, 37592,19450228,    0,    0
  5907, 37592,19450301,    7,    0
  5907, 37592,19450302,    0,    0
  5907, 37592,19450303,    0,    0
  5907, 37592,19450304,    0,    0
  5907, 37592,19450305,    0,    0
  5907, 37592,19450306,    0,    0
  5907, 37592,19450307,    0,    0
  5907, 37592,19450308,    0,    0
  5907, 37592,19450309,    0,    0
  5907, 37592,19450310,    0,    0
  5907, 37592,19450311,    0,    0
