EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VANNEBERGA, SWEDEN (STAID: 5927)
Blended and updated with sources:37660 37662 37664 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  5927, 37660,19570601,    0,    0
  5927, 37660,19570602,    0,    0
  5927, 37660,19570603,    0,    0
  5927, 37660,19570604,   47,    0
  5927, 37660,19570605,   60,    0
  5927, 37660,19570606,   72,    0
  5927, 37660,19570607,    7,    0
  5927, 37660,19570608,    0,    0
  5927, 37660,19570609,   34,    0
  5927, 37660,19570610,    0,    0
  5927, 37660,19570611,   45,    0
  5927, 37660,19570612,    0,    0
  5927, 37660,19570613,    0,    0
  5927, 37660,19570614,    0,    0
  5927, 37660,19570615,    0,    0
  5927, 37660,19570616,    0,    0
  5927, 37660,19570617,    0,    0
  5927, 37660,19570618,    0,    0
  5927, 37660,19570619,    0,    0
  5927, 37660,19570620,    0,    0
  5927, 37660,19570621,    0,    0
  5927, 37660,19570622,    0,    0
  5927, 37660,19570623,    5,    0
  5927, 37660,19570624,    0,    0
  5927, 37660,19570625,    9,    0
  5927, 37660,19570626,    9,    0
  5927, 37660,19570627,   15,    0
  5927, 37660,19570628,    0,    0
  5927, 37660,19570629,    0,    0
  5927, 37660,19570630,    0,    0
  5927, 37660,19570701,   16,    0
  5927, 37660,19570702,    0,    0
  5927, 37660,19570703,    1,    0
  5927, 37660,19570704,   12,    0
  5927, 37660,19570705,    0,    0
  5927, 37660,19570706,    0,    0
  5927, 37660,19570707,   11,    0
  5927, 37660,19570708,    0,    0
  5927, 37660,19570709,    0,    0
  5927, 37660,19570710,    0,    0
  5927, 37660,19570711,    0,    0
  5927, 37660,19570712,    0,    0
  5927, 37660,19570713,    0,    0
  5927, 37660,19570714,  183,    0
  5927, 37660,19570715,  164,    0
  5927, 37660,19570716,    6,    0
  5927, 37660,19570717,  106,    0
  5927, 37660,19570718,    0,    0
  5927, 37660,19570719,    0,    0
  5927, 37660,19570720,   15,    0
  5927, 37660,19570721,    0,    0
  5927, 37660,19570722,   36,    0
  5927, 37660,19570723,    0,    0
  5927, 37660,19570724,    0,    0
  5927, 37660,19570725,    1,    0
  5927, 37660,19570726,   42,    0
  5927, 37660,19570727,    0,    0
  5927, 37660,19570728,  106,    0
  5927, 37660,19570729,    0,    0
  5927, 37660,19570730,    0,    0
  5927, 37660,19570731,    0,    0
  5927, 37660,19570801,    0,    0
  5927, 37660,19570802,    0,    0
  5927, 37660,19570803,    0,    0
  5927, 37660,19570804,    0,    0
  5927, 37660,19570805,    0,    0
  5927, 37660,19570806,    0,    0
  5927, 37660,19570807,    0,    0
  5927, 37660,19570808,    0,    0
  5927, 37660,19570809,  220,    0
  5927, 37660,19570810,    7,    0
  5927, 37660,19570811,   11,    0
  5927, 37660,19570812,    0,    0
  5927, 37660,19570813,    0,    0
  5927, 37660,19570814,    8,    0
  5927, 37660,19570815,   11,    0
  5927, 37660,19570816,  152,    0
  5927, 37660,19570817,    4,    0
  5927, 37660,19570818,   61,    0
  5927, 37660,19570819,   26,    0
  5927, 37660,19570820,    7,    0
  5927, 37660,19570821,    0,    0
  5927, 37660,19570822,    0,    0
  5927, 37660,19570823,    0,    0
  5927, 37660,19570824,    0,    0
  5927, 37660,19570825,   71,    0
  5927, 37660,19570826,  102,    0
  5927, 37660,19570827,   12,    0
  5927, 37660,19570828,    9,    0
  5927, 37660,19570829,   95,    0
  5927, 37660,19570830,   31,    0
  5927, 37660,19570831,  115,    0
  5927, 37660,19570901,    4,    0
  5927, 37660,19570902,   59,    0
  5927, 37660,19570903,    7,    0
  5927, 37660,19570904,    0,    0
  5927, 37660,19570905,   21,    0
