EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KOMSTORP, SWEDEN (STAID: 5951)
Blended and updated with sources:37726 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  5951, 37726,19460601,-9999,    9
  5951, 37726,19460602,-9999,    9
  5951, 37726,19460603,-9999,    9
  5951, 37726,19460604,-9999,    9
  5951, 37726,19460605,-9999,    9
  5951, 37726,19460606,-9999,    9
  5951, 37726,19460607,-9999,    9
  5951, 37726,19460608,-9999,    9
  5951, 37726,19460609,-9999,    9
  5951, 37726,19460610,-9999,    9
  5951, 37726,19460611,-9999,    9
  5951, 37726,19460612,-9999,    9
  5951, 37726,19460613,-9999,    9
  5951, 37726,19460614,-9999,    9
  5951, 37726,19460615,-9999,    9
  5951, 37726,19460616,-9999,    9
  5951, 37726,19460617,-9999,    9
  5951, 37726,19460618,   50,    0
  5951, 37726,19460619,   29,    0
  5951, 37726,19460620,-9999,    9
  5951, 37726,19460621,-9999,    9
  5951, 37726,19460622,-9999,    9
  5951, 37726,19460623,-9999,    9
  5951, 37726,19460624,   65,    0
  5951, 37726,19460625,-9999,    9
  5951, 37726,19460626,   10,    0
  5951, 37726,19460627,  125,    0
  5951, 37726,19460628,   15,    0
  5951, 37726,19460629,-9999,    9
  5951, 37726,19460630,-9999,    9
  5951, 37726,19460701,    0,    0
  5951, 37726,19460702,    0,    0
  5951, 37726,19460703,    0,    0
  5951, 37726,19460704,    0,    0
  5951, 37726,19460705,   17,    0
  5951, 37726,19460706,    0,    0
  5951, 37726,19460707,    0,    0
  5951, 37726,19460708,    0,    0
  5951, 37726,19460709,    0,    0
  5951, 37726,19460710,    2,    0
  5951, 37726,19460711,    8,    0
  5951, 37726,19460712,    0,    0
  5951, 37726,19460713,    0,    0
  5951, 37726,19460714,    0,    0
  5951, 37726,19460715,  302,    0
  5951, 37726,19460716,    0,    0
  5951, 37726,19460717,    2,    0
  5951, 37726,19460718,    0,    0
  5951, 37726,19460719,    0,    0
  5951, 37726,19460720,    0,    0
  5951, 37726,19460721,    1,    0
  5951, 37726,19460722,    0,    0
  5951, 37726,19460723,    0,    0
  5951, 37726,19460724,    0,    0
  5951, 37726,19460725,    0,    0
  5951, 37726,19460726,    0,    0
  5951, 37726,19460727,   18,    0
  5951, 37726,19460728,    5,    0
  5951, 37726,19460729,   18,    0
  5951, 37726,19460730,   97,    0
  5951, 37726,19460731,    0,    0
  5951, 37726,19460801,   31,    0
  5951, 37726,19460802,   30,    0
  5951, 37726,19460803,    0,    0
  5951, 37726,19460804,    0,    0
  5951, 37726,19460805,    0,    0
  5951, 37726,19460806,    0,    0
  5951, 37726,19460807,    0,    0
  5951, 37726,19460808,   17,    0
  5951, 37726,19460809,    1,    0
  5951, 37726,19460810,   22,    0
  5951, 37726,19460811,    0,    0
  5951, 37726,19460812,    0,    0
  5951, 37726,19460813,   61,    0
  5951, 37726,19460814,    0,    0
  5951, 37726,19460815,    0,    0
  5951, 37726,19460816,    0,    0
  5951, 37726,19460817,    0,    0
  5951, 37726,19460818,    0,    0
  5951, 37726,19460819,    0,    0
  5951, 37726,19460820,   40,    0
  5951, 37726,19460821,   18,    0
  5951, 37726,19460822,   18,    0
  5951, 37726,19460823,    0,    0
  5951, 37726,19460824,    0,    0
  5951, 37726,19460825,    0,    0
  5951, 37726,19460826,    2,    0
  5951, 37726,19460827,    7,    0
  5951, 37726,19460828,    0,    0
  5951, 37726,19460829,    0,    0
  5951, 37726,19460830,   99,    0
  5951, 37726,19460831,  321,    0
  5951, 37726,19460901,    0,    0
  5951, 37726,19460902,   33,    0
  5951, 37726,19460903,    0,    0
  5951, 37726,19460904,   58,    0
  5951, 37726,19460905,    5,    0
  5951, 37726,19460906,    0,    0
  5951, 37726,19460907,   10,    0
  5951, 37726,19460908,    0,    0
  5951, 37726,19460909,   45,    0
  5951, 37726,19460910,    0,    0
  5951, 37726,19460911,  115,    0
  5951, 37726,19460912,    0,    0
  5951, 37726,19460913,    0,    0
  5951, 37726,19460914,   16,    0
  5951, 37726,19460915,   66,    0
  5951, 37726,19460916,    0,    0
  5951, 37726,19460917,   62,    0
  5951, 37726,19460918,  110,    0
  5951, 37726,19460919,    0,    0
  5951, 37726,19460920,   77,    0
  5951, 37726,19460921,    0,    0
  5951, 37726,19460922,    0,    0
  5951, 37726,19460923,   40,    0
  5951, 37726,19460924,    0,    0
  5951, 37726,19460925,    0,    0
  5951, 37726,19460926,    6,    0
  5951, 37726,19460927,    2,    0
  5951, 37726,19460928,    0,    0
  5951, 37726,19460929,    0,    0
  5951, 37726,19460930,    0,    0
  5951, 37726,19461001,    0,    0
  5951, 37726,19461002,    0,    0
  5951, 37726,19461003,    0,    0
  5951, 37726,19461004,   70,    0
  5951, 37726,19461005,    1,    0
  5951, 37726,19461006,   85,    0
  5951, 37726,19461007,   70,    0
  5951, 37726,19461008,    0,    0
  5951, 37726,19461009,    0,    0
