EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MARBACK_D, SWEDEN (STAID: 5988)
Blended and updated with sources:37848 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  5988, 37848,20020101,    2,    0
  5988, 37848,20020102,    0,    0
  5988, 37848,20020103,    0,    0
  5988, 37848,20020104,    0,    0
  5988, 37848,20020105,    9,    0
  5988, 37848,20020106,    0,    0
  5988, 37848,20020107,    9,    0
  5988, 37848,20020108,   10,    0
  5988, 37848,20020109,   20,    0
  5988, 37848,20020110,    0,    0
  5988, 37848,20020111,    0,    0
  5988, 37848,20020112,    9,    0
  5988, 37848,20020113,    6,    0
  5988, 37848,20020114,    4,    0
  5988, 37848,20020115,    6,    0
  5988, 37848,20020116,   30,    0
  5988, 37848,20020117,   23,    0
  5988, 37848,20020118,   51,    0
  5988, 37848,20020119,   83,    0
  5988, 37848,20020120,  141,    0
  5988, 37848,20020121,   49,    0
  5988, 37848,20020122,   71,    0
  5988, 37848,20020123,  121,    0
  5988, 37848,20020124,  102,    0
  5988, 37848,20020125,   38,    0
  5988, 37848,20020126,  347,    0
  5988, 37848,20020127,   29,    0
  5988, 37848,20020128,  178,    0
  5988, 37848,20020129,   79,    0
  5988, 37848,20020130,  151,    0
  5988, 37848,20020131,  267,    0
  5988, 37848,20020201,  243,    0
  5988, 37848,20020202,    0,    0
  5988, 37848,20020203,    0,    0
  5988, 37848,20020204,   42,    0
  5988, 37848,20020205,   99,    0
  5988, 37848,20020206,   45,    0
  5988, 37848,20020207,   99,    0
  5988, 37848,20020208,  112,    0
  5988, 37848,20020209,    6,    0
  5988, 37848,20020210,  143,    0
  5988, 37848,20020211,  117,    0
  5988, 37848,20020212,   72,    0
  5988, 37848,20020213,    0,    0
  5988, 37848,20020214,    0,    0
  5988, 37848,20020215,    7,    0
  5988, 37848,20020216,    0,    0
  5988, 37848,20020217,    0,    0
  5988, 37848,20020218,   26,    0
  5988, 37848,20020219,   14,    0
  5988, 37848,20020220,   28,    0
  5988, 37848,20020221,   10,    0
  5988, 37848,20020222,  114,    0
  5988, 37848,20020223,   24,    0
  5988, 37848,20020224,    7,    0
  5988, 37848,20020225,   55,    0
  5988, 37848,20020226,  176,    0
  5988, 37848,20020227,   31,    0
  5988, 37848,20020228,    0,    0
  5988, 37848,20020301,    0,    0
  5988, 37848,20020302,   31,    0
  5988, 37848,20020303,   61,    0
  5988, 37848,20020304,    3,    0
  5988, 37848,20020305,   41,    0
  5988, 37848,20020306,  111,    0
  5988, 37848,20020307,    0,    0
  5988, 37848,20020308,   43,    0
  5988, 37848,20020309,    9,    0
  5988, 37848,20020310,   63,    0
  5988, 37848,20020311,    0,    0
  5988, 37848,20020312,    0,    0
  5988, 37848,20020313,    1,    0
  5988, 37848,20020314,    0,    0
  5988, 37848,20020315,    0,    0
  5988, 37848,20020316,    2,    0
  5988, 37848,20020317,   20,    0
  5988, 37848,20020318,   44,    0
  5988, 37848,20020319,   23,    0
  5988, 37848,20020320,    0,    0
  5988, 37848,20020321,    6,    0
  5988, 37848,20020322,    0,    0
  5988, 37848,20020323,    0,    0
  5988, 37848,20020324,    0,    0
  5988, 37848,20020325,    0,    0
  5988, 37848,20020326,    0,    0
  5988, 37848,20020327,    0,    0
  5988, 37848,20020328,    0,    0
  5988, 37848,20020329,    0,    0
  5988, 37848,20020330,    0,    0
  5988, 37848,20020331,    0,    0
  5988, 37848,20020401,    0,    0
  5988, 37848,20020402,    0,    0
  5988, 37848,20020403,    0,    0
  5988, 37848,20020404,    0,    0
  5988, 37848,20020405,    0,    0
  5988, 37848,20020406,    2,    0
  5988, 37848,20020407,    0,    0
  5988, 37848,20020408,    0,    0
  5988, 37848,20020409,    0,    0
  5988, 37848,20020410,    0,    0
  5988, 37848,20020411,    4,    0
  5988, 37848,20020412,    1,    0
  5988, 37848,20020413,    8,    0
  5988, 37848,20020414,    0,    0
  5988, 37848,20020415,    0,    0
  5988, 37848,20020416,   16,    0
  5988, 37848,20020417,    4,    0
  5988, 37848,20020418,   23,    0
  5988, 37848,20020419,    0,    0
  5988, 37848,20020420,    0,    0
  5988, 37848,20020421,    0,    0
  5988, 37848,20020422,   39,    0
  5988, 37848,20020423,    8,    0
  5988, 37848,20020424,    0,    0
  5988, 37848,20020425,    0,    0
  5988, 37848,20020426,   22,    0
  5988, 37848,20020427,   57,    0
  5988, 37848,20020428,   24,    0
  5988, 37848,20020429,   87,    0
  5988, 37848,20020430,    0,    0
  5988, 37848,20020501,   26,    0
  5988, 37848,20020502,    4,    0
  5988, 37848,20020503,  163,    0
  5988, 37848,20020504,  162,    0
  5988, 37848,20020505,    0,    0
  5988, 37848,20020506,    0,    0
  5988, 37848,20020507,    0,    0
  5988, 37848,20020508,    0,    0
  5988, 37848,20020509,    0,    0
  5988, 37848,20020510,    0,    0
  5988, 37848,20020511,    0,    0
  5988, 37848,20020512,    0,    0
  5988, 37848,20020513,    0,    0
  5988, 37848,20020514,   31,    0
  5988, 37848,20020515,    0,    0
  5988, 37848,20020516,   92,    0
  5988, 37848,20020517,   24,    0
  5988, 37848,20020518,    0,    0
  5988, 37848,20020519,    0,    0
  5988, 37848,20020520,    0,    0
  5988, 37848,20020521,    0,    0
  5988, 37848,20020522,    0,    0
  5988, 37848,20020523,    0,    0
  5988, 37848,20020524,  156,    0
  5988, 37848,20020525,   24,    0
  5988, 37848,20020526,   74,    0
  5988, 37848,20020527,    3,    0
  5988, 37848,20020528,   91,    0
  5988, 37848,20020529,   72,    0
  5988, 37848,20020530,    0,    0
  5988, 37848,20020531,   40,    0
  5988, 37848,20020601,    4,    0
  5988, 37848,20020602,    0,    0
  5988, 37848,20020603,    0,    0
  5988, 37848,20020604,    0,    0
  5988, 37848,20020605,    0,    0
  5988, 37848,20020606,    0,    0
  5988, 37848,20020607,    0,    0
  5988, 37848,20020608,    0,    0
  5988, 37848,20020609,    0,    0
  5988, 37848,20020610,   81,    0
  5988, 37848,20020611,  119,    0
  5988, 37848,20020612,   39,    0
  5988, 37848,20020613,  136,    0
  5988, 37848,20020614,    0,    0
  5988, 37848,20020615,  100,    0
  5988, 37848,20020616,    0,    0
  5988, 37848,20020617,    0,    0
  5988, 37848,20020618,  106,    0
  5988, 37848,20020619,    0,    0
  5988, 37848,20020620,  194,    0
  5988, 37848,20020621,    0,    0
  5988, 37848,20020622,   36,    0
  5988, 37848,20020623,   17,    0
  5988, 37848,20020624,    2,    0
  5988, 37848,20020625,    9,    0
  5988, 37848,20020626,  164,    0
  5988, 37848,20020627,  456,    0
  5988, 37848,20020628,   58,    0
  5988, 37848,20020629,  142,    0
  5988, 37848,20020630,  101,    0
  5988, 37848,20020701,  215,    0
  5988, 37848,20020702,  102,    0
  5988, 37848,20020703,   79,    0
  5988, 37848,20020704,  101,    0
  5988, 37848,20020705,   66,    0
  5988, 37848,20020706,   77,    0
  5988, 37848,20020707,   10,    0
  5988, 37848,20020708,    0,    0
  5988, 37848,20020709,    0,    0
  5988, 37848,20020710,    0,    0
  5988, 37848,20020711,    8,    0
  5988, 37848,20020712,    0,    0
  5988, 37848,20020713,    0,    0
  5988, 37848,20020714,    0,    0
  5988, 37848,20020715,    0,    0
  5988, 37848,20020716,    0,    0
  5988, 37848,20020717,    6,    0
  5988, 37848,20020718,   11,    0
  5988, 37848,20020719,  181,    0
  5988, 37848,20020720,    0,    0
  5988, 37848,20020721,   35,    0
  5988, 37848,20020722,  170,    0
  5988, 37848,20020723,  234,    0
  5988, 37848,20020724,   21,    0
  5988, 37848,20020725,    0,    0
  5988, 37848,20020726,   41,    0
  5988, 37848,20020727,    0,    0
  5988, 37848,20020728,    0,    0
  5988, 37848,20020729,    0,    0
  5988, 37848,20020730,    0,    0
  5988, 37848,20020731,   24,    0
  5988, 37848,20020801,  202,    0
  5988, 37848,20020802,    0,    0
  5988, 37848,20020803,    0,    0
  5988, 37848,20020804,    0,    0
  5988, 37848,20020805,    0,    0
  5988, 37848,20020806,    0,    0
  5988, 37848,20020807,    0,    0
  5988, 37848,20020808,    0,    0
  5988, 37848,20020809,    0,    0
  5988, 37848,20020810,    0,    0
  5988, 37848,20020811,    7,    0
  5988, 37848,20020812,  193,    0
  5988, 37848,20020813,    0,    0
  5988, 37848,20020814,    0,    0
  5988, 37848,20020815,    0,    0
  5988, 37848,20020816,    0,    0
  5988, 37848,20020817,    4,    0
  5988, 37848,20020818,    0,    0
  5988, 37848,20020819,    0,    0
  5988, 37848,20020820,    0,    0
  5988, 37848,20020821,    0,    0
  5988, 37848,20020822,    0,    0
  5988, 37848,20020823,    0,    0
  5988, 37848,20020824,    0,    0
  5988, 37848,20020825,    0,    0
  5988, 37848,20020826,  138,    0
  5988, 37848,20020827,    0,    0
  5988, 37848,20020828,    0,    0
  5988, 37848,20020829,   12,    0
  5988, 37848,20020830,   79,    0
  5988, 37848,20020831,   61,    0
  5988, 37848,20020901,    0,    0
  5988, 37848,20020902,    0,    0
  5988, 37848,20020903,    0,    0
  5988, 37848,20020904,    0,    0
  5988, 37848,20020905,    0,    0
  5988, 37848,20020906,   38,    0
  5988, 37848,20020907,    0,    0
  5988, 37848,20020908,    0,    0
  5988, 37848,20020909,    0,    0
  5988, 37848,20020910,    0,    0
  5988, 37848,20020911,    0,    0
  5988, 37848,20020912,    0,    0
  5988, 37848,20020913,    2,    0
  5988, 37848,20020914,    0,    0
  5988, 37848,20020915,    0,    0
  5988, 37848,20020916,   81,    0
  5988, 37848,20020917,    0,    0
  5988, 37848,20020918,    0,    0
  5988, 37848,20020919,   41,    0
  5988, 37848,20020920,   40,    0
  5988, 37848,20020921,    0,    0
  5988, 37848,20020922,    0,    0
  5988, 37848,20020923,    0,    0
  5988, 37848,20020924,   68,    0
  5988, 37848,20020925,   44,    0
  5988, 37848,20020926,   20,    0
  5988, 37848,20020927,   12,    0
  5988, 37848,20020928,    2,    0
  5988, 37848,20020929,    0,    0
  5988, 37848,20020930,   18,    0
  5988, 37848,20021001,   24,    0
  5988, 37848,20021002,    0,    0
  5988, 37848,20021003,   51,    0
