EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FORSERUM, SWEDEN (STAID: 6097)
Blended and updated with sources:38200 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  6097, 38200,19591101,   13,    0
  6097, 38200,19591102,    0,    0
  6097, 38200,19591103,    0,    0
  6097, 38200,19591104,   30,    0
  6097, 38200,19591105,    0,    0
  6097, 38200,19591106,    4,    0
  6097, 38200,19591107,    6,    0
  6097, 38200,19591108,    5,    0
  6097, 38200,19591109,    6,    0
  6097, 38200,19591110,   18,    0
  6097, 38200,19591111,    1,    0
  6097, 38200,19591112,    3,    0
  6097, 38200,19591113,   40,    0
  6097, 38200,19591114,    4,    0
  6097, 38200,19591115,    2,    0
  6097, 38200,19591116,    2,    0
  6097, 38200,19591117,    5,    0
  6097, 38200,19591118,   35,    0
  6097, 38200,19591119,   22,    0
  6097, 38200,19591120,    0,    0
  6097, 38200,19591121,    0,    0
  6097, 38200,19591122,    1,    0
  6097, 38200,19591123,    6,    0
  6097, 38200,19591124,    6,    0
  6097, 38200,19591125,    1,    0
  6097, 38200,19591126,    0,    0
  6097, 38200,19591127,   21,    0
  6097, 38200,19591128,   27,    0
  6097, 38200,19591129,    1,    0
  6097, 38200,19591130,    0,    0
  6097, 38200,19591201,    1,    0
  6097, 38200,19591202,    4,    0
  6097, 38200,19591203,    7,    0
  6097, 38200,19591204,   18,    0
  6097, 38200,19591205,   19,    0
  6097, 38200,19591206,    2,    0
  6097, 38200,19591207,    1,    0
  6097, 38200,19591208,    4,    0
  6097, 38200,19591209,   15,    0
  6097, 38200,19591210,    5,    0
  6097, 38200,19591211,    3,    0
  6097, 38200,19591212,    2,    0
  6097, 38200,19591213,    1,    0
  6097, 38200,19591214,    3,    0
  6097, 38200,19591215,    0,    0
  6097, 38200,19591216,    0,    0
  6097, 38200,19591217,   23,    0
  6097, 38200,19591218,   15,    0
  6097, 38200,19591219,   12,    0
  6097, 38200,19591220,   21,    0
  6097, 38200,19591221,    1,    0
  6097, 38200,19591222,    2,    0
  6097, 38200,19591223,   13,    0
  6097, 38200,19591224,   21,    0
  6097, 38200,19591225,    2,    0
  6097, 38200,19591226,   37,    0
  6097, 38200,19591227,    6,    0
  6097, 38200,19591228,   15,    0
  6097, 38200,19591229,    1,    0
  6097, 38200,19591230,   12,    0
  6097, 38200,19591231,   10,    0
  6097, 38200,19600101,   30,    0
  6097, 38200,19600102,   11,    0
  6097, 38200,19600103,    0,    0
  6097, 38200,19600104,   17,    0
  6097, 38200,19600105,   90,    0
  6097, 38200,19600106,    0,    0
  6097, 38200,19600107,    4,    0
  6097, 38200,19600108,    2,    0
  6097, 38200,19600109,    1,    0
  6097, 38200,19600110,   80,    0
  6097, 38200,19600111,    7,    0
  6097, 38200,19600112,    5,    0
  6097, 38200,19600113,    2,    0
  6097, 38200,19600114,    5,    0
  6097, 38200,19600115,    4,    0
  6097, 38200,19600116,    0,    0
  6097, 38200,19600117,    9,    0
  6097, 38200,19600118,   90,    0
  6097, 38200,19600119,   32,    0
  6097, 38200,19600120,   67,    0
  6097, 38200,19600121,    4,    0
  6097, 38200,19600122,    6,    0
  6097, 38200,19600123,   17,    0
  6097, 38200,19600124,    0,    0
  6097, 38200,19600125,    6,    0
  6097, 38200,19600126,    3,    0
  6097, 38200,19600127,    7,    0
  6097, 38200,19600128,    5,    0
  6097, 38200,19600129,   20,    0
  6097, 38200,19600130,    3,    0
  6097, 38200,19600131,    3,    0
  6097, 38200,19600201,    2,    0
  6097, 38200,19600202,    0,    0
  6097, 38200,19600203,    0,    0
  6097, 38200,19600204,    0,    0
  6097, 38200,19600205,    0,    0
  6097, 38200,19600206,    0,    0
  6097, 38200,19600207,    0,    0
  6097, 38200,19600208,    0,    0
  6097, 38200,19600209,    0,    0
  6097, 38200,19600210,    2,    0
  6097, 38200,19600211,   18,    0
  6097, 38200,19600212,    1,    0
  6097, 38200,19600213,    0,    0
  6097, 38200,19600214,    2,    0
  6097, 38200,19600215,   14,    0
  6097, 38200,19600216,   20,    0
  6097, 38200,19600217,   21,    0
  6097, 38200,19600218,    0,    0
  6097, 38200,19600219,    8,    0
  6097, 38200,19600220,   22,    0
  6097, 38200,19600221,    3,    0
  6097, 38200,19600222,    0,    0
  6097, 38200,19600223,    0,    0
  6097, 38200,19600224,    0,    0
  6097, 38200,19600225,    0,    0
  6097, 38200,19600226,    0,    0
  6097, 38200,19600227,    0,    0
  6097, 38200,19600228,   51,    0
  6097, 38200,19600229,    0,    0
  6097, 38200,19600301,   21,    0
  6097, 38200,19600302,   31,    0
  6097, 38200,19600303,   14,    0
  6097, 38200,19600304,    1,    0
  6097, 38200,19600305,    0,    0
  6097, 38200,19600306,    0,    0
  6097, 38200,19600307,    0,    0
  6097, 38200,19600308,    0,    0
  6097, 38200,19600309,    0,    0
  6097, 38200,19600310,    0,    0
  6097, 38200,19600311,    0,    0
