EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GNARP, SWEDEN (STAID: 6550)
Blended and updated with sources:39736 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  6550, 39736,19700901,    0,    0
  6550, 39736,19700902,    0,    0
  6550, 39736,19700903,  110,    0
  6550, 39736,19700904,    8,    1
  6550, 39736,19700905,    0,    1
  6550, 39736,19700906,    0,    1
  6550, 39736,19700907,    0,    1
  6550, 39736,19700908,    0,    1
  6550, 39736,19700909,    8,    0
  6550, 39736,19700910,  100,    1
  6550, 39736,19700911,    0,    1
  6550, 39736,19700912,    0,    1
  6550, 39736,19700913,  100,    0
  6550, 39736,19700914,  170,    0
  6550, 39736,19700915,    0,    0
  6550, 39736,19700916,    8,    0
  6550, 39736,19700917,    0,    0
  6550, 39736,19700918,    7,    0
  6550, 39736,19700919,    6,    0
  6550, 39736,19700920,    3,    1
  6550, 39736,19700921,    0,    1
  6550, 39736,19700922,    0,    1
  6550, 39736,19700923,    0,    1
  6550, 39736,19700924,    2,    1
  6550, 39736,19700925,    0,    1
  6550, 39736,19700926,    0,    1
  6550, 39736,19700927,    0,    1
  6550, 39736,19700928,    0,    1
  6550, 39736,19700929,    0,    1
  6550, 39736,19700930,    0,    1
  6550, 39736,19701001,    8,    0
  6550, 39736,19701002,  130,    0
  6550, 39736,19701003,    6,    0
  6550, 39736,19701004,    8,    0
  6550, 39736,19701005,  140,    0
  6550, 39736,19701006,    4,    0
  6550, 39736,19701007,    9,    1
  6550, 39736,19701008,    0,    1
  6550, 39736,19701009,    0,    1
  6550, 39736,19701010,    0,    1
  6550, 39736,19701011,    0,    1
  6550, 39736,19701012,    0,    1
  6550, 39736,19701013,    0,    1
  6550, 39736,19701014,    0,    1
  6550, 39736,19701015,    0,    1
  6550, 39736,19701016,    3,    0
  6550, 39736,19701017,    4,    0
  6550, 39736,19701018,  240,    0
  6550, 39736,19701019,    7,    1
  6550, 39736,19701020,    0,    1
  6550, 39736,19701021,    0,    1
  6550, 39736,19701022,    0,    1
