EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ANGE-PARTEBODA D, SWEDEN (STAID: 6582)
Blended and updated with sources:39830 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  6582, 39830,19450101,    0,    0
  6582, 39830,19450102,    0,    0
  6582, 39830,19450103,   68,    0
  6582, 39830,19450104,    0,    0
  6582, 39830,19450105,    2,    0
  6582, 39830,19450106,    0,    0
  6582, 39830,19450107,   26,    0
  6582, 39830,19450108,    0,    0
  6582, 39830,19450109,   36,    0
  6582, 39830,19450110,    0,    0
  6582, 39830,19450111,    0,    0
  6582, 39830,19450112,    0,    0
  6582, 39830,19450113,    0,    0
  6582, 39830,19450114,    0,    0
  6582, 39830,19450115,   36,    0
  6582, 39830,19450116,    0,    0
  6582, 39830,19450117,    0,    0
  6582, 39830,19450118,    0,    0
  6582, 39830,19450119,   55,    0
  6582, 39830,19450120,    0,    0
  6582, 39830,19450121,   29,    0
  6582, 39830,19450122,   26,    0
  6582, 39830,19450123,   25,    0
  6582, 39830,19450124,   29,    0
  6582, 39830,19450125,   15,    0
  6582, 39830,19450126,   10,    0
  6582, 39830,19450127,    0,    0
  6582, 39830,19450128,    0,    0
  6582, 39830,19450129,    0,    0
  6582, 39830,19450130,    0,    0
  6582, 39830,19450131,   19,    0
  6582, 39830,19450201,    0,    0
  6582, 39830,19450202,    0,    0
  6582, 39830,19450203,    0,    0
  6582, 39830,19450204,    0,    0
  6582, 39830,19450205,    0,    0
  6582, 39830,19450206,    7,    0
  6582, 39830,19450207,   40,    0
  6582, 39830,19450208,    0,    0
  6582, 39830,19450209,    0,    0
  6582, 39830,19450210,    0,    0
  6582, 39830,19450211,    0,    0
  6582, 39830,19450212,    0,    0
  6582, 39830,19450213,   10,    0
  6582, 39830,19450214,    0,    0
  6582, 39830,19450215,   10,    0
  6582, 39830,19450216,    0,    0
  6582, 39830,19450217,    0,    0
  6582, 39830,19450218,   64,    0
  6582, 39830,19450219,    0,    0
  6582, 39830,19450220,   22,    0
  6582, 39830,19450221,    0,    0
  6582, 39830,19450222,    0,    0
  6582, 39830,19450223,    0,    0
  6582, 39830,19450224,    0,    0
  6582, 39830,19450225,    0,    0
  6582, 39830,19450226,    0,    0
  6582, 39830,19450227,    0,    0
  6582, 39830,19450228,    0,    0
  6582, 39830,19450301,    0,    0
  6582, 39830,19450302,   54,    0
  6582, 39830,19450303,    0,    0
  6582, 39830,19450304,    0,    0
  6582, 39830,19450305,    0,    0
  6582, 39830,19450306,    0,    0
  6582, 39830,19450307,    0,    0
  6582, 39830,19450308,   15,    0
  6582, 39830,19450309,   42,    0
  6582, 39830,19450310,   52,    0
  6582, 39830,19450311,    0,    0
  6582, 39830,19450312,    0,    0
  6582, 39830,19450313,    0,    0
  6582, 39830,19450314,    0,    0
  6582, 39830,19450315,   52,    0
  6582, 39830,19450316,    0,    0
  6582, 39830,19450317,    0,    0
  6582, 39830,19450318,    0,    0
  6582, 39830,19450319,    0,    0
  6582, 39830,19450320,  125,    0
  6582, 39830,19450321,    0,    0
  6582, 39830,19450322,    0,    0
  6582, 39830,19450323,    0,    0
  6582, 39830,19450324,    0,    0
  6582, 39830,19450325,    0,    0
  6582, 39830,19450326,    0,    0
  6582, 39830,19450327,    0,    0
  6582, 39830,19450328,    0,    0
  6582, 39830,19450329,    0,    0
  6582, 39830,19450330,    0,    0
  6582, 39830,19450331,    0,    0
  6582, 39830,19450401,  154,    0
  6582, 39830,19450402,    0,    0
  6582, 39830,19450403,    0,    0
  6582, 39830,19450404,    0,    0
  6582, 39830,19450405,    0,    0
  6582, 39830,19450406,    0,    0
  6582, 39830,19450407,    0,    0
  6582, 39830,19450408,    0,    0
  6582, 39830,19450409,    0,    0
  6582, 39830,19450410,    0,    0
  6582, 39830,19450411,    0,    0
  6582, 39830,19450412,    0,    0
  6582, 39830,19450413,    0,    0
  6582, 39830,19450414,    0,    0
  6582, 39830,19450415,    0,    0
  6582, 39830,19450416,    0,    0
  6582, 39830,19450417,   54,    0
  6582, 39830,19450418,   22,    0
  6582, 39830,19450419,    0,    0
  6582, 39830,19450420,  204,    0
  6582, 39830,19450421,  152,    0
  6582, 39830,19450422,    0,    0
  6582, 39830,19450423,    0,    0
  6582, 39830,19450424,    0,    0
  6582, 39830,19450425,    0,    0
  6582, 39830,19450426,    0,    0
  6582, 39830,19450427,    0,    0
  6582, 39830,19450428,  155,    0
  6582, 39830,19450429,  174,    0
  6582, 39830,19450430,   62,    0
  6582, 39830,19450501,    0,    0
  6582, 39830,19450502,    0,    0
  6582, 39830,19450503,    5,    0
  6582, 39830,19450504,   15,    0
  6582, 39830,19450505,    0,    0
  6582, 39830,19450506,    0,    0
  6582, 39830,19450507,   26,    0
  6582, 39830,19450508,    0,    0
  6582, 39830,19450509,    0,    0
  6582, 39830,19450510,    0,    0
  6582, 39830,19450511,    0,    0
  6582, 39830,19450512,    0,    0
  6582, 39830,19450513,   87,    0
  6582, 39830,19450514,  150,    0
  6582, 39830,19450515,    0,    0
  6582, 39830,19450516,   25,    0
  6582, 39830,19450517,    0,    0
  6582, 39830,19450518,    0,    0
  6582, 39830,19450519,    0,    0
  6582, 39830,19450520,    0,    0
  6582, 39830,19450521,    0,    0
  6582, 39830,19450522,    0,    0
  6582, 39830,19450523,    0,    0
  6582, 39830,19450524,    0,    0
  6582, 39830,19450525,    0,    0
  6582, 39830,19450526,    0,    0
  6582, 39830,19450527,    0,    0
  6582, 39830,19450528,    0,    0
  6582, 39830,19450529,    0,    0
  6582, 39830,19450530,    0,    0
  6582, 39830,19450531,   42,    0
  6582, 39830,19450601,   24,    0
  6582, 39830,19450602,    0,    0
  6582, 39830,19450603,   31,    0
  6582, 39830,19450604,  196,    0
  6582, 39830,19450605,    0,    0
  6582, 39830,19450606,    0,    0
  6582, 39830,19450607,   27,    0
  6582, 39830,19450608,    0,    0
  6582, 39830,19450609,    9,    0
  6582, 39830,19450610,   54,    0
  6582, 39830,19450611,    0,    0
  6582, 39830,19450612,   15,    0
  6582, 39830,19450613,  101,    0
  6582, 39830,19450614,  135,    0
  6582, 39830,19450615,  133,    0
  6582, 39830,19450616,    0,    0
  6582, 39830,19450617,    0,    0
  6582, 39830,19450618,    0,    0
  6582, 39830,19450619,    0,    0
  6582, 39830,19450620,    0,    0
  6582, 39830,19450621,   25,    0
  6582, 39830,19450622,    0,    0
  6582, 39830,19450623,    0,    0
  6582, 39830,19450624,    0,    0
  6582, 39830,19450625,    0,    0
  6582, 39830,19450626,    0,    0
  6582, 39830,19450627,    0,    0
  6582, 39830,19450628,    0,    0
  6582, 39830,19450629,    0,    0
  6582, 39830,19450630,    0,    0
  6582, 39830,19450701,    0,    0
  6582, 39830,19450702,    0,    0
  6582, 39830,19450703,   26,    0
  6582, 39830,19450704,    0,    0
  6582, 39830,19450705,    0,    0
  6582, 39830,19450706,    9,    0
  6582, 39830,19450707,    0,    0
  6582, 39830,19450708,    0,    0
  6582, 39830,19450709,    0,    0
  6582, 39830,19450710,  112,    0
  6582, 39830,19450711,  278,    0
  6582, 39830,19450712,    0,    0
  6582, 39830,19450713,    0,    0
  6582, 39830,19450714,    0,    0
  6582, 39830,19450715,    0,    0
  6582, 39830,19450716,    0,    0
  6582, 39830,19450717,    0,    0
  6582, 39830,19450718,    0,    0
  6582, 39830,19450719,    0,    0
  6582, 39830,19450720,    6,    0
  6582, 39830,19450721,   40,    0
  6582, 39830,19450722,   43,    0
  6582, 39830,19450723,   76,    0
  6582, 39830,19450724,  200,    0
  6582, 39830,19450725,   24,    0
  6582, 39830,19450726,    4,    0
  6582, 39830,19450727,   20,    0
  6582, 39830,19450728,    4,    0
  6582, 39830,19450729,   25,    0
  6582, 39830,19450730,   27,    0
  6582, 39830,19450731,    0,    0
  6582, 39830,19450801,    0,    0
  6582, 39830,19450802,    0,    0
  6582, 39830,19450803,    0,    0
  6582, 39830,19450804,    0,    0
  6582, 39830,19450805,    0,    0
  6582, 39830,19450806,    0,    0
  6582, 39830,19450807,    0,    0
  6582, 39830,19450808,    0,    0
  6582, 39830,19450809,    0,    0
  6582, 39830,19450810,    0,    0
  6582, 39830,19450811,   46,    0
  6582, 39830,19450812,    0,    0
  6582, 39830,19450813,    0,    0
  6582, 39830,19450814,   56,    0
  6582, 39830,19450815,    0,    0
  6582, 39830,19450816,   17,    0
  6582, 39830,19450817,    0,    0
  6582, 39830,19450818,  140,    0
  6582, 39830,19450819,  399,    0
  6582, 39830,19450820,    0,    0
  6582, 39830,19450821,    0,    0
  6582, 39830,19450822,   68,    0
  6582, 39830,19450823,   44,    0
  6582, 39830,19450824,    0,    0
  6582, 39830,19450825,  158,    0
  6582, 39830,19450826,    0,    0
  6582, 39830,19450827,   46,    0
  6582, 39830,19450828,    0,    0
  6582, 39830,19450829,    0,    0
  6582, 39830,19450830,    0,    0
  6582, 39830,19450831,    0,    0
  6582, 39830,19450901,   52,    0
  6582, 39830,19450902,    0,    0
  6582, 39830,19450903,    0,    0
  6582, 39830,19450904,    0,    0
  6582, 39830,19450905,    0,    0
  6582, 39830,19450906,    0,    0
  6582, 39830,19450907,    0,    0
  6582, 39830,19450908,    0,    0
  6582, 39830,19450909,    0,    0
  6582, 39830,19450910,    0,    0
  6582, 39830,19450911,    0,    0
  6582, 39830,19450912,    0,    0
  6582, 39830,19450913,    0,    0
  6582, 39830,19450914,   20,    0
  6582, 39830,19450915,    0,    0
  6582, 39830,19450916,   15,    0
  6582, 39830,19450917,    0,    0
  6582, 39830,19450918,    0,    0
  6582, 39830,19450919,    0,    0
  6582, 39830,19450920,   73,    0
  6582, 39830,19450921,    0,    0
  6582, 39830,19450922,   14,    0
  6582, 39830,19450923,   94,    0
  6582, 39830,19450924,    0,    0
  6582, 39830,19450925,    0,    0
  6582, 39830,19450926,   22,    0
  6582, 39830,19450927,   29,    0
  6582, 39830,19450928,    0,    0
  6582, 39830,19450929,   54,    0
  6582, 39830,19450930,    0,    0
  6582, 39830,19451001,    0,    0
  6582, 39830,19451002,    0,    0
  6582, 39830,19451003,    0,    0
  6582, 39830,19451004,    0,    0
  6582, 39830,19451005,    0,    0
  6582, 39830,19451006,   23,    0
  6582, 39830,19451007,    0,    0
  6582, 39830,19451008,    0,    0
  6582, 39830,19451009,   34,    0
