EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OLDSJON, SWEDEN (STAID: 6646)
Blended and updated with sources:40042 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  6646, 40042,19581101,-9999,    9
  6646, 40042,19581102,-9999,    9
  6646, 40042,19581103,-9999,    9
  6646, 40042,19581104,-9999,    9
  6646, 40042,19581105,-9999,    9
  6646, 40042,19581106,-9999,    9
  6646, 40042,19581107,-9999,    9
  6646, 40042,19581108,   16,    0
  6646, 40042,19581109,   37,    0
  6646, 40042,19581110,    7,    0
  6646, 40042,19581111,   11,    0
  6646, 40042,19581112,   25,    0
  6646, 40042,19581113,  108,    0
  6646, 40042,19581114,   21,    0
  6646, 40042,19581115,    3,    0
  6646, 40042,19581116,-9999,    9
  6646, 40042,19581117,-9999,    9
  6646, 40042,19581118,-9999,    9
  6646, 40042,19581119,-9999,    9
  6646, 40042,19581120,-9999,    9
  6646, 40042,19581121,   16,    0
  6646, 40042,19581122,    8,    0
  6646, 40042,19581123,-9999,    9
  6646, 40042,19581124,-9999,    9
  6646, 40042,19581125,-9999,    9
  6646, 40042,19581126,   11,    0
  6646, 40042,19581127,   51,    0
  6646, 40042,19581128,-9999,    9
  6646, 40042,19581129,    8,    0
  6646, 40042,19581130,    5,    0
  6646, 40042,19581201,    9,    0
  6646, 40042,19581202,   10,    0
  6646, 40042,19581203,   42,    0
  6646, 40042,19581204,    5,    0
  6646, 40042,19581205,   16,    0
  6646, 40042,19581206,    6,    0
  6646, 40042,19581207,    0,    0
  6646, 40042,19581208,    4,    0
  6646, 40042,19581209,    0,    0
  6646, 40042,19581210,    6,    0
  6646, 40042,19581211,    0,    0
  6646, 40042,19581212,    0,    0
  6646, 40042,19581213,    0,    0
  6646, 40042,19581214,    4,    0
  6646, 40042,19581215,    3,    0
  6646, 40042,19581216,    9,    0
  6646, 40042,19581217,   62,    0
  6646, 40042,19581218,   36,    0
  6646, 40042,19581219,    0,    0
  6646, 40042,19581220,   23,    0
  6646, 40042,19581221,   25,    0
  6646, 40042,19581222,  142,    0
  6646, 40042,19581223,   34,    0
  6646, 40042,19581224,    3,    0
  6646, 40042,19581225,    5,    0
  6646, 40042,19581226,    0,    0
  6646, 40042,19581227,   78,    0
  6646, 40042,19581228,   31,    0
  6646, 40042,19581229,   65,    0
  6646, 40042,19581230,   15,    0
  6646, 40042,19581231,   25,    0
  6646, 40042,19590101,   66,    0
  6646, 40042,19590102,   33,    0
  6646, 40042,19590103,   16,    0
  6646, 40042,19590104,   38,    0
  6646, 40042,19590105,    8,    0
  6646, 40042,19590106,   26,    0
  6646, 40042,19590107,   18,    0
  6646, 40042,19590108,    0,    0
  6646, 40042,19590109,   53,    0
  6646, 40042,19590110,   86,    0
  6646, 40042,19590111,   19,    0
  6646, 40042,19590112,    0,    0
  6646, 40042,19590113,   80,    0
  6646, 40042,19590114,    4,    0
  6646, 40042,19590115,    0,    0
  6646, 40042,19590116,    0,    0
  6646, 40042,19590117,    8,    0
  6646, 40042,19590118,    0,    0
  6646, 40042,19590119,    0,    0
  6646, 40042,19590120,    6,    0
  6646, 40042,19590121,    4,    0
  6646, 40042,19590122,   29,    0
  6646, 40042,19590123,   97,    0
  6646, 40042,19590124,    7,    0
  6646, 40042,19590125,    0,    0
  6646, 40042,19590126,    4,    1
  6646, 40042,19590127,    0,    1
  6646, 40042,19590128,    0,    1
  6646, 40042,19590129,    0,    1
  6646, 40042,19590130,    0,    1
  6646, 40042,19590131,    0,    1
  6646, 40042,19590201,    0,    1
  6646, 40042,19590202,    0,    1
  6646, 40042,19590203,    0,    1
  6646, 40042,19590204,    0,    1
  6646, 40042,19590205,    0,    1
  6646, 40042,19590206,    0,    1
  6646, 40042,19590207,    0,    1
  6646, 40042,19590208,    0,    1
  6646, 40042,19590209,    0,    1
  6646, 40042,19590210,    0,    1
  6646, 40042,19590211,    0,    1
  6646, 40042,19590212,    0,    1
  6646, 40042,19590213,    0,    1
  6646, 40042,19590214,   18,    0
  6646, 40042,19590215,    0,    0
  6646, 40042,19590216,    0,    0
  6646, 40042,19590217,    0,    0
