EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LOVSJON, SWEDEN (STAID: 6686)
Blended and updated with sources:40154 40170 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  6686, 40170,19450101,   39,    1
  6686, 40170,19450102,    0,    1
  6686, 40154,19450103,   62,    0
  6686, 40170,19450104,   12,    0
  6686, 40170,19450105,    1,    0
  6686, 40154,19450106,   72,    0
  6686, 40154,19450107,   24,    0
  6686, 40170,19450108,   10,    1
  6686, 40154,19450109,    0,    1
  6686, 40154,19450110,    0,    1
  6686, 40154,19450111,    0,    1
  6686, 40154,19450112,    0,    1
  6686, 40154,19450113,    0,    1
  6686, 40170,19450114,    3,    1
  6686, 40170,19450115,    0,    1
  6686, 40154,19450116,   14,    0
  6686, 40170,19450117,   36,    1
  6686, 40170,19450118,    0,    1
  6686, 40154,19450119,    4,    0
  6686, 40154,19450120,   15,    0
  6686, 40154,19450121,   31,    0
  6686, 40154,19450122,   11,    0
  6686, 40154,19450123,   24,    0
  6686, 40170,19450124,   50,    0
  6686, 40170,19450125,    4,    1
  6686, 40154,19450126,    0,    1
  6686, 40154,19450127,    0,    1
  6686, 40154,19450128,    0,    1
  6686, 40154,19450129,    0,    1
  6686, 40154,19450130,    0,    1
  6686, 40154,19450131,    0,    1
  6686, 40154,19450201,    0,    1
  6686, 40170,19450202,   16,    0
  6686, 40170,19450203,    4,    0
  6686, 40170,19450204,    2,    0
  6686, 40170,19450205,    3,    0
  6686, 40154,19450206,   12,    0
  6686, 40170,19450207,   49,    0
  6686, 40170,19450208,   82,    1
  6686, 40170,19450209,    0,    1
  6686, 40170,19450210,    1,    1
  6686, 40170,19450211,    0,    1
  6686, 40170,19450212,    2,    0
  6686, 40170,19450213,    8,    0
  6686, 40170,19450214,    5,    1
  6686, 40154,19450215,    0,    1
  6686, 40154,19450216,    0,    1
  6686, 40154,19450217,   13,    0
  6686, 40154,19450218,   15,    0
  6686, 40154,19450219,    3,    0
  6686, 40170,19450220,   33,    1
  6686, 40170,19450221,    0,    1
  6686, 40154,19450222,    0,    1
  6686, 40154,19450223,    0,    1
  6686, 40154,19450224,    0,    1
  6686, 40170,19450225,   12,    0
  6686, 40154,19450226,   36,    0
  6686, 40154,19450227,   61,    0
  6686, 40154,19450228,   39,    0
  6686, 40154,19450301,   41,    0
  6686, 40170,19450302,   34,    1
  6686, 40170,19450303,    0,    1
  6686, 40154,19450304,   14,    0
  6686, 40170,19450305,   16,    0
  6686, 40170,19450306,   21,    0
  6686, 40154,19450307,   12,    0
  6686, 40170,19450308,   18,    0
  6686, 40170,19450309,   22,    0
  6686, 40170,19450310,   68,    1
  6686, 40170,19450311,    0,    1
  6686, 40170,19450312,    3,    1
  6686, 40170,19450313,    0,    1
  6686, 40170,19450314,   13,    0
  6686, 40154,19450315,   23,    1
  6686, 40154,19450316,    0,    1
  6686, 40154,19450317,    0,    1
  6686, 40154,19450318,    0,    1
  6686, 40154,19450319,    0,    1
  6686, 40154,19450320,   51,    0
  6686, 40154,19450321,   30,    0
  6686, 40154,19450322,   21,    1
  6686, 40154,19450323,    0,    1
  6686, 40154,19450324,    0,    1
  6686, 40154,19450325,    0,    1
  6686, 40154,19450326,    0,    1
  6686, 40154,19450327,    0,    1
  6686, 40154,19450328,    0,    1
  6686, 40154,19450329,    0,    1
  6686, 40170,19450330,    4,    1
  6686, 40170,19450331,    0,    1
  6686, 40170,19450401,   75,    0
  6686, 40154,19450402,   93,    1
  6686, 40154,19450403,    0,    1
  6686, 40154,19450404,    0,    1
  6686, 40154,19450405,    0,    1
  6686, 40154,19450406,    0,    1
  6686, 40154,19450407,    0,    1
  6686, 40170,19450408,    6,    0
  6686, 40154,19450409,   16,    0
  6686, 40170,19450410,   13,    0
  6686, 40170,19450411,    2,    0
