EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LEDNINGSMARK, SWEDEN (STAID: 6743)
Blended and updated with sources:40326 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  6743, 40326,19450101,    0,    1
  6743, 40326,19450102,    0,    1
  6743, 40326,19450103,  105,    0
  6743, 40326,19450104,  110,    0
  6743, 40326,19450105,   67,    1
  6743, 40326,19450106,    0,    1
  6743, 40326,19450107,   96,    0
  6743, 40326,19450108,   33,    0
  6743, 40326,19450109,   40,    0
  6743, 40326,19450110,    4,    1
  6743, 40326,19450111,    0,    1
  6743, 40326,19450112,    0,    1
  6743, 40326,19450113,    0,    1
  6743, 40326,19450114,    0,    1
  6743, 40326,19450115,    0,    1
  6743, 40326,19450116,   40,    1
  6743, 40326,19450117,    0,    1
  6743, 40326,19450118,    0,    1
  6743, 40326,19450119,   70,    0
  6743, 40326,19450120,   48,    0
  6743, 40326,19450121,   37,    0
  6743, 40326,19450122,   25,    0
  6743, 40326,19450123,    8,    0
  6743, 40326,19450124,   19,    0
  6743, 40326,19450125,   20,    1
  6743, 40326,19450126,    0,    1
  6743, 40326,19450127,    0,    1
  6743, 40326,19450128,    0,    1
  6743, 40326,19450129,    0,    1
  6743, 40326,19450130,    0,    1
  6743, 40326,19450131,    0,    1
  6743, 40326,19450201,    0,    1
  6743, 40326,19450202,    0,    1
  6743, 40326,19450203,   11,    1
  6743, 40326,19450204,    0,    1
  6743, 40326,19450205,    0,    1
  6743, 40326,19450206,   15,    0
  6743, 40326,19450207,   30,    0
  6743, 40326,19450208,   45,    1
  6743, 40326,19450209,    0,    1
  6743, 40326,19450210,    0,    1
  6743, 40326,19450211,    0,    1
  6743, 40326,19450212,   11,    0
  6743, 40326,19450213,    3,    0
  6743, 40326,19450214,   10,    0
  6743, 40326,19450215,    3,    1
  6743, 40326,19450216,    0,    1
  6743, 40326,19450217,    0,    1
  6743, 40326,19450218,   40,    1
  6743, 40326,19450219,    0,    1
  6743, 40326,19450220,    0,    1
  6743, 40326,19450221,    0,    1
  6743, 40326,19450222,   25,    1
  6743, 40326,19450223,    0,    1
  6743, 40326,19450224,    0,    1
  6743, 40326,19450225,    6,    0
  6743, 40326,19450226,    3,    1
  6743, 40326,19450227,    0,    1
  6743, 40326,19450228,   67,    0
  6743, 40326,19450301,  100,    0
  6743, 40326,19450302,    6,    1
  6743, 40326,19450303,    0,    1
  6743, 40326,19450304,    0,    1
  6743, 40326,19450305,   10,    0
  6743, 40326,19450306,    3,    1
  6743, 40326,19450307,    0,    1
  6743, 40326,19450308,    6,    1
  6743, 40326,19450309,    0,    1
  6743, 40326,19450310,    0,    1
  6743, 40326,19450311,    0,    1
  6743, 40326,19450312,    3,    0
  6743, 40326,19450313,    4,    0
  6743, 40326,19450314,   10,    0
  6743, 40326,19450315,   50,    1
  6743, 40326,19450316,    0,    1
  6743, 40326,19450317,    0,    1
  6743, 40326,19450318,    0,    1
  6743, 40326,19450319,    0,    1
  6743, 40326,19450320,    0,    1
  6743, 40326,19450321,    2,    0
  6743, 40326,19450322,    7,    1
  6743, 40326,19450323,    0,    1
  6743, 40326,19450324,    0,    1
  6743, 40326,19450325,    0,    1
  6743, 40326,19450326,    0,    1
  6743, 40326,19450327,    0,    1
  6743, 40326,19450328,    0,    1
  6743, 40326,19450329,    0,    1
  6743, 40326,19450330,    3,    1
  6743, 40326,19450331,    0,    1
  6743, 40326,19450401,   70,    0
  6743, 40326,19450402,    6,    1
  6743, 40326,19450403,    0,    1
  6743, 40326,19450404,    0,    1
  6743, 40326,19450405,    0,    1
  6743, 40326,19450406,    0,    1
  6743, 40326,19450407,    0,    1
  6743, 40326,19450408,    0,    1
  6743, 40326,19450409,    0,    1
  6743, 40326,19450410,    0,    1
  6743, 40326,19450411,    0,    1
  6743, 40326,19450412,   11,    1
  6743, 40326,19450413,    0,    1
  6743, 40326,19450414,    0,    1
  6743, 40326,19450415,    0,    1
  6743, 40326,19450416,   33,    0
  6743, 40326,19450417,   16,    0
  6743, 40326,19450418,   37,    1
  6743, 40326,19450419,    0,    1
  6743, 40326,19450420,    5,    1
  6743, 40326,19450421,    0,    1
  6743, 40326,19450422,    0,    1
  6743, 40326,19450423,    0,    1
  6743, 40326,19450424,    0,    1
  6743, 40326,19450425,   10,    0
  6743, 40326,19450426,    4,    0
  6743, 40326,19450427,    9,    0
  6743, 40326,19450428,  110,    0
  6743, 40326,19450429,   78,    0
  6743, 40326,19450430,   11,    1
  6743, 40326,19450501,    0,    1
  6743, 40326,19450502,    0,    1
  6743, 40326,19450503,    0,    1
  6743, 40326,19450504,    0,    1
  6743, 40326,19450505,    0,    1
  6743, 40326,19450506,    0,    1
  6743, 40326,19450507,    0,    1
  6743, 40326,19450508,    3,    1
  6743, 40326,19450509,    0,    1
  6743, 40326,19450510,    0,    1
  6743, 40326,19450511,    7,    1
  6743, 40326,19450512,    0,    1
  6743, 40326,19450513,   14,    0
  6743, 40326,19450514,   60,    0
  6743, 40326,19450515,   10,    1
  6743, 40326,19450516,    0,    1
  6743, 40326,19450517,   13,    0
  6743, 40326,19450518,  155,    1
  6743, 40326,19450519,    0,    1
  6743, 40326,19450520,    0,    1
  6743, 40326,19450521,    3,    1
  6743, 40326,19450522,    0,    1
  6743, 40326,19450523,    5,    1
  6743, 40326,19450524,    0,    1
  6743, 40326,19450525,    0,    1
  6743, 40326,19450526,    0,    1
  6743, 40326,19450527,    0,    1
  6743, 40326,19450528,    0,    1
  6743, 40326,19450529,    0,    1
  6743, 40326,19450530,   60,    0
  6743, 40326,19450531,   33,    1
  6743, 40326,19450601,    0,    1
  6743, 40326,19450602,    0,    1
  6743, 40326,19450603,   21,    0
  6743, 40326,19450604,  250,    1
  6743, 40326,19450605,    0,    1
  6743, 40326,19450606,    0,    1
  6743, 40326,19450607,   27,    0
  6743, 40326,19450608,    3,    1
  6743, 40326,19450609,    0,    1
  6743, 40326,19450610,    3,    1
  6743, 40326,19450611,    0,    1
  6743, 40326,19450612,   45,    0
  6743, 40326,19450613,  181,    0
  6743, 40326,19450614,   43,    0
  6743, 40326,19450615,    6,    0
  6743, 40326,19450616,   85,    0
  6743, 40326,19450617,   30,    1
  6743, 40326,19450618,    0,    1
  6743, 40326,19450619,    0,    1
  6743, 40326,19450620,    0,    1
  6743, 40326,19450621,    0,    1
  6743, 40326,19450622,    0,    1
  6743, 40326,19450623,    0,    1
  6743, 40326,19450624,    0,    1
  6743, 40326,19450625,    0,    1
  6743, 40326,19450626,    5,    1
  6743, 40326,19450627,    0,    1
  6743, 40326,19450628,    6,    1
  6743, 40326,19450629,    0,    1
  6743, 40326,19450630,    0,    1
  6743, 40326,19450701,    0,    1
  6743, 40326,19450702,    0,    1
  6743, 40326,19450703,    0,    1
  6743, 40326,19450704,    0,    1
  6743, 40326,19450705,    0,    1
  6743, 40326,19450706,   25,    1
  6743, 40326,19450707,    0,    1
  6743, 40326,19450708,    0,    1
  6743, 40326,19450709,   52,    0
  6743, 40326,19450710,  103,    0
  6743, 40326,19450711,    2,    1
  6743, 40326,19450712,    0,    1
  6743, 40326,19450713,    0,    1
  6743, 40326,19450714,   23,    1
  6743, 40326,19450715,    0,    1
  6743, 40326,19450716,    0,    1
  6743, 40326,19450717,    0,    1
  6743, 40326,19450718,    0,    1
  6743, 40326,19450719,    0,    1
  6743, 40326,19450720,    0,    1
  6743, 40326,19450721,  103,    0
  6743, 40326,19450722,    3,    0
  6743, 40326,19450723,   85,    0
  6743, 40326,19450724,    7,    0
  6743, 40326,19450725,  401,    0
  6743, 40326,19450726,   60,    1
  6743, 40326,19450727,    0,    1
  6743, 40326,19450728,    0,    1
  6743, 40326,19450729,  140,    0
  6743, 40326,19450730,   35,    1
  6743, 40326,19450731,    0,    1
  6743, 40326,19450801,    0,    1
  6743, 40326,19450802,    2,    1
