EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TARRAJAUR, SWEDEN (STAID: 6853)
Blended and updated with sources:40726 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  6853, 40726,19711001,    0,    0
  6853, 40726,19711002,    0,    0
  6853, 40726,19711003,    0,    0
  6853, 40726,19711004,    0,    0
  6853, 40726,19711005,    0,    0
  6853, 40726,19711006,   41,    0
  6853, 40726,19711007,    0,    0
  6853, 40726,19711008,    0,    0
  6853, 40726,19711009,    8,    0
  6853, 40726,19711010,   47,    0
  6853, 40726,19711011,   15,    0
  6853, 40726,19711012,   16,    0
  6853, 40726,19711013,    4,    0
  6853, 40726,19711014,    0,    0
  6853, 40726,19711015,    5,    0
  6853, 40726,19711016,   18,    0
  6853, 40726,19711017,   22,    0
  6853, 40726,19711018,   26,    0
  6853, 40726,19711019,  268,    0
  6853, 40726,19711020,   28,    0
  6853, 40726,19711021,    7,    0
  6853, 40726,19711022,    5,    0
  6853, 40726,19711023,   21,    0
  6853, 40726,19711024,   15,    1
  6853, 40726,19711025,    0,    1
  6853, 40726,19711026,    0,    1
  6853, 40726,19711027,    0,    1
  6853, 40726,19711028,    0,    1
  6853, 40726,19711029,    0,    1
  6853, 40726,19711030,    0,    1
  6853, 40726,19711031,    2,    0
  6853, 40726,19711101,    3,    0
  6853, 40726,19711102,   49,    0
  6853, 40726,19711103,   41,    0
  6853, 40726,19711104,    0,    0
  6853, 40726,19711105,    0,    0
  6853, 40726,19711106,    0,    0
  6853, 40726,19711107,    0,    0
  6853, 40726,19711108,   48,    0
  6853, 40726,19711109,    5,    0
  6853, 40726,19711110,   17,    0
  6853, 40726,19711111,   19,    0
  6853, 40726,19711112,    0,    0
  6853, 40726,19711113,   75,    0
  6853, 40726,19711114,   22,    0
  6853, 40726,19711115,    5,    0
  6853, 40726,19711116,   50,    1
  6853, 40726,19711117,    0,    1
  6853, 40726,19711118,    0,    1
  6853, 40726,19711119,    0,    1
  6853, 40726,19711120,    0,    1
  6853, 40726,19711121,    0,    1
  6853, 40726,19711122,    0,    1
  6853, 40726,19711123,    1,    0
  6853, 40726,19711124,   11,    0
  6853, 40726,19711125,    6,    0
  6853, 40726,19711126,    0,    0
  6853, 40726,19711127,    5,    0
  6853, 40726,19711128,    1,    0
  6853, 40726,19711129,    3,    0
  6853, 40726,19711130,   91,    0
  6853, 40726,19711201,    0,    0
  6853, 40726,19711202,    0,    0
  6853, 40726,19711203,    2,    0
  6853, 40726,19711204,    5,    0
  6853, 40726,19711205,    0,    0
  6853, 40726,19711206,   12,    0
  6853, 40726,19711207,    0,    0
  6853, 40726,19711208,    0,    0
  6853, 40726,19711209,   15,    0
  6853, 40726,19711210,   49,    0
  6853, 40726,19711211,    3,    0
  6853, 40726,19711212,    2,    0
  6853, 40726,19711213,   39,    0
  6853, 40726,19711214,    0,    0
  6853, 40726,19711215,    8,    0
  6853, 40726,19711216,    0,    0
  6853, 40726,19711217,    0,    0
  6853, 40726,19711218,    2,    0
  6853, 40726,19711219,    0,    0
