EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KENTTASAARI_D, SWEDEN (STAID: 6871)
Blended and updated with sources:40790 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  6871, 40790,20060201,   26,    0
  6871, 40790,20060202,   30,    0
  6871, 40790,20060203,    0,    0
  6871, 40790,20060204,    0,    0
  6871, 40790,20060205,    0,    0
  6871, 40790,20060206,   18,    0
  6871, 40790,20060207,   10,    0
  6871, 40790,20060208,    0,    0
  6871, 40790,20060209,    0,    0
  6871, 40790,20060210,    0,    0
  6871, 40790,20060211,    0,    0
  6871, 40790,20060212,    0,    0
  6871, 40790,20060213,    0,    0
  6871, 40790,20060214,    0,    0
  6871, 40790,20060215,    0,    0
  6871, 40790,20060216,    4,    0
  6871, 40790,20060217,    3,    0
  6871, 40790,20060218,    2,    0
  6871, 40790,20060219,    5,    0
  6871, 40790,20060220,    5,    0
  6871, 40790,20060221,   12,    0
  6871, 40790,20060222,    7,    0
  6871, 40790,20060223,    0,    0
  6871, 40790,20060224,    0,    0
  6871, 40790,20060225,    0,    0
  6871, 40790,20060226,    0,    0
  6871, 40790,20060227,    0,    0
  6871, 40790,20060228,    3,    0
  6871, 40790,20060301,    0,    0
  6871, 40790,20060302,    2,    0
  6871, 40790,20060303,    0,    0
  6871, 40790,20060304,    5,    0
  6871, 40790,20060305,    2,    0
  6871, 40790,20060306,    0,    0
  6871, 40790,20060307,    0,    0
  6871, 40790,20060308,    1,    0
  6871, 40790,20060309,   10,    0
  6871, 40790,20060310,   20,    0
  6871, 40790,20060311,    0,    0
  6871, 40790,20060312,    0,    0
  6871, 40790,20060313,    0,    0
  6871, 40790,20060314,    0,    0
  6871, 40790,20060315,    0,    0
  6871, 40790,20060316,    0,    0
  6871, 40790,20060317,   12,    0
  6871, 40790,20060318,    6,    0
  6871, 40790,20060319,    0,    0
  6871, 40790,20060320,    0,    0
  6871, 40790,20060321,    0,    0
  6871, 40790,20060322,    0,    0
  6871, 40790,20060323,    4,    0
  6871, 40790,20060324,   12,    0
  6871, 40790,20060325,    4,    0
  6871, 40790,20060326,    0,    0
  6871, 40790,20060327,    0,    0
  6871, 40790,20060328,    0,    0
  6871, 40790,20060329,    0,    0
  6871, 40790,20060330,    0,    0
  6871, 40790,20060331,   13,    0
  6871, 40790,20060401,   28,    0
  6871, 40790,20060402,    0,    0
  6871, 40790,20060403,   21,    0
  6871, 40790,20060404,    1,    0
  6871, 40790,20060405,    2,    0
  6871, 40790,20060406,   60,    0
  6871, 40790,20060407,   12,    0
  6871, 40790,20060408,   18,    0
  6871, 40790,20060409,   76,    0
  6871, 40790,20060410,    0,    0
