EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KIRKKONUMMI PICKALA, FINLAND (STAID: 6999)
Blended and updated with sources:42121 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  6999, 42121,19650101,    3,    0
  6999, 42121,19650102,  121,    0
  6999, 42121,19650103,   24,    0
  6999, 42121,19650104,   32,    0
  6999, 42121,19650105,    8,    0
  6999, 42121,19650106,   51,    0
  6999, 42121,19650107,    0,    0
  6999, 42121,19650108,    0,    0
  6999, 42121,19650109,    0,    0
  6999, 42121,19650110,   15,    0
  6999, 42121,19650111,    2,    0
  6999, 42121,19650112,    8,    0
  6999, 42121,19650113,    0,    0
  6999, 42121,19650114,    0,    0
  6999, 42121,19650115,   12,    0
  6999, 42121,19650116,   66,    0
  6999, 42121,19650117,    2,    0
  6999, 42121,19650118,    0,    0
  6999, 42121,19650119,    0,    0
  6999, 42121,19650120,    7,    0
  6999, 42121,19650121,   26,    0
  6999, 42121,19650122,    6,    0
  6999, 42121,19650123,    2,    0
  6999, 42121,19650124,    2,    0
  6999, 42121,19650125,    0,    0
  6999, 42121,19650126,    0,    0
  6999, 42121,19650127,    0,    0
  6999, 42121,19650128,   36,    0
  6999, 42121,19650129,    3,    0
  6999, 42121,19650130,    4,    0
  6999, 42121,19650131,   12,    0
  6999, 42121,19650201,    0,    0
  6999, 42121,19650202,    0,    0
  6999, 42121,19650203,    0,    0
  6999, 42121,19650204,   16,    0
  6999, 42121,19650205,    0,    0
  6999, 42121,19650206,   10,    0
  6999, 42121,19650207,   26,    0
  6999, 42121,19650208,    3,    0
  6999, 42121,19650209,    9,    0
  6999, 42121,19650210,    0,    0
  6999, 42121,19650211,    0,    0
  6999, 42121,19650212,   14,    0
  6999, 42121,19650213,   40,    0
  6999, 42121,19650214,    2,    1
  6999, 42121,19650215,    0,    1
  6999, 42121,19650216,    0,    1
  6999, 42121,19650217,    0,    1
  6999, 42121,19650218,    0,    1
  6999, 42121,19650219,    0,    1
  6999, 42121,19650220,    0,    1
  6999, 42121,19650221,    0,    1
  6999, 42121,19650222,    0,    1
  6999, 42121,19650223,    6,    1
  6999, 42121,19650224,    0,    1
  6999, 42121,19650225,    0,    1
  6999, 42121,19650226,    0,    1
  6999, 42121,19650227,    0,    1
  6999, 42121,19650228,    0,    1
  6999, 42121,19650301,    0,    1
  6999, 42121,19650302,    0,    1
  6999, 42121,19650303,    0,    1
  6999, 42121,19650304,    0,    1
  6999, 42121,19650305,    0,    1
  6999, 42121,19650306,    0,    1
  6999, 42121,19650307,    0,    1
  6999, 42121,19650308,    0,    1
  6999, 42121,19650309,   18,    0
  6999, 42121,19650310,    6,    1
  6999, 42121,19650311,    0,    1
  6999, 42121,19650312,    0,    1
  6999, 42121,19650313,    0,    1
  6999, 42121,19650314,    0,    1
  6999, 42121,19650315,   26,    0
  6999, 42121,19650316,   25,    0
  6999, 42121,19650317,    5,    0
  6999, 42121,19650318,   22,    0
  6999, 42121,19650319,    2,    0
  6999, 42121,19650320,    6,    0
  6999, 42121,19650321,    0,    0
  6999, 42121,19650322,    0,    0
  6999, 42121,19650323,   26,    0
  6999, 42121,19650324,    2,    0
  6999, 42121,19650325,    0,    0
  6999, 42121,19650326,    0,    0
  6999, 42121,19650327,   28,    0
  6999, 42121,19650328,   43,    0
  6999, 42121,19650329,    0,    0
  6999, 42121,19650330,    0,    0
  6999, 42121,19650331,    1,    0
  6999, 42121,19650401,    0,    0
  6999, 42121,19650402,   20,    0
  6999, 42121,19650403,    2,    0
  6999, 42121,19650404,    0,    0
  6999, 42121,19650405,   20,    1
  6999, 42121,19650406,    0,    1
  6999, 42121,19650407,    0,    1
  6999, 42121,19650408,    0,    1
  6999, 42121,19650409,    0,    1
  6999, 42121,19650410,    0,    1
  6999, 42121,19650411,    4,    1
  6999, 42121,19650412,    0,    1
  6999, 42121,19650413,    0,    1
  6999, 42121,19650414,    0,    1
  6999, 42121,19650415,    0,    1
  6999, 42121,19650416,   40,    0
  6999, 42121,19650417,    1,    1
  6999, 42121,19650418,    0,    1
  6999, 42121,19650419,    0,    1
  6999, 42121,19650420,    0,    1
  6999, 42121,19650421,    0,    1
  6999, 42121,19650422,    0,    1
  6999, 42121,19650423,    0,    1
  6999, 42121,19650424,   41,    0
  6999, 42121,19650425,   10,    1
  6999, 42121,19650426,    0,    1
  6999, 42121,19650427,    0,    1
  6999, 42121,19650428,    0,    1
  6999, 42121,19650429,    0,    1
  6999, 42121,19650430,    0,    1
  6999, 42121,19650501,    0,    1
  6999, 42121,19650502,    0,    1
  6999, 42121,19650503,    0,    1
  6999, 42121,19650504,    0,    1
  6999, 42121,19650505,    0,    1
  6999, 42121,19650506,    0,    1
  6999, 42121,19650507,    0,    1
  6999, 42121,19650508,   11,    0
  6999, 42121,19650509,    2,    0
  6999, 42121,19650510,    3,    0
  6999, 42121,19650511,    0,    0
  6999, 42121,19650512,    8,    0
  6999, 42121,19650513,    4,    0
  6999, 42121,19650514,    0,    0
  6999, 42121,19650515,    0,    0
  6999, 42121,19650516,   33,    0
  6999, 42121,19650517,   11,    0
  6999, 42121,19650518,    9,    0
  6999, 42121,19650519,    2,    0
  6999, 42121,19650520,    2,    0
  6999, 42121,19650521,   45,    1
  6999, 42121,19650522,    0,    1
  6999, 42121,19650523,    0,    1
  6999, 42121,19650524,    0,    1
  6999, 42121,19650525,    0,    1
  6999, 42121,19650526,    0,    1
  6999, 42121,19650527,    0,    1
  6999, 42121,19650528,    0,    1
  6999, 42121,19650529,    3,    1
  6999, 42121,19650530,    0,    1
  6999, 42121,19650531,    0,    1
  6999, 42121,19650601,    0,    1
  6999, 42121,19650602,    0,    1
  6999, 42121,19650603,    2,    1
  6999, 42121,19650604,    0,    1
  6999, 42121,19650605,    0,    1
  6999, 42121,19650606,    0,    1
  6999, 42121,19650607,    0,    1
  6999, 42121,19650608,    0,    1
  6999, 42121,19650609,    5,    1
  6999, 42121,19650610,    0,    1
  6999, 42121,19650611,    0,    1
  6999, 42121,19650612,    0,    1
  6999, 42121,19650613,    0,    1
  6999, 42121,19650614,   29,    0
  6999, 42121,19650615,    0,    0
  6999, 42121,19650616,    0,    0
  6999, 42121,19650617,    0,    0
  6999, 42121,19650618,    7,    0
  6999, 42121,19650619,   29,    0
  6999, 42121,19650620,   67,    0
  6999, 42121,19650621,    0,    0
  6999, 42121,19650622,   25,    0
  6999, 42121,19650623,    5,    0
  6999, 42121,19650624,   37,    0
  6999, 42121,19650625,    0,    0
  6999, 42121,19650626,   46,    0
  6999, 42121,19650627,    1,    0
  6999, 42121,19650628,   12,    0
  6999, 42121,19650629,    8,    0
  6999, 42121,19650630,   43,    0
  6999, 42121,19650701,   16,    0
  6999, 42121,19650702,    4,    0
  6999, 42121,19650703,   12,    0
  6999, 42121,19650704,    0,    0
  6999, 42121,19650705,   74,    0
  6999, 42121,19650706,   17,    0
  6999, 42121,19650707,   45,    0
  6999, 42121,19650708,   25,    0
  6999, 42121,19650709,   83,    0
  6999, 42121,19650710,    0,    0
  6999, 42121,19650711,   30,    0
  6999, 42121,19650712,    5,    0
  6999, 42121,19650713,   35,    1
  6999, 42121,19650714,    0,    1
  6999, 42121,19650715,    0,    1
  6999, 42121,19650716,    0,    1
  6999, 42121,19650717,    0,    1
  6999, 42121,19650718,    0,    1
  6999, 42121,19650719,    0,    1
  6999, 42121,19650720,    0,    1
  6999, 42121,19650721,    0,    1
  6999, 42121,19650722,    0,    1
  6999, 42121,19650723,    9,    0
  6999, 42121,19650724,    2,    0
  6999, 42121,19650725,   74,    0
  6999, 42121,19650726,    7,    0
  6999, 42121,19650727,    0,    0
  6999, 42121,19650728,    0,    0
  6999, 42121,19650729,   13,    0
  6999, 42121,19650730,  145,    0
  6999, 42121,19650731,  118,    0
