EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MANTYHARJU HALMENIEMI, FINLAND (STAID: 7208)
Blended and updated with sources:43201 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  7208, 43201,19650101,    0,    0
  7208, 43201,19650102,   13,    0
  7208, 43201,19650103,    8,    0
  7208, 43201,19650104,   52,    0
  7208, 43201,19650105,   40,    0
  7208, 43201,19650106,    0,    0
  7208, 43201,19650107,   40,    0
  7208, 43201,19650108,    0,    0
  7208, 43201,19650109,    0,    0
  7208, 43201,19650110,    0,    0
  7208, 43201,19650111,   13,    0
  7208, 43201,19650112,    4,    0
  7208, 43201,19650113,    3,    0
  7208, 43201,19650114,    0,    0
  7208, 43201,19650115,    0,    0
  7208, 43201,19650116,    0,    0
  7208, 43201,19650117,   18,    0
  7208, 43201,19650118,    2,    0
  7208, 43201,19650119,    0,    0
  7208, 43201,19650120,    6,    0
  7208, 43201,19650121,    4,    0
  7208, 43201,19650122,   32,    0
  7208, 43201,19650123,   10,    0
  7208, 43201,19650124,    0,    0
  7208, 43201,19650125,    0,    0
  7208, 43201,19650126,   29,    0
  7208, 43201,19650127,    0,    0
  7208, 43201,19650128,    0,    0
  7208, 43201,19650129,   27,    0
  7208, 43201,19650130,   54,    0
  7208, 43201,19650131,   13,    0
  7208, 43201,19650201,    4,    0
  7208, 43201,19650202,    5,    0
  7208, 43201,19650203,    9,    0
  7208, 43201,19650204,    0,    0
  7208, 43201,19650205,    3,    0
  7208, 43201,19650206,    4,    0
  7208, 43201,19650207,    0,    0
  7208, 43201,19650208,    7,    0
  7208, 43201,19650209,    3,    0
  7208, 43201,19650210,    0,    0
  7208, 43201,19650211,    7,    0
  7208, 43201,19650212,   22,    0
  7208, 43201,19650213,   29,    0
  7208, 43201,19650214,   63,    0
  7208, 43201,19650215,   24,    0
  7208, 43201,19650216,    3,    0
  7208, 43201,19650217,    0,    0
  7208, 43201,19650218,    0,    0
  7208, 43201,19650219,    0,    0
  7208, 43201,19650220,    9,    0
  7208, 43201,19650221,    8,    0
  7208, 43201,19650222,    0,    0
  7208, 43201,19650223,    7,    0
  7208, 43201,19650224,    3,    0
  7208, 43201,19650225,    0,    0
  7208, 43201,19650226,    0,    0
  7208, 43201,19650227,    0,    0
  7208, 43201,19650228,    0,    0
  7208, 43201,19650301,    7,    0
  7208, 43201,19650302,    0,    0
  7208, 43201,19650303,    0,    0
  7208, 43201,19650304,    0,    0
  7208, 43201,19650305,    0,    0
  7208, 43201,19650306,    0,    0
  7208, 43201,19650307,    0,    0
  7208, 43201,19650308,    8,    0
  7208, 43201,19650309,    0,    0
  7208, 43201,19650310,    0,    0
  7208, 43201,19650311,   13,    0
  7208, 43201,19650312,    0,    0
  7208, 43201,19650313,    0,    0
  7208, 43201,19650314,    0,    0
  7208, 43201,19650315,    0,    0
  7208, 43201,19650316,   16,    0
  7208, 43201,19650317,   23,    0
  7208, 43201,19650318,    3,    0
  7208, 43201,19650319,    0,    0
  7208, 43201,19650320,    4,    0
  7208, 43201,19650321,    0,    0
  7208, 43201,19650322,    0,    0
  7208, 43201,19650323,   19,    0
  7208, 43201,19650324,   32,    0
  7208, 43201,19650325,   27,    0
  7208, 43201,19650326,   13,    0
  7208, 43201,19650327,    0,    0
  7208, 43201,19650328,   18,    0
  7208, 43201,19650329,   70,    0
  7208, 43201,19650330,   10,    0
  7208, 43201,19650331,    0,    0
  7208, 43201,19650401,    0,    0
  7208, 43201,19650402,    0,    0
  7208, 43201,19650403,   33,    0
  7208, 43201,19650404,    9,    0
  7208, 43201,19650405,    0,    0
  7208, 43201,19650406,   26,    0
  7208, 43201,19650407,    0,    0
  7208, 43201,19650408,    0,    0
  7208, 43201,19650409,    0,    0
  7208, 43201,19650410,    0,    0
  7208, 43201,19650411,    0,    0
  7208, 43201,19650412,    0,    0
  7208, 43201,19650413,    0,    0
  7208, 43201,19650414,    0,    0
  7208, 43201,19650415,    0,    0
  7208, 43201,19650416,    0,    0
  7208, 43201,19650417,    0,    0
  7208, 43201,19650418,    0,    0
  7208, 43201,19650419,    0,    0
  7208, 43201,19650420,    0,    0
  7208, 43201,19650421,    0,    0
  7208, 43201,19650422,    0,    0
  7208, 43201,19650423,    0,    0
  7208, 43201,19650424,    0,    0
  7208, 43201,19650425,    0,    0
  7208, 43201,19650426,    0,    0
  7208, 43201,19650427,    0,    0
  7208, 43201,19650428,    0,    0
  7208, 43201,19650429,    0,    0
  7208, 43201,19650430,    0,    0
  7208, 43201,19650501,    8,    0
  7208, 43201,19650502,    0,    0
  7208, 43201,19650503,    0,    0
  7208, 43201,19650504,    0,    0
  7208, 43201,19650505,    0,    0
  7208, 43201,19650506,    0,    0
  7208, 43201,19650507,    0,    0
  7208, 43201,19650508,    0,    0
  7208, 43201,19650509,    0,    0
  7208, 43201,19650510,    0,    0
  7208, 43201,19650511,    0,    0
  7208, 43201,19650512,    0,    0
  7208, 43201,19650513,   10,    0
  7208, 43201,19650514,   35,    0
  7208, 43201,19650515,   11,    0
  7208, 43201,19650516,    4,    0
  7208, 43201,19650517,   45,    0
  7208, 43201,19650518,   50,    0
  7208, 43201,19650519,   24,    0
  7208, 43201,19650520,   27,    0
  7208, 43201,19650521,    3,    0
  7208, 43201,19650522,    0,    0
  7208, 43201,19650523,    0,    0
  7208, 43201,19650524,    7,    0
  7208, 43201,19650525,    0,    0
  7208, 43201,19650526,    0,    0
  7208, 43201,19650527,    0,    0
  7208, 43201,19650528,    0,    0
  7208, 43201,19650529,    0,    0
  7208, 43201,19650530,    0,    0
  7208, 43201,19650531,    0,    0
  7208, 43201,19650601,    0,    0
  7208, 43201,19650602,    0,    0
  7208, 43201,19650603,   26,    0
  7208, 43201,19650604,    0,    0
  7208, 43201,19650605,    0,    0
  7208, 43201,19650606,    0,    0
  7208, 43201,19650607,    0,    0
  7208, 43201,19650608,    0,    0
  7208, 43201,19650609,    0,    0
  7208, 43201,19650610,    6,    0
  7208, 43201,19650611,    0,    0
  7208, 43201,19650612,    0,    0
  7208, 43201,19650613,    0,    0
  7208, 43201,19650614,    0,    0
  7208, 43201,19650615,    0,    0
  7208, 43201,19650616,  179,    0
  7208, 43201,19650617,    0,    0
  7208, 43201,19650618,    7,    0
  7208, 43201,19650619,   78,    0
  7208, 43201,19650620,   15,    0
  7208, 43201,19650621,    0,    0
  7208, 43201,19650622,    0,    0
  7208, 43201,19650623,  253,    0
  7208, 43201,19650624,  107,    0
  7208, 43201,19650625,   10,    0
  7208, 43201,19650626,   78,    0
  7208, 43201,19650627,    3,    0
  7208, 43201,19650628,    4,    0
  7208, 43201,19650629,    2,    0
  7208, 43201,19650630,    7,    0
  7208, 43201,19650701,    3,    0
  7208, 43201,19650702,   22,    0
  7208, 43201,19650703,   33,    0
  7208, 43201,19650704,   26,    0
  7208, 43201,19650705,   44,    0
  7208, 43201,19650706,    8,    0
  7208, 43201,19650707,  124,    0
  7208, 43201,19650708,  135,    0
  7208, 43201,19650709,   59,    0
  7208, 43201,19650710,   15,    0
  7208, 43201,19650711,    8,    0
  7208, 43201,19650712,    0,    0
  7208, 43201,19650713,   45,    0
  7208, 43201,19650714,    0,    0
  7208, 43201,19650715,    4,    0
  7208, 43201,19650716,    9,    0
  7208, 43201,19650717,    0,    0
  7208, 43201,19650718,    0,    0
  7208, 43201,19650719,    0,    0
  7208, 43201,19650720,    0,    0
  7208, 43201,19650721,    0,    0
  7208, 43201,19650722,    0,    0
  7208, 43201,19650723,    0,    0
  7208, 43201,19650724,   30,    0
  7208, 43201,19650725,   17,    0
  7208, 43201,19650726,  137,    0
  7208, 43201,19650727,   32,    0
  7208, 43201,19650728,   49,    0
  7208, 43201,19650729,   52,    0
  7208, 43201,19650730,  178,    0
  7208, 43201,19650731,   79,    0
  7208, 43201,19650801,   37,    0
  7208, 43201,19650802,    0,    0
  7208, 43201,19650803,  117,    0
  7208, 43201,19650804,  110,    0
  7208, 43201,19650805,   52,    0
  7208, 43201,19650806,  131,    0
  7208, 43201,19650807,   54,    0
  7208, 43201,19650808,   37,    0
  7208, 43201,19650809,    0,    0
  7208, 43201,19650810,    0,    0
  7208, 43201,19650811,   12,    0
  7208, 43201,19650812,    3,    0
  7208, 43201,19650813,    0,    0
  7208, 43201,19650814,    4,    0
  7208, 43201,19650815,    7,    0
  7208, 43201,19650816,    7,    0
  7208, 43201,19650817,    2,    0
  7208, 43201,19650818,    0,    0
  7208, 43201,19650819,    0,    0
  7208, 43201,19650820,    0,    0
  7208, 43201,19650821,  128,    0
  7208, 43201,19650822,    0,    0
  7208, 43201,19650823,    0,    0
  7208, 43201,19650824,    0,    0
  7208, 43201,19650825,    0,    0
  7208, 43201,19650826,    0,    0
  7208, 43201,19650827,    0,    0
  7208, 43201,19650828,    0,    0
  7208, 43201,19650829,    5,    0
  7208, 43201,19650830,    4,    0
  7208, 43201,19650831,    3,    0
  7208, 43201,19650901,    0,    0
  7208, 43201,19650902,   36,    0
  7208, 43201,19650903,    0,    0
  7208, 43201,19650904,    0,    0
  7208, 43201,19650905,    0,    0
  7208, 43201,19650906,   45,    0
  7208, 43201,19650907,   10,    0
  7208, 43201,19650908,    0,    0
  7208, 43201,19650909,    0,    0
  7208, 43201,19650910,   21,    0
  7208, 43201,19650911,  194,    0
  7208, 43201,19650912,    5,    0
  7208, 43201,19650913,    0,    0
  7208, 43201,19650914,    9,    0
  7208, 43201,19650915,    0,    0
  7208, 43201,19650916,    0,    0
  7208, 43201,19650917,    7,    0
  7208, 43201,19650918,   52,    0
  7208, 43201,19650919,    3,    0
  7208, 43201,19650920,    0,    0
  7208, 43201,19650921,    0,    0
  7208, 43201,19650922,    0,    0
  7208, 43201,19650923,    0,    0
  7208, 43201,19650924,    0,    0
  7208, 43201,19650925,    0,    0
  7208, 43201,19650926,    0,    0
  7208, 43201,19650927,    4,    0
  7208, 43201,19650928,   10,    0
  7208, 43201,19650929,   54,    0
  7208, 43201,19650930,    7,    0
  7208, 43201,19651001,    0,    0
  7208, 43201,19651002,    0,    0
  7208, 43201,19651003,    0,    0
  7208, 43201,19651004,    0,    0
  7208, 43201,19651005,    0,    0
  7208, 43201,19651006,  122,    0
  7208, 43201,19651007,   14,    0
  7208, 43201,19651008,   23,    0
