EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KURIKKA KESKUSTA, FINLAND (STAID: 7430)
Blended and updated with sources:44332 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  7430, 44332,19650101,   34,    0
  7430, 44332,19650102,   12,    0
  7430, 44332,19650103,    0,    0
  7430, 44332,19650104,   38,    0
  7430, 44332,19650105,    5,    0
  7430, 44332,19650106,    0,    0
  7430, 44332,19650107,    7,    0
  7430, 44332,19650108,    0,    0
  7430, 44332,19650109,    0,    0
  7430, 44332,19650110,    4,    0
  7430, 44332,19650111,   67,    0
  7430, 44332,19650112,   12,    0
  7430, 44332,19650113,   24,    0
  7430, 44332,19650114,   22,    0
  7430, 44332,19650115,    2,    0
  7430, 44332,19650116,   40,    0
  7430, 44332,19650117,   72,    0
  7430, 44332,19650118,   68,    0
  7430, 44332,19650119,   24,    0
  7430, 44332,19650120,    2,    0
  7430, 44332,19650121,   33,    0
  7430, 44332,19650122,   90,    0
  7430, 44332,19650123,   16,    0
  7430, 44332,19650124,    3,    0
  7430, 44332,19650125,   17,    0
  7430, 44332,19650126,    8,    0
  7430, 44332,19650127,    2,    0
  7430, 44332,19650128,    0,    0
  7430, 44332,19650129,   35,    0
  7430, 44332,19650130,   19,    0
  7430, 44332,19650131,    5,    0
  7430, 44332,19650201,   12,    0
  7430, 44332,19650202,    0,    0
  7430, 44332,19650203,    0,    0
  7430, 44332,19650204,   12,    0
  7430, 44332,19650205,   30,    0
  7430, 44332,19650206,    0,    0
  7430, 44332,19650207,   12,    0
  7430, 44332,19650208,    0,    0
  7430, 44332,19650209,   34,    0
  7430, 44332,19650210,    4,    0
  7430, 44332,19650211,    0,    0
  7430, 44332,19650212,    1,    0
  7430, 44332,19650213,   44,    0
  7430, 44332,19650214,   34,    0
  7430, 44332,19650215,   33,    0
  7430, 44332,19650216,    0,    0
  7430, 44332,19650217,    9,    0
  7430, 44332,19650218,    3,    0
  7430, 44332,19650219,    5,    0
  7430, 44332,19650220,    0,    0
  7430, 44332,19650221,    4,    0
  7430, 44332,19650222,    0,    0
  7430, 44332,19650223,   32,    0
  7430, 44332,19650224,   22,    0
  7430, 44332,19650225,    0,    0
  7430, 44332,19650226,    0,    0
  7430, 44332,19650227,    0,    0
  7430, 44332,19650228,    0,    0
  7430, 44332,19650301,   15,    0
  7430, 44332,19650302,    0,    0
  7430, 44332,19650303,    0,    0
  7430, 44332,19650304,    0,    0
  7430, 44332,19650305,    0,    0
  7430, 44332,19650306,    1,    0
  7430, 44332,19650307,    0,    0
  7430, 44332,19650308,   28,    0
  7430, 44332,19650309,   13,    0
  7430, 44332,19650310,    0,    0
  7430, 44332,19650311,    0,    0
  7430, 44332,19650312,    0,    0
  7430, 44332,19650313,    0,    0
  7430, 44332,19650314,    0,    0
  7430, 44332,19650315,    0,    0
  7430, 44332,19650316,   24,    0
  7430, 44332,19650317,   14,    0
  7430, 44332,19650318,    6,    0
  7430, 44332,19650319,   37,    0
  7430, 44332,19650320,   73,    0
  7430, 44332,19650321,   11,    0
  7430, 44332,19650322,    0,    0
  7430, 44332,19650323,    0,    0
  7430, 44332,19650324,   17,    0
  7430, 44332,19650325,    0,    0
  7430, 44332,19650326,    0,    0
  7430, 44332,19650327,    0,    0
  7430, 44332,19650328,   32,    0
  7430, 44332,19650329,   27,    0
  7430, 44332,19650330,    0,    0
  7430, 44332,19650331,    0,    0
  7430, 44332,19650401,    0,    0
  7430, 44332,19650402,    7,    0
  7430, 44332,19650403,   29,    0
  7430, 44332,19650404,    2,    0
  7430, 44332,19650405,    0,    0
  7430, 44332,19650406,   37,    0
  7430, 44332,19650407,    0,    0
  7430, 44332,19650408,    0,    0
  7430, 44332,19650409,    0,    0
  7430, 44332,19650410,    0,    0
  7430, 44332,19650411,    0,    0
  7430, 44332,19650412,    7,    0
  7430, 44332,19650413,    0,    0
  7430, 44332,19650414,    0,    0
  7430, 44332,19650415,    0,    0
  7430, 44332,19650416,    1,    0
  7430, 44332,19650417,   17,    0
  7430, 44332,19650418,    8,    0
  7430, 44332,19650419,    4,    0
  7430, 44332,19650420,    0,    0
  7430, 44332,19650421,    0,    0
  7430, 44332,19650422,    0,    0
  7430, 44332,19650423,    0,    0
  7430, 44332,19650424,    0,    0
  7430, 44332,19650425,    0,    0
  7430, 44332,19650426,    6,    0
  7430, 44332,19650427,    0,    0
  7430, 44332,19650428,    0,    0
  7430, 44332,19650429,    0,    0
  7430, 44332,19650430,    0,    0
  7430, 44332,19650501,    0,    0
  7430, 44332,19650502,    0,    0
  7430, 44332,19650503,    0,    0
  7430, 44332,19650504,    0,    0
  7430, 44332,19650505,    0,    0
  7430, 44332,19650506,    0,    0
  7430, 44332,19650507,    0,    0
  7430, 44332,19650508,    0,    0
  7430, 44332,19650509,    0,    0
  7430, 44332,19650510,    0,    0
  7430, 44332,19650511,    3,    0
  7430, 44332,19650512,    0,    0
  7430, 44332,19650513,   35,    0
  7430, 44332,19650514,   29,    0
  7430, 44332,19650515,    0,    0
  7430, 44332,19650516,    0,    0
  7430, 44332,19650517,   76,    0
  7430, 44332,19650518,    2,    0
  7430, 44332,19650519,   87,    0
  7430, 44332,19650520,    8,    0
  7430, 44332,19650521,   31,    0
  7430, 44332,19650522,    0,    0
  7430, 44332,19650523,    0,    0
  7430, 44332,19650524,    0,    0
  7430, 44332,19650525,   13,    0
  7430, 44332,19650526,    4,    0
  7430, 44332,19650527,    2,    0
  7430, 44332,19650528,    4,    0
  7430, 44332,19650529,    0,    0
