EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LAUKAA NURMIJARVI JOKIHAARA, FINLAND (STAID: 7474)
Blended and updated with sources:44562 44642 44652 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  7474, 44642,19650101,   28,    0
  7474, 44642,19650102,    0,    0
  7474, 44642,19650103,    7,    0
  7474, 44642,19650104,   27,    0
  7474, 44642,19650105,   27,    0
  7474, 44642,19650106,   37,    0
  7474, 44642,19650107,   21,    0
  7474, 44642,19650108,    4,    0
  7474, 44642,19650109,    0,    0
  7474, 44642,19650110,    0,    0
  7474, 44562,19650111,   62,    0
  7474, 44642,19650112,    3,    0
  7474, 44642,19650113,   10,    0
  7474, 44642,19650114,    3,    0
  7474, 44642,19650115,    0,    0
  7474, 44562,19650116,   62,    0
  7474, 44562,19650117,   49,    0
  7474, 44642,19650118,    0,    0
  7474, 44642,19650119,    3,    0
  7474, 44642,19650120,    6,    0
  7474, 44642,19650121,   24,    0
  7474, 44642,19650122,   12,    0
  7474, 44642,19650123,   23,    0
  7474, 44642,19650124,    6,    0
  7474, 44642,19650125,    0,    0
  7474, 44642,19650126,    0,    0
  7474, 44642,19650127,    4,    0
  7474, 44642,19650128,    6,    0
  7474, 44642,19650129,   21,    0
  7474, 44562,19650130,   51,    0
  7474, 44562,19650131,   48,    0
  7474, 44642,19650201,    6,    0
  7474, 44642,19650202,    0,    0
  7474, 44642,19650203,    3,    0
  7474, 44642,19650204,    0,    0
  7474, 44642,19650205,   52,    0
  7474, 44642,19650206,    0,    0
  7474, 44642,19650207,    0,    0
  7474, 44642,19650208,    3,    0
  7474, 44642,19650209,   45,    0
  7474, 44642,19650210,    2,    0
  7474, 44642,19650211,   42,    0
  7474, 44642,19650212,   38,    0
  7474, 44562,19650213,   34,    0
  7474, 44562,19650214,   12,    0
  7474, 44642,19650215,   42,    0
  7474, 44642,19650216,    0,    0
  7474, 44642,19650217,    3,    0
  7474, 44642,19650218,    2,    0
  7474, 44642,19650219,    0,    0
  7474, 44642,19650220,    0,    0
  7474, 44642,19650221,    0,    0
  7474, 44642,19650222,    0,    0
  7474, 44642,19650223,    0,    0
  7474, 44642,19650224,    0,    0
  7474, 44642,19650225,    0,    0
  7474, 44642,19650226,    0,    0
