EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station YLIVIESKA LENTOKENTTA, FINLAND (STAID: 7604)
Blended and updated with sources:45227 45232 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  7604, 45227,20000526,-9999,    9
  7604, 45227,20000527,-9999,    9
  7604, 45227,20000528,-9999,    9
  7604, 45227,20000529,-9999,    9
  7604, 45227,20000530,-9999,    9
  7604, 45227,20000531,-9999,    9
  7604, 45227,20000601,-9999,    9
  7604, 45227,20000602,-9999,    9
  7604, 45227,20000603,-9999,    9
  7604, 45227,20000604,-9999,    9
  7604, 45227,20000605,-9999,    9
  7604, 45227,20000606,-9999,    9
  7604, 45227,20000607,-9999,    9
  7604, 45227,20000608,-9999,    9
  7604, 45227,20000609,-9999,    9
  7604, 45227,20000610,-9999,    9
  7604, 45227,20000611,-9999,    9
  7604, 45227,20000612,-9999,    9
  7604, 45227,20000613,-9999,    9
  7604, 45227,20000614,-9999,    9
  7604, 45227,20000615,-9999,    9
  7604, 45227,20000616,-9999,    9
  7604, 45227,20000617,-9999,    9
  7604, 45227,20000618,-9999,    9
  7604, 45227,20000619,-9999,    9
  7604, 45227,20000620,-9999,    9
  7604, 45227,20000621,-9999,    9
  7604, 45227,20000622,-9999,    9
  7604, 45227,20000623,-9999,    9
  7604, 45227,20000624,-9999,    9
  7604, 45227,20000625,-9999,    9
  7604, 45227,20000626,-9999,    9
  7604, 45227,20000627,-9999,    9
  7604, 45232,20000628,   63,    0
  7604, 45227,20000629,    0,    0
  7604, 45227,20000630,    0,    0
  7604, 45232,20000701,   63,    0
  7604, 45232,20000702,   12,    0
  7604, 45232,20000703,    1,    0
  7604, 45232,20000704,   39,    0
  7604, 45232,20000705,    0,    0
  7604, 45232,20000706,    0,    0
  7604, 45232,20000707,   21,    0
  7604, 45232,20000708,   35,    0
  7604, 45232,20000709,    2,    0
  7604, 45232,20000710,    2,    0
  7604, 45232,20000711,    0,    0
  7604, 45232,20000712,    0,    0
  7604, 45232,20000713,   41,    0
  7604, 45232,20000714,    0,    0
  7604, 45232,20000715,   34,    0
  7604, 45232,20000716,   12,    0
  7604, 45232,20000717,   11,    0
  7604, 45232,20000718,   55,    0
  7604, 45232,20000719,   17,    0
  7604, 45232,20000720,    0,    0
  7604, 45232,20000721,    0,    0
  7604, 45232,20000722,   56,    0
  7604, 45232,20000723,    3,    0
  7604, 45232,20000724,    0,    0
  7604, 45232,20000725,    0,    0
  7604, 45232,20000726,    0,    0
  7604, 45232,20000727,    0,    0
  7604, 45232,20000728,    0,    0
  7604, 45232,20000729,    0,    0
  7604, 45232,20000730,    5,    0
  7604, 45232,20000731,   24,    0
  7604, 45232,20000801,    8,    0
  7604, 45232,20000802,    1,    0
  7604, 45232,20000803,    4,    0
  7604, 45232,20000804,    0,    0
  7604, 45232,20000805,    1,    0
  7604, 45232,20000806,   29,    0
  7604, 45232,20000807,    1,    0
  7604, 45232,20000808,   16,    0
  7604, 45232,20000809,   80,    0
  7604, 45232,20000810,    7,    0
  7604, 45232,20000811,    7,    0
  7604, 45232,20000812,   94,    0
  7604, 45232,20000813,    2,    0
  7604, 45232,20000814,    2,    0
  7604, 45232,20000815,  128,    0
  7604, 45232,20000816,    2,    0
  7604, 45232,20000817,    0,    0
  7604, 45232,20000818,    0,    0
  7604, 45232,20000819,   60,    0
  7604, 45232,20000820,   44,    0
  7604, 45232,20000821,  187,    0
