EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VALTIMO KOPPELO, FINLAND (STAID: 7655)
Blended and updated with sources:45492 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  7655, 45492,19780501,    3,    1
  7655, 45492,19780502,    0,    1
  7655, 45492,19780503,    0,    1
  7655, 45492,19780504,    0,    1
  7655, 45492,19780505,    0,    1
  7655, 45492,19780506,    0,    1
  7655, 45492,19780507,    0,    1
  7655, 45492,19780508,    0,    1
  7655, 45492,19780509,    0,    1
  7655, 45492,19780510,    0,    1
  7655, 45492,19780511,    0,    1
  7655, 45492,19780512,    0,    1
  7655, 45492,19780513,    0,    1
  7655, 45492,19780514,    0,    1
  7655, 45492,19780515,    0,    1
  7655, 45492,19780516,    0,    1
  7655, 45492,19780517,    0,    1
  7655, 45492,19780518,    0,    1
  7655, 45492,19780519,    0,    1
  7655, 45492,19780520,    0,    1
  7655, 45492,19780521,    7,    1
  7655, 45492,19780522,    0,    1
  7655, 45492,19780523,    0,    1
  7655, 45492,19780524,    0,    1
  7655, 45492,19780525,    0,    1
  7655, 45492,19780526,    0,    1
  7655, 45492,19780527,    0,    1
  7655, 45492,19780528,    0,    1
  7655, 45492,19780529,    0,    1
  7655, 45492,19780530,    0,    1
  7655, 45492,19780531,    0,    1
