EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LIEKSA KIVIVAARA, FINLAND (STAID: 7670)
Blended and updated with sources:45567 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  7670, 45567,20031201,-9999,    9
  7670, 45567,20031202,-9999,    9
  7670, 45567,20031203,-9999,    9
  7670, 45567,20031204,-9999,    9
  7670, 45567,20031205,-9999,    9
  7670, 45567,20031206,-9999,    9
  7670, 45567,20031207,-9999,    9
  7670, 45567,20031208,-9999,    9
  7670, 45567,20031209,-9999,    9
  7670, 45567,20031210,-9999,    9
  7670, 45567,20031211,-9999,    9
  7670, 45567,20031212,-9999,    9
  7670, 45567,20031213,-9999,    9
  7670, 45567,20031214,-9999,    9
  7670, 45567,20031215,-9999,    9
  7670, 45567,20031216,-9999,    9
  7670, 45567,20031217,-9999,    9
  7670, 45567,20031218,-9999,    9
  7670, 45567,20031219,-9999,    9
  7670, 45567,20031220,-9999,    9
  7670, 45567,20031221,-9999,    9
  7670, 45567,20031222,-9999,    9
  7670, 45567,20031223,-9999,    9
  7670, 45567,20031224,-9999,    9
  7670, 45567,20031225,-9999,    9
  7670, 45567,20031226,-9999,    9
  7670, 45567,20031227,-9999,    9
  7670, 45567,20031228,-9999,    9
  7670, 45567,20031229,-9999,    9
  7670, 45567,20031230,-9999,    9
  7670, 45567,20031231,    8,    0
  7670, 45567,20040101,    8,    0
  7670, 45567,20040102,    3,    0
  7670, 45567,20040103,    4,    1
  7670, 45567,20040104,    0,    1
  7670, 45567,20040105,    0,    1
  7670, 45567,20040106,    7,    0
  7670, 45567,20040107,   14,    1
  7670, 45567,20040108,    0,    1
  7670, 45567,20040109,    0,    1
