EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KEMIJARVI LOMAKYLA, FINLAND (STAID: 7756)
Blended and updated with sources:46012 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  7756, 46012,19670801,    0,    0
  7756, 46012,19670802,    0,    0
  7756, 46012,19670803,    0,    0
  7756, 46012,19670804,    0,    0
  7756, 46012,19670805,    0,    0
  7756, 46012,19670806,    0,    0
  7756, 46012,19670807,    0,    0
  7756, 46012,19670808,    0,    0
  7756, 46012,19670809,    0,    0
  7756, 46012,19670810,    0,    0
  7756, 46012,19670811,    0,    0
  7756, 46012,19670812,    0,    0
  7756, 46012,19670813,    0,    0
  7756, 46012,19670814,   11,    0
  7756, 46012,19670815,   63,    0
  7756, 46012,19670816,    0,    0
  7756, 46012,19670817,   89,    0
  7756, 46012,19670818,   45,    0
  7756, 46012,19670819,    7,    0
  7756, 46012,19670820,   99,    0
  7756, 46012,19670821,    0,    0
  7756, 46012,19670822,    1,    0
  7756, 46012,19670823,   42,    0
  7756, 46012,19670824,   27,    0
  7756, 46012,19670825,    1,    0
  7756, 46012,19670826,    0,    0
  7756, 46012,19670827,    0,    0
  7756, 46012,19670828,    0,    0
  7756, 46012,19670829,   11,    0
  7756, 46012,19670830,    0,    0
  7756, 46012,19670831,   55,    0
  7756, 46012,19670901,   30,    0
  7756, 46012,19670902,   13,    0
  7756, 46012,19670903,   59,    0
  7756, 46012,19670904,   82,    0
  7756, 46012,19670905,   82,    0
  7756, 46012,19670906,   14,    0
  7756, 46012,19670907,   16,    0
  7756, 46012,19670908,    4,    0
  7756, 46012,19670909,    0,    0
  7756, 46012,19670910,    0,    0
  7756, 46012,19670911,    0,    0
  7756, 46012,19670912,    4,    0
  7756, 46012,19670913,    2,    0
  7756, 46012,19670914,    0,    0
  7756, 46012,19670915,    0,    0
  7756, 46012,19670916,    0,    0
  7756, 46012,19670917,    0,    0
  7756, 46012,19670918,    0,    0
  7756, 46012,19670919,    0,    0
  7756, 46012,19670920,    1,    0
  7756, 46012,19670921,    0,    0
  7756, 46012,19670922,    0,    0
  7756, 46012,19670923,    5,    0
  7756, 46012,19670924,    0,    0
