EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ENONTEKIO NAKKALA, FINLAND (STAID: 7875)
Blended and updated with sources:46633 46638 902726 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  7875, 46633,19610101,    4,    0
  7875, 46633,19610102,   22,    0
  7875, 46633,19610103,   19,    0
  7875, 46633,19610104,   18,    0
  7875, 46633,19610105,    5,    0
  7875, 46633,19610106,    0,    0
  7875, 46633,19610107,    0,    0
  7875, 46633,19610108,    1,    0
  7875, 46633,19610109,   10,    0
  7875, 46633,19610110,    8,    0
  7875, 46633,19610111,    2,    0
  7875, 46633,19610112,    5,    0
  7875, 46633,19610113,   33,    0
  7875, 46633,19610114,   15,    0
  7875, 46633,19610115,    5,    0
  7875, 46633,19610116,    6,    0
  7875, 46633,19610117,    0,    0
  7875, 46633,19610118,    0,    0
  7875, 46633,19610119,    0,    0
  7875, 46633,19610120,    0,    0
  7875, 46633,19610121,   13,    0
  7875, 46633,19610122,    2,    0
  7875, 46633,19610123,    3,    0
  7875, 46633,19610124,    0,    0
  7875, 46633,19610125,    4,    0
  7875, 46633,19610126,    0,    0
  7875, 46633,19610127,    0,    0
  7875, 46633,19610128,   20,    0
  7875, 46633,19610129,   12,    0
  7875, 46633,19610130,    5,    0
  7875, 46633,19610131,    4,    0
  7875, 46633,19610201,    9,    0
  7875, 46633,19610202,    6,    0
  7875, 46633,19610203,    0,    0
  7875, 46633,19610204,    0,    0
  7875, 46633,19610205,    0,    0
  7875, 46633,19610206,   14,    0
  7875, 46633,19610207,   49,    0
  7875, 46633,19610208,    6,    0
  7875, 46633,19610209,    0,    0
  7875, 46633,19610210,    7,    0
  7875, 46633,19610211,    4,    0
  7875, 46633,19610212,    0,    0
  7875, 46633,19610213,    6,    0
  7875, 46633,19610214,   12,    0
  7875, 46633,19610215,    0,    0
  7875, 46633,19610216,    0,    0
  7875, 46633,19610217,   24,    0
  7875, 46633,19610218,    6,    0
  7875, 46633,19610219,    0,    0
  7875, 46633,19610220,    0,    0
  7875, 46633,19610221,    1,    0
  7875, 46633,19610222,    0,    0
  7875, 46633,19610223,    6,    0
  7875, 46633,19610224,    4,    0
  7875, 46633,19610225,   10,    0
  7875, 46633,19610226,    8,    0
  7875, 46633,19610227,   18,    0
  7875, 46633,19610228,    5,    0
  7875, 46633,19610301,    9,    0
  7875, 46633,19610302,    2,    0
  7875, 46633,19610303,    2,    0
  7875, 46633,19610304,   16,    0
  7875, 46633,19610305,    0,    0
  7875, 46633,19610306,    0,    0
  7875, 46633,19610307,    0,    0
  7875, 46633,19610308,    9,    0
  7875, 46633,19610309,   22,    0
  7875, 46633,19610310,    5,    0
  7875, 46633,19610311,    0,    0
  7875, 46633,19610312,    0,    0
  7875, 46633,19610313,    0,    0
  7875, 46633,19610314,    2,    0
  7875, 46633,19610315,   18,    0
  7875, 46633,19610316,    0,    0
  7875, 46633,19610317,    0,    0
  7875, 46633,19610318,    0,    0
  7875, 46633,19610319,    3,    0
  7875, 46633,19610320,    0,    0
  7875, 46633,19610321,    0,    0
  7875, 46633,19610322,   28,    0
  7875, 46633,19610323,    2,    0
  7875, 46633,19610324,    0,    0
  7875, 46633,19610325,    6,    0
  7875, 46633,19610326,    9,    0
  7875, 46633,19610327,    4,    0
  7875, 46633,19610328,    0,    0
  7875, 46633,19610329,    0,    0
  7875, 46633,19610330,    0,    0
  7875, 46633,19610331,    0,    0
  7875, 46633,19610401,    0,    0
  7875, 46633,19610402,    0,    0
  7875, 46633,19610403,    0,    0
  7875, 46633,19610404,    0,    0
  7875, 46633,19610405,    0,    0
  7875, 46633,19610406,    0,    0
  7875, 46633,19610407,    8,    0
  7875, 46633,19610408,    0,    0
  7875, 46633,19610409,    0,    0
  7875, 46633,19610410,    0,    0
  7875, 46633,19610411,    0,    0
  7875, 46633,19610412,    0,    0
  7875, 46633,19610413,    2,    0
  7875, 46633,19610414,    0,    0
  7875, 46633,19610415,    9,    0
  7875, 46633,19610416,    5,    0
  7875, 46633,19610417,    7,    0
  7875, 46633,19610418,    0,    0
  7875, 46633,19610419,   13,    0
  7875, 46633,19610420,    1,    0
  7875, 46633,19610421,    0,    0
  7875, 46633,19610422,    1,    0
  7875, 46633,19610423,    1,    0
  7875, 46633,19610424,    0,    0
  7875, 46633,19610425,    0,    0
  7875, 46633,19610426,   16,    0
  7875, 46633,19610427,    3,    0
  7875, 46633,19610428,    1,    0
  7875, 46633,19610429,    1,    0
  7875, 46633,19610430,    0,    0
  7875, 46633,19610501,    0,    0
  7875, 46633,19610502,    0,    0
  7875, 46633,19610503,    0,    0
  7875, 46633,19610504,    1,    0
  7875, 46633,19610505,   40,    0
  7875, 46633,19610506,    5,    0
  7875, 46633,19610507,    2,    0
  7875, 46633,19610508,    0,    0
  7875, 46633,19610509,    0,    0
  7875, 46633,19610510,    1,    0
  7875, 46633,19610511,    3,    0
  7875, 46633,19610512,    8,    0
  7875, 46633,19610513,    6,    0
  7875, 46633,19610514,    2,    0
  7875, 46633,19610515,    0,    0
  7875, 46633,19610516,    0,    0
  7875, 46633,19610517,    8,    0
  7875, 46633,19610518,    5,    0
  7875, 46633,19610519,    4,    0
  7875, 46633,19610520,    6,    0
  7875, 46633,19610521,    0,    0
  7875, 46633,19610522,    0,    0
  7875, 46633,19610523,    0,    0
  7875, 46633,19610524,   73,    0
  7875, 46633,19610525,   39,    0
  7875, 46633,19610526,    1,    0
  7875, 46633,19610527,    0,    0
  7875, 46633,19610528,   35,    0
  7875, 46633,19610529,    1,    0
  7875, 46633,19610530,    0,    0
  7875, 46633,19610531,    0,    0
  7875, 46633,19610601,    0,    0
  7875, 46633,19610602,    0,    0
  7875, 46633,19610603,    3,    0
  7875, 46633,19610604,    0,    0
  7875, 46633,19610605,    0,    0
  7875, 46633,19610606,    0,    0
  7875, 46633,19610607,   14,    0
  7875, 46633,19610608,   23,    0
  7875, 46633,19610609,    5,    0
  7875, 46633,19610610,   70,    0
  7875, 46633,19610611,    0,    0
  7875, 46633,19610612,   30,    0
  7875, 46633,19610613,   38,    0
  7875, 46633,19610614,   38,    0
  7875, 46633,19610615,    0,    0
  7875, 46633,19610616,    0,    0
  7875, 46633,19610617,  100,    0
  7875, 46633,19610618,  146,    0
  7875, 46633,19610619,    9,    0
  7875, 46633,19610620,    9,    0
  7875, 46633,19610621,    9,    0
  7875, 46633,19610622,   18,    0
  7875, 46633,19610623,   22,    0
  7875, 46633,19610624,   81,    0
  7875, 46633,19610625,   28,    0
  7875, 46633,19610626,   21,    0
  7875, 46633,19610627,    0,    0
  7875, 46633,19610628,  200,    0
  7875, 46633,19610629,   67,    0
  7875, 46633,19610630,    3,    0
  7875, 46633,19610701,    0,    0
  7875, 46633,19610702,    1,    0
  7875, 46633,19610703,   37,    0
  7875, 46633,19610704,    0,    0
  7875, 46633,19610705,   18,    0
  7875, 46633,19610706,   21,    0
  7875, 46633,19610707,   32,    0
  7875, 46633,19610708,   21,    0
  7875, 46633,19610709,    0,    0
  7875, 46633,19610710,    0,    0
  7875, 46633,19610711,   33,    0
  7875, 46633,19610712,  110,    0
  7875, 46633,19610713,    5,    0
  7875, 46633,19610714,   10,    0
  7875, 46633,19610715,    0,    0
  7875, 46633,19610716,    0,    0
  7875, 46633,19610717,   26,    0
  7875, 46633,19610718,    0,    0
  7875, 46633,19610719,   21,    0
  7875, 46633,19610720,   48,    0
  7875, 46633,19610721,   22,    0
  7875, 46633,19610722,   13,    0
  7875, 46633,19610723,    0,    0
  7875, 46633,19610724,   69,    0
  7875, 46633,19610725,  106,    0
  7875, 46633,19610726,   90,    0
  7875, 46633,19610727,   21,    0
  7875, 46633,19610728,   47,    0
  7875, 46633,19610729,   61,    0
  7875, 46633,19610730,    9,    0
