EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station UTSJOKI OUTAKOSKI, FINLAND (STAID: 7878)
Blended and updated with sources:46648 102224 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  7878,102224,19561201,-9999,    9
  7878,102224,19561202,-9999,    9
  7878,102224,19561203,-9999,    9
  7878,102224,19561204,-9999,    9
  7878,102224,19561205,-9999,    9
  7878,102224,19561206,-9999,    9
  7878,102224,19561207,-9999,    9
  7878,102224,19561208,-9999,    9
  7878,102224,19561209,-9999,    9
  7878,102224,19561210,-9999,    9
  7878,102224,19561211,-9999,    9
  7878,102224,19561212,-9999,    9
  7878,102224,19561213,-9999,    9
  7878,102224,19561214,-9999,    9
  7878,102224,19561215,-9999,    9
  7878,102224,19561216,-9999,    9
  7878,102224,19561217,-9999,    9
  7878,102224,19561218,-9999,    9
  7878,102224,19561219,-9999,    9
  7878,102224,19561220,-9999,    9
  7878,102224,19561221,-9999,    9
  7878,102224,19561222,-9999,    9
  7878,102224,19561223,-9999,    9
  7878,102224,19561224,-9999,    9
  7878,102224,19561225,-9999,    9
  7878,102224,19561226,-9999,    9
  7878,102224,19561227,-9999,    9
  7878,102224,19561228,-9999,    9
  7878,102224,19561229,-9999,    9
  7878,102224,19561230,-9999,    9
  7878,102224,19561231,    7,    0
  7878,102224,19570101,    0,    0
  7878,102224,19570102,    0,    0
  7878,102224,19570103,    0,    0
  7878,102224,19570104,    0,    0
  7878,102224,19570105,    6,    0
  7878,102224,19570106,   43,    0
  7878,102224,19570107,    3,    0
  7878,102224,19570108,   48,    0
  7878,102224,19570109,    9,    0
  7878,102224,19570110,    4,    0
  7878,102224,19570111,    0,    0
  7878,102224,19570112,    3,    0
  7878,102224,19570113,    2,    0
  7878,102224,19570114,    3,    0
  7878,102224,19570115,   16,    0
  7878,102224,19570116,   46,    0
  7878,102224,19570117,   94,    0
  7878,102224,19570118,    5,    0
  7878,102224,19570119,   22,    0
  7878,102224,19570120,   27,    0
  7878,102224,19570121,   14,    0
  7878,102224,19570122,    2,    0
  7878,102224,19570123,    0,    0
  7878,102224,19570124,    7,    0
  7878,102224,19570125,    0,    0
  7878,102224,19570126,    6,    0
  7878,102224,19570127,    5,    0
  7878,102224,19570128,    2,    0
  7878,102224,19570129,   14,    0
  7878,102224,19570130,    0,    0
  7878,102224,19570131,    0,    0
  7878,102224,19570201,    6,    0
  7878,102224,19570202,   21,    0
  7878,102224,19570203,   11,    0
  7878,102224,19570204,    2,    0
  7878,102224,19570205,    1,    0
  7878,102224,19570206,    0,    0
  7878,102224,19570207,    0,    0
  7878,102224,19570208,    2,    0
  7878,102224,19570209,    0,    0
  7878,102224,19570210,    0,    0
  7878,102224,19570211,    2,    0
  7878,102224,19570212,    1,    0
  7878,102224,19570213,    1,    0
  7878,102224,19570214,    0,    0
  7878,102224,19570215,   11,    0
  7878,102224,19570216,   19,    0
  7878,102224,19570217,    3,    0
  7878,102224,19570218,    8,    0
  7878,102224,19570219,   12,    0
  7878,102224,19570220,    3,    0
  7878,102224,19570221,    1,    0
  7878,102224,19570222,    4,    0
  7878,102224,19570223,    1,    0
  7878,102224,19570224,   13,    0
  7878,102224,19570225,    0,    0
  7878,102224,19570226,    2,    0
  7878,102224,19570227,    2,    0
  7878,102224,19570228,    0,    0
  7878,102224,19570301,    3,    0
  7878,102224,19570302,    0,    0
  7878,102224,19570303,    2,    0
  7878,102224,19570304,    0,    0
  7878,102224,19570305,    3,    0
  7878,102224,19570306,    2,    0
  7878,102224,19570307,    0,    0
  7878,102224,19570308,    0,    0
  7878,102224,19570309,    7,    0
  7878,102224,19570310,   36,    0
  7878,102224,19570311,    8,    0
  7878,102224,19570312,    3,    0
  7878,102224,19570313,    0,    0
  7878,102224,19570314,    0,    0
  7878,102224,19570315,    1,    0
  7878,102224,19570316,    2,    0
