EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ALEPPO, SYRIAN ARAB REPUBLIC (STAID: 7954)
Blended and updated with sources:47760 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  7954, 47760,19140101,-9999,    9
  7954, 47760,19140102,-9999,    9
  7954, 47760,19140103,-9999,    9
  7954, 47760,19140104,-9999,    9
  7954, 47760,19140105,-9999,    9
  7954, 47760,19140106,-9999,    9
  7954, 47760,19140107,-9999,    9
  7954, 47760,19140108,-9999,    9
  7954, 47760,19140109,-9999,    9
  7954, 47760,19140110,-9999,    9
  7954, 47760,19140111,-9999,    9
  7954, 47760,19140112,-9999,    9
  7954, 47760,19140113,-9999,    9
  7954, 47760,19140114,-9999,    9
  7954, 47760,19140115,-9999,    9
  7954, 47760,19140116,-9999,    9
  7954, 47760,19140117,-9999,    9
  7954, 47760,19140118,-9999,    9
  7954, 47760,19140119,-9999,    9
  7954, 47760,19140120,-9999,    9
  7954, 47760,19140121,-9999,    9
  7954, 47760,19140122,-9999,    9
  7954, 47760,19140123,-9999,    9
  7954, 47760,19140124,-9999,    9
  7954, 47760,19140125,-9999,    9
  7954, 47760,19140126,-9999,    9
  7954, 47760,19140127,-9999,    9
  7954, 47760,19140128,-9999,    9
  7954, 47760,19140129,-9999,    9
  7954, 47760,19140130,-9999,    9
  7954, 47760,19140131,-9999,    9
  7954, 47760,19140201,-9999,    9
  7954, 47760,19140202,-9999,    9
  7954, 47760,19140203,-9999,    9
  7954, 47760,19140204,-9999,    9
  7954, 47760,19140205,-9999,    9
  7954, 47760,19140206,-9999,    9
  7954, 47760,19140207,-9999,    9
  7954, 47760,19140208,-9999,    9
  7954, 47760,19140209,-9999,    9
  7954, 47760,19140210,-9999,    9
  7954, 47760,19140211,-9999,    9
  7954, 47760,19140212,-9999,    9
  7954, 47760,19140213,-9999,    9
  7954, 47760,19140214,-9999,    9
  7954, 47760,19140215,-9999,    9
  7954, 47760,19140216,-9999,    9
  7954, 47760,19140217,-9999,    9
  7954, 47760,19140218,-9999,    9
  7954, 47760,19140219,-9999,    9
  7954, 47760,19140220,-9999,    9
  7954, 47760,19140221,-9999,    9
  7954, 47760,19140222,-9999,    9
  7954, 47760,19140223,-9999,    9
  7954, 47760,19140224,-9999,    9
  7954, 47760,19140225,-9999,    9
  7954, 47760,19140226,-9999,    9
  7954, 47760,19140227,-9999,    9
  7954, 47760,19140228,-9999,    9
  7954, 47760,19140301,-9999,    9
  7954, 47760,19140302,-9999,    9
  7954, 47760,19140303,-9999,    9
  7954, 47760,19140304,-9999,    9
  7954, 47760,19140305,-9999,    9
  7954, 47760,19140306,-9999,    9
  7954, 47760,19140307,-9999,    9
  7954, 47760,19140308,-9999,    9
  7954, 47760,19140309,-9999,    9
  7954, 47760,19140310,-9999,    9
  7954, 47760,19140311,-9999,    9
  7954, 47760,19140312,-9999,    9
  7954, 47760,19140313,-9999,    9
  7954, 47760,19140314,-9999,    9
  7954, 47760,19140315,-9999,    9
  7954, 47760,19140316,-9999,    9
  7954, 47760,19140317,-9999,    9
  7954, 47760,19140318,-9999,    9
  7954, 47760,19140319,-9999,    9
  7954, 47760,19140320,-9999,    9
  7954, 47760,19140321,-9999,    9
  7954, 47760,19140322,-9999,    9
  7954, 47760,19140323,-9999,    9
  7954, 47760,19140324,-9999,    9
