EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KYUSYUR, RUSSIAN FEDERATION (STAID: 8054)
Blended and updated with sources:48015 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  8054, 48015,19090101,-9999,    9
  8054, 48015,19090102,-9999,    9
  8054, 48015,19090103,-9999,    9
  8054, 48015,19090104,-9999,    9
  8054, 48015,19090105,-9999,    9
  8054, 48015,19090106,-9999,    9
  8054, 48015,19090107,-9999,    9
  8054, 48015,19090108,-9999,    9
  8054, 48015,19090109,-9999,    9
  8054, 48015,19090110,-9999,    9
  8054, 48015,19090111,-9999,    9
  8054, 48015,19090112,-9999,    9
  8054, 48015,19090113,-9999,    9
  8054, 48015,19090114,-9999,    9
  8054, 48015,19090115,-9999,    9
  8054, 48015,19090116,-9999,    9
  8054, 48015,19090117,-9999,    9
  8054, 48015,19090118,-9999,    9
  8054, 48015,19090119,-9999,    9
  8054, 48015,19090120,-9999,    9
  8054, 48015,19090121,-9999,    9
  8054, 48015,19090122,-9999,    9
  8054, 48015,19090123,-9999,    9
  8054, 48015,19090124,-9999,    9
  8054, 48015,19090125,-9999,    9
  8054, 48015,19090126,-9999,    9
  8054, 48015,19090127,-9999,    9
  8054, 48015,19090128,-9999,    9
  8054, 48015,19090129,-9999,    9
  8054, 48015,19090130,-9999,    9
  8054, 48015,19090131,-9999,    9
  8054, 48015,19090201,-9999,    9
  8054, 48015,19090202,-9999,    9
  8054, 48015,19090203,-9999,    9
  8054, 48015,19090204,-9999,    9
  8054, 48015,19090205,-9999,    9
  8054, 48015,19090206,-9999,    9
  8054, 48015,19090207,-9999,    9
  8054, 48015,19090208,-9999,    9
  8054, 48015,19090209,-9999,    9
  8054, 48015,19090210,-9999,    9
  8054, 48015,19090211,-9999,    9
  8054, 48015,19090212,-9999,    9
  8054, 48015,19090213,-9999,    9
  8054, 48015,19090214,-9999,    9
  8054, 48015,19090215,-9999,    9
  8054, 48015,19090216,-9999,    9
  8054, 48015,19090217,-9999,    9
  8054, 48015,19090218,-9999,    9
  8054, 48015,19090219,-9999,    9
  8054, 48015,19090220,-9999,    9
  8054, 48015,19090221,-9999,    9
  8054, 48015,19090222,-9999,    9
  8054, 48015,19090223,-9999,    9
  8054, 48015,19090224,-9999,    9
  8054, 48015,19090225,-9999,    9
  8054, 48015,19090226,-9999,    9
  8054, 48015,19090227,-9999,    9
  8054, 48015,19090228,-9999,    9
  8054, 48015,19090301,-9999,    9
  8054, 48015,19090302,-9999,    9
  8054, 48015,19090303,-9999,    9
  8054, 48015,19090304,-9999,    9
  8054, 48015,19090305,-9999,    9
  8054, 48015,19090306,-9999,    9
  8054, 48015,19090307,-9999,    9
  8054, 48015,19090308,-9999,    9
  8054, 48015,19090309,-9999,    9
  8054, 48015,19090310,-9999,    9
  8054, 48015,19090311,-9999,    9
  8054, 48015,19090312,-9999,    9
  8054, 48015,19090313,-9999,    9
  8054, 48015,19090314,-9999,    9
  8054, 48015,19090315,-9999,    9
  8054, 48015,19090316,-9999,    9
  8054, 48015,19090317,-9999,    9
  8054, 48015,19090318,-9999,    9
  8054, 48015,19090319,-9999,    9
  8054, 48015,19090320,-9999,    9
  8054, 48015,19090321,-9999,    9
  8054, 48015,19090322,-9999,    9
  8054, 48015,19090323,-9999,    9
  8054, 48015,19090324,-9999,    9
  8054, 48015,19090325,-9999,    9
  8054, 48015,19090326,-9999,    9
  8054, 48015,19090327,-9999,    9
  8054, 48015,19090328,-9999,    9
  8054, 48015,19090329,-9999,    9
  8054, 48015,19090330,-9999,    9
