EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VAJDA GUBA, RUSSIAN FEDERATION (STAID: 8056)
Blended and updated with sources:48025 922003 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  8056, 48025,18940101,-9999,    9
  8056, 48025,18940102,-9999,    9
  8056, 48025,18940103,-9999,    9
  8056, 48025,18940104,-9999,    9
  8056, 48025,18940105,-9999,    9
  8056, 48025,18940106,-9999,    9
  8056, 48025,18940107,-9999,    9
  8056, 48025,18940108,-9999,    9
  8056, 48025,18940109,-9999,    9
  8056, 48025,18940110,-9999,    9
  8056, 48025,18940111,-9999,    9
  8056, 48025,18940112,-9999,    9
  8056, 48025,18940113,-9999,    9
  8056, 48025,18940114,-9999,    9
  8056, 48025,18940115,-9999,    9
  8056, 48025,18940116,-9999,    9
  8056, 48025,18940117,-9999,    9
  8056, 48025,18940118,-9999,    9
  8056, 48025,18940119,-9999,    9
  8056, 48025,18940120,-9999,    9
  8056, 48025,18940121,-9999,    9
  8056, 48025,18940122,-9999,    9
  8056, 48025,18940123,-9999,    9
  8056, 48025,18940124,-9999,    9
  8056, 48025,18940125,-9999,    9
  8056, 48025,18940126,-9999,    9
  8056, 48025,18940127,-9999,    9
  8056, 48025,18940128,-9999,    9
  8056, 48025,18940129,-9999,    9
  8056, 48025,18940130,-9999,    9
  8056, 48025,18940131,-9999,    9
  8056, 48025,18940201,-9999,    9
  8056, 48025,18940202,-9999,    9
  8056, 48025,18940203,-9999,    9
  8056, 48025,18940204,-9999,    9
  8056, 48025,18940205,-9999,    9
  8056, 48025,18940206,-9999,    9
  8056, 48025,18940207,-9999,    9
  8056, 48025,18940208,-9999,    9
  8056, 48025,18940209,-9999,    9
  8056, 48025,18940210,-9999,    9
  8056, 48025,18940211,-9999,    9
  8056, 48025,18940212,-9999,    9
  8056, 48025,18940213,-9999,    9
  8056, 48025,18940214,-9999,    9
  8056, 48025,18940215,-9999,    9
  8056, 48025,18940216,-9999,    9
  8056, 48025,18940217,-9999,    9
  8056, 48025,18940218,-9999,    9
  8056, 48025,18940219,-9999,    9
  8056, 48025,18940220,-9999,    9
  8056, 48025,18940221,-9999,    9
  8056, 48025,18940222,-9999,    9
  8056, 48025,18940223,-9999,    9
  8056, 48025,18940224,-9999,    9
  8056, 48025,18940225,-9999,    9
  8056, 48025,18940226,-9999,    9
  8056, 48025,18940227,-9999,    9
  8056, 48025,18940228,-9999,    9
  8056, 48025,18940301,-9999,    9
  8056, 48025,18940302,-9999,    9
  8056, 48025,18940303,-9999,    9
  8056, 48025,18940304,-9999,    9
