EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KY'ZY'L-OZEK, RUSSIAN FEDERATION (STAID: 8534)
Blended and updated with sources:52210 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  8534, 52210,19290101,-9999,    9
  8534, 52210,19290102,-9999,    9
  8534, 52210,19290103,-9999,    9
  8534, 52210,19290104,-9999,    9
  8534, 52210,19290105,-9999,    9
  8534, 52210,19290106,-9999,    9
  8534, 52210,19290107,-9999,    9
  8534, 52210,19290108,-9999,    9
  8534, 52210,19290109,-9999,    9
  8534, 52210,19290110,-9999,    9
  8534, 52210,19290111,-9999,    9
  8534, 52210,19290112,-9999,    9
  8534, 52210,19290113,-9999,    9
  8534, 52210,19290114,-9999,    9
  8534, 52210,19290115,-9999,    9
  8534, 52210,19290116,-9999,    9
  8534, 52210,19290117,-9999,    9
  8534, 52210,19290118,-9999,    9
  8534, 52210,19290119,-9999,    9
  8534, 52210,19290120,-9999,    9
  8534, 52210,19290121,-9999,    9
  8534, 52210,19290122,-9999,    9
  8534, 52210,19290123,-9999,    9
  8534, 52210,19290124,-9999,    9
  8534, 52210,19290125,-9999,    9
  8534, 52210,19290126,-9999,    9
  8534, 52210,19290127,-9999,    9
  8534, 52210,19290128,-9999,    9
  8534, 52210,19290129,-9999,    9
  8534, 52210,19290130,-9999,    9
  8534, 52210,19290131,-9999,    9
  8534, 52210,19290201,-9999,    9
  8534, 52210,19290202,-9999,    9
  8534, 52210,19290203,-9999,    9
  8534, 52210,19290204,-9999,    9
  8534, 52210,19290205,-9999,    9
  8534, 52210,19290206,-9999,    9
  8534, 52210,19290207,-9999,    9
  8534, 52210,19290208,-9999,    9
  8534, 52210,19290209,-9999,    9
  8534, 52210,19290210,-9999,    9
  8534, 52210,19290211,-9999,    9
  8534, 52210,19290212,-9999,    9
  8534, 52210,19290213,-9999,    9
  8534, 52210,19290214,-9999,    9
  8534, 52210,19290215,-9999,    9
  8534, 52210,19290216,-9999,    9
  8534, 52210,19290217,-9999,    9
  8534, 52210,19290218,-9999,    9
  8534, 52210,19290219,-9999,    9
  8534, 52210,19290220,-9999,    9
  8534, 52210,19290221,-9999,    9
  8534, 52210,19290222,-9999,    9
  8534, 52210,19290223,-9999,    9
  8534, 52210,19290224,-9999,    9
  8534, 52210,19290225,-9999,    9
  8534, 52210,19290226,-9999,    9
  8534, 52210,19290227,-9999,    9
  8534, 52210,19290228,-9999,    9
  8534, 52210,19290301,-9999,    9
  8534, 52210,19290302,-9999,    9
  8534, 52210,19290303,-9999,    9
  8534, 52210,19290304,-9999,    9
  8534, 52210,19290305,-9999,    9
  8534, 52210,19290306,-9999,    9
  8534, 52210,19290307,-9999,    9
  8534, 52210,19290308,-9999,    9
  8534, 52210,19290309,-9999,    9
  8534, 52210,19290310,-9999,    9
  8534, 52210,19290311,-9999,    9
  8534, 52210,19290312,-9999,    9
  8534, 52210,19290313,-9999,    9
  8534, 52210,19290314,-9999,    9
  8534, 52210,19290315,-9999,    9
  8534, 52210,19290316,-9999,    9
  8534, 52210,19290317,-9999,    9
  8534, 52210,19290318,-9999,    9
  8534, 52210,19290319,-9999,    9
  8534, 52210,19290320,-9999,    9
  8534, 52210,19290321,-9999,    9
  8534, 52210,19290322,-9999,    9
  8534, 52210,19290323,-9999,    9
  8534, 52210,19290324,-9999,    9
  8534, 52210,19290325,-9999,    9
  8534, 52210,19290326,-9999,    9
  8534, 52210,19290327,-9999,    9
  8534, 52210,19290328,-9999,    9
  8534, 52210,19290329,-9999,    9
  8534, 52210,19290330,-9999,    9
  8534, 52210,19290331,-9999,    9
  8534, 52210,19290401,-9999,    9
  8534, 52210,19290402,-9999,    9
  8534, 52210,19290403,-9999,    9
  8534, 52210,19290404,-9999,    9
  8534, 52210,19290405,-9999,    9
  8534, 52210,19290406,-9999,    9
  8534, 52210,19290407,-9999,    9
  8534, 52210,19290408,-9999,    9
  8534, 52210,19290409,-9999,    9
  8534, 52210,19290410,-9999,    9
  8534, 52210,19290411,-9999,    9
  8534, 52210,19290412,-9999,    9
  8534, 52210,19290413,-9999,    9
  8534, 52210,19290414,-9999,    9
  8534, 52210,19290415,-9999,    9
  8534, 52210,19290416,-9999,    9
  8534, 52210,19290417,-9999,    9
  8534, 52210,19290418,-9999,    9
  8534, 52210,19290419,-9999,    9
  8534, 52210,19290420,-9999,    9
  8534, 52210,19290421,-9999,    9
  8534, 52210,19290422,-9999,    9
  8534, 52210,19290423,-9999,    9
  8534, 52210,19290424,-9999,    9
  8534, 52210,19290425,-9999,    9
  8534, 52210,19290426,-9999,    9
  8534, 52210,19290427,-9999,    9
  8534, 52210,19290428,-9999,    9
  8534, 52210,19290429,-9999,    9
  8534, 52210,19290430,-9999,    9
  8534, 52210,19290501,-9999,    9
  8534, 52210,19290502,-9999,    9
  8534, 52210,19290503,-9999,    9
  8534, 52210,19290504,-9999,    9
