EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CASTELLNOU DE SEANA, SPAIN (STAID: 11025)
Blended and updated with sources:56090 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 11025, 56090,20150101,    1,    0
 11025, 56090,20150102,    0,    0
 11025, 56090,20150103,    1,    0
 11025, 56090,20150104,    0,    0
 11025, 56090,20150105,    3,    0
 11025, 56090,20150106,    4,    0
 11025, 56090,20150107,    0,    0
 11025, 56090,20150108,    2,    0
 11025, 56090,20150109,    0,    0
 11025, 56090,20150110,    2,    0
 11025, 56090,20150111,    1,    0
 11025, 56090,20150112,    3,    0
 11025, 56090,20150113,    1,    0
 11025, 56090,20150114,    2,    0
 11025, 56090,20150115,    3,    0
 11025, 56090,20150116,   15,    0
 11025, 56090,20150117,    0,    0
 11025, 56090,20150118,    1,    0
 11025, 56090,20150119,   26,    0
 11025, 56090,20150120,    0,    0
 11025, 56090,20150121,    0,    0
 11025, 56090,20150122,    0,    0
 11025, 56090,20150123,    0,    0
 11025, 56090,20150124,    0,    0
 11025, 56090,20150125,    0,    0
 11025, 56090,20150126,    0,    0
 11025, 56090,20150127,    0,    0
 11025, 56090,20150128,    0,    0
 11025, 56090,20150129,    0,    0
 11025, 56090,20150130,   46,    0
 11025, 56090,20150131,    1,    0
 11025, 56090,20150201,    0,    0
 11025, 56090,20150202,    0,    0
 11025, 56090,20150203,   26,    0
 11025, 56090,20150204,  109,    0
 11025, 56090,20150205,    0,    0
 11025, 56090,20150206,    0,    0
 11025, 56090,20150207,    0,    0
 11025, 56090,20150208,    0,    0
 11025, 56090,20150209,    0,    0
 11025, 56090,20150210,    0,    0
 11025, 56090,20150211,    0,    0
 11025, 56090,20150212,    0,    0
 11025, 56090,20150213,    0,    0
 11025, 56090,20150214,    0,    0
 11025, 56090,20150215,    0,    0
 11025, 56090,20150216,    0,    0
 11025, 56090,20150217,    0,    0
 11025, 56090,20150218,    0,    0
 11025, 56090,20150219,    0,    0
 11025, 56090,20150220,    1,    0
 11025, 56090,20150221,   14,    0
 11025, 56090,20150222,    0,    0
 11025, 56090,20150223,   17,    0
 11025, 56090,20150224,    0,    0
 11025, 56090,20150225,    0,    0
 11025, 56090,20150226,    0,    0
 11025, 56090,20150227,    0,    0
 11025, 56090,20150228,    0,    0
 11025, 56090,20150301,    0,    0
 11025, 56090,20150302,    0,    0
 11025, 56090,20150303,    0,    0
 11025, 56090,20150304,    0,    0
 11025, 56090,20150305,    0,    0
 11025, 56090,20150306,    0,    0
 11025, 56090,20150307,    0,    0
 11025, 56090,20150308,    0,    0
 11025, 56090,20150309,    0,    0
 11025, 56090,20150310,    0,    0
 11025, 56090,20150311,    0,    0
 11025, 56090,20150312,    0,    0
 11025, 56090,20150313,    0,    0
 11025, 56090,20150314,    0,    0
 11025, 56090,20150315,    0,    0
 11025, 56090,20150316,    0,    0
 11025, 56090,20150317,    0,    0
 11025, 56090,20150318,    0,    0
 11025, 56090,20150319,    0,    0
 11025, 56090,20150320,    5,    0
 11025, 56090,20150321,   25,    0
 11025, 56090,20150322,   31,    0
 11025, 56090,20150323,    3,    0
 11025, 56090,20150324,   24,    0
 11025, 56090,20150325,   36,    0
 11025, 56090,20150326,    0,    0
 11025, 56090,20150327,    0,    0
 11025, 56090,20150328,    0,    0
 11025, 56090,20150329,    0,    0
 11025, 56090,20150330,    0,    0
 11025, 56090,20150331,    0,    0
 11025, 56090,20150401,    0,    0
 11025, 56090,20150402,    0,    0
 11025, 56090,20150403,    0,    0
 11025, 56090,20150404,    0,    0
 11025, 56090,20150405,    0,    0
 11025, 56090,20150406,    0,    0
 11025, 56090,20150407,    0,    0
 11025, 56090,20150408,    0,    0
 11025, 56090,20150409,    0,    0
 11025, 56090,20150410,    0,    0
 11025, 56090,20150411,    0,    0
 11025, 56090,20150412,    0,    0
 11025, 56090,20150413,    0,    0
 11025, 56090,20150414,    0,    0
 11025, 56090,20150415,    0,    0
 11025, 56090,20150416,   37,    0
 11025, 56090,20150417,    1,    0
 11025, 56090,20150418,    2,    0
 11025, 56090,20150419,    7,    0
 11025, 56090,20150420,    0,    0
 11025, 56090,20150421,    0,    0
 11025, 56090,20150422,    5,    0
 11025, 56090,20150423,    0,    0
 11025, 56090,20150424,    0,    0
 11025, 56090,20150425,    0,    0
 11025, 56090,20150426,   27,    0
 11025, 56090,20150427,    0,    0
