EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TORREDEMBARRA, SPAIN (STAID: 11081)
Blended and updated with sources:56594 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 11081, 56594,20080101,    0,    0
 11081, 56594,20080102,   96,    0
 11081, 56594,20080103,  216,    0
 11081, 56594,20080104,    0,    0
 11081, 56594,20080105,    0,    0
 11081, 56594,20080106,    0,    0
 11081, 56594,20080107,    0,    0
 11081, 56594,20080108,-9999,    9
 11081, 56594,20080109,    0,    0
 11081, 56594,20080110,   18,    0
 11081, 56594,20080111,    0,    0
 11081, 56594,20080112,    0,    0
 11081, 56594,20080113,    0,    0
 11081, 56594,20080114,    4,    0
 11081, 56594,20080115,    0,    0
 11081, 56594,20080116,   26,    0
 11081, 56594,20080117,    0,    0
 11081, 56594,20080118,    0,    0
 11081, 56594,20080119,    0,    0
 11081, 56594,20080120,    0,    0
 11081, 56594,20080121,    0,    0
 11081, 56594,20080122,    0,    0
 11081, 56594,20080123,    0,    0
 11081, 56594,20080124,    0,    0
 11081, 56594,20080125,    0,    0
 11081, 56594,20080126,    0,    0
 11081, 56594,20080127,    0,    0
 11081, 56594,20080128,    0,    0
 11081, 56594,20080129,    0,    0
 11081, 56594,20080130,    0,    0
 11081, 56594,20080131,    0,    0
 11081, 56594,20080201,    0,    0
 11081, 56594,20080202,    0,    0
 11081, 56594,20080203,   10,    0
 11081, 56594,20080204,    2,    0
 11081, 56594,20080205,    0,    0
 11081, 56594,20080206,    0,    0
 11081, 56594,20080207,    0,    0
 11081, 56594,20080208,    0,    0
 11081, 56594,20080209,    0,    0
 11081, 56594,20080210,    0,    0
 11081, 56594,20080211,    0,    0
 11081, 56594,20080212,    0,    0
 11081, 56594,20080213,    0,    0
 11081, 56594,20080214,    0,    0
 11081, 56594,20080215,    0,    0
 11081, 56594,20080216,    0,    0
 11081, 56594,20080217,    0,    0
 11081, 56594,20080218,   12,    0
 11081, 56594,20080219,   48,    0
 11081, 56594,20080220,    0,    0
 11081, 56594,20080221,    0,    0
 11081, 56594,20080222,    0,    0
 11081, 56594,20080223,    0,    0
 11081, 56594,20080224,   34,    0
 11081, 56594,20080225,   42,    0
 11081, 56594,20080226,    0,    0
 11081, 56594,20080227,    2,    0
 11081, 56594,20080228,    0,    0
 11081, 56594,20080229,    0,    0
 11081, 56594,20080301,    0,    0
 11081, 56594,20080302,    0,    0
 11081, 56594,20080303,    0,    0
 11081, 56594,20080304,    0,    0
 11081, 56594,20080305,    0,    0
 11081, 56594,20080306,    0,    0
