EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PODGORICA, MONTENEGRO (STAID: 11374)
Blended and updated with sources:75553 913463 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 11374, 75553,20160701,    0,    0
 11374, 75553,20160702,    0,    0
 11374, 75553,20160703,    0,    0
 11374, 75553,20160704,    0,    0
 11374, 75553,20160705,    0,    0
 11374, 75553,20160706,   30,    0
 11374, 75553,20160707,    0,    0
 11374, 75553,20160708,    0,    0
 11374, 75553,20160709,    0,    0
 11374, 75553,20160710,    0,    0
 11374, 75553,20160711,    0,    0
 11374, 75553,20160712,    0,    0
 11374, 75553,20160713,    0,    0
 11374, 75553,20160714,    0,    0
 11374, 75553,20160715,  450,    0
 11374, 75553,20160716,  260,    0
 11374, 75553,20160717,    3,    0
 11374, 75553,20160718,    0,    0
 11374, 75553,20160719,    0,    0
 11374, 75553,20160720,    0,    0
 11374, 75553,20160721,    0,    0
 11374, 75553,20160722,    0,    0
 11374, 75553,20160723,    0,    0
 11374, 75553,20160724,    0,    0
 11374, 75553,20160725,   40,    0
 11374, 75553,20160726,    0,    0
 11374, 75553,20160727,    0,    0
 11374, 75553,20160728,    0,    0
 11374, 75553,20160729,    0,    0
 11374, 75553,20160730,    0,    0
 11374, 75553,20160731,    0,    0
 11374, 75553,20160801,    0,    0
 11374, 75553,20160802,    0,    0
 11374, 75553,20160803,    0,    0
 11374, 75553,20160804,    0,    0
 11374, 75553,20160805,    0,    0
 11374, 75553,20160806,    0,    0
 11374, 75553,20160807,    2,    0
 11374, 75553,20160808,   40,    0
 11374, 75553,20160809,    0,    0
 11374, 75553,20160810,    0,    0
 11374, 75553,20160811,    0,    0
 11374, 75553,20160812,    0,    0
 11374, 75553,20160813,    0,    0
 11374, 75553,20160814,    0,    0
 11374, 75553,20160815,    0,    0
 11374, 75553,20160816,    0,    0
 11374, 75553,20160817,    0,    0
 11374, 75553,20160818,    0,    0
 11374, 75553,20160819,    0,    0
 11374, 75553,20160820,    0,    0
 11374, 75553,20160821,    0,    0
 11374, 75553,20160822,    0,    0
 11374, 75553,20160823,    0,    0
 11374, 75553,20160824,    0,    0
 11374, 75553,20160825,    0,    0
 11374, 75553,20160826,    0,    0
 11374, 75553,20160827,    0,    0
 11374, 75553,20160828,    0,    0
 11374, 75553,20160829,    0,    0
