EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GAT, ISRAEL (STAID: 11416)
Blended and updated with sources:75922 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 11416, 75922,19831201,-9999,    9
 11416, 75922,19831202,-9999,    9
 11416, 75922,19831203,-9999,    9
 11416, 75922,19831204,-9999,    9
 11416, 75922,19831205,-9999,    9
 11416, 75922,19831206,-9999,    9
 11416, 75922,19831207,    2,    0
 11416, 75922,19831208,    0,    0
 11416, 75922,19831209,    0,    0
 11416, 75922,19831210,    0,    0
 11416, 75922,19831211,    0,    0
 11416, 75922,19831212,   25,    0
 11416, 75922,19831213,    0,    0
 11416, 75922,19831214,    0,    0
 11416, 75922,19831215,    0,    0
 11416, 75922,19831216,    0,    0
 11416, 75922,19831217,    0,    0
 11416, 75922,19831218,    0,    0
 11416, 75922,19831219,    0,    0
 11416, 75922,19831220,   42,    0
 11416, 75922,19831221,    0,    0
 11416, 75922,19831222,    0,    0
 11416, 75922,19831223,    0,    0
 11416, 75922,19831224,   22,    0
 11416, 75922,19831225,    0,    0
 11416, 75922,19831226,    0,    0
 11416, 75922,19831227,    0,    0
 11416, 75922,19831228,    0,    0
 11416, 75922,19831229,    0,    0
 11416, 75922,19831230,    0,    0
 11416, 75922,19831231,   45,    0
 11416, 75922,19840101,    0,    0
 11416, 75922,19840102,    0,    0
 11416, 75922,19840103,    0,    0
 11416, 75922,19840104,    0,    0
 11416, 75922,19840105,    0,    0
 11416, 75922,19840106,    0,    0
 11416, 75922,19840107,    0,    0
 11416, 75922,19840108,   38,    0
 11416, 75922,19840109,    0,    0
 11416, 75922,19840110,    0,    0
 11416, 75922,19840111,    0,    0
 11416, 75922,19840112,    0,    0
 11416, 75922,19840113,    3,    0
 11416, 75922,19840114,  175,    0
 11416, 75922,19840115,    2,    0
 11416, 75922,19840116,  305,    0
 11416, 75922,19840117,  210,    0
 11416, 75922,19840118,    0,    0
 11416, 75922,19840119,    0,    0
 11416, 75922,19840120,    0,    0
 11416, 75922,19840121,    0,    0
 11416, 75922,19840122,    0,    0
 11416, 75922,19840123,    0,    0
 11416, 75922,19840124,    0,    0
 11416, 75922,19840125,  115,    0
 11416, 75922,19840126,  220,    0
 11416, 75922,19840127,    0,    0
 11416, 75922,19840128,    0,    0
 11416, 75922,19840129,    0,    0
 11416, 75922,19840130,    0,    0
 11416, 75922,19840131,    0,    0
 11416, 75922,19840201,    0,    0
 11416, 75922,19840202,    0,    0
 11416, 75922,19840203,    0,    0
 11416, 75922,19840204,    0,    0
 11416, 75922,19840205,    0,    0
 11416, 75922,19840206,   55,    0
 11416, 75922,19840207,    0,    0
 11416, 75922,19840208,    0,    0
 11416, 75922,19840209,    0,    0
 11416, 75922,19840210,    0,    0
 11416, 75922,19840211,    0,    0
 11416, 75922,19840212,    0,    0
 11416, 75922,19840213,    0,    0
 11416, 75922,19840214,    0,    0
 11416, 75922,19840215,    0,    0
 11416, 75922,19840216,    0,    0
 11416, 75922,19840217,    0,    0
 11416, 75922,19840218,    0,    0
 11416, 75922,19840219,    0,    0
 11416, 75922,19840220,    0,    0
 11416, 75922,19840221,    0,    0
 11416, 75922,19840222,    0,    0
 11416, 75922,19840223,    0,    0
 11416, 75922,19840224,    0,    0
 11416, 75922,19840225,    0,    0
 11416, 75922,19840226,    0,    0
 11416, 75922,19840227,    0,    0
 11416, 75922,19840228,    0,    0
 11416, 75922,19840229,    0,    0
 11416, 75922,19840301,    0,    0
 11416, 75922,19840302,    0,    0
 11416, 75922,19840303,    0,    0
 11416, 75922,19840304,    0,    0
 11416, 75922,19840305,    0,    0
 11416, 75922,19840306,    0,    0
 11416, 75922,19840307,    0,    0
 11416, 75922,19840308,    0,    0
 11416, 75922,19840309,    0,    0
 11416, 75922,19840310,    0,    0
 11416, 75922,19840311,   45,    0
 11416, 75922,19840312,  152,    0
 11416, 75922,19840313,   97,    0
 11416, 75922,19840314,   12,    0
 11416, 75922,19840315,   17,    0
 11416, 75922,19840316,   50,    0
 11416, 75922,19840317,   70,    0
 11416, 75922,19840318,    0,    0
 11416, 75922,19840319,    0,    0
 11416, 75922,19840320,    0,    0
 11416, 75922,19840321,    3,    0
 11416, 75922,19840322,   80,    0
 11416, 75922,19840323,    0,    0
 11416, 75922,19840324,   87,    0
 11416, 75922,19840325,   20,    0
 11416, 75922,19840326,    0,    0
 11416, 75922,19840327,    0,    0
 11416, 75922,19840328,    0,    0
 11416, 75922,19840329,    0,    0
 11416, 75922,19840330,    0,    0
 11416, 75922,19840331,    0,    0
 11416, 75922,19840401,    0,    0
 11416, 75922,19840402,    0,    0
 11416, 75922,19840403,    0,    0
 11416, 75922,19840404,    0,    0
 11416, 75922,19840405,    0,    0
 11416, 75922,19840406,    0,    0
 11416, 75922,19840407,    0,    0
 11416, 75922,19840408,    0,    0
 11416, 75922,19840409,    0,    0
 11416, 75922,19840410,    0,    0
 11416, 75922,19840411,    0,    0
 11416, 75922,19840412,    0,    0
 11416, 75922,19840413,    0,    0
 11416, 75922,19840414,   40,    0
 11416, 75922,19840415,   45,    0
 11416, 75922,19840416,    0,    0
 11416, 75922,19840417,    0,    0
 11416, 75922,19840418,    0,    0
 11416, 75922,19840419,    0,    0
 11416, 75922,19840420,    0,    0
 11416, 75922,19840421,    0,    0
 11416, 75922,19840422,   11,    0
 11416, 75922,19840423,   35,    0
 11416, 75922,19840424,    0,    0
 11416, 75922,19840425,    0,    0
 11416, 75922,19840426,    0,    0
 11416, 75922,19840427,    0,    0
 11416, 75922,19840428,    0,    0
 11416, 75922,19840429,    0,    0
 11416, 75922,19840430,    0,    0
 11416, 75922,19840501,    0,    0
 11416, 75922,19840502,    0,    0
 11416, 75922,19840503,    0,    0
 11416, 75922,19840504,    0,    0
 11416, 75922,19840505,    0,    0
 11416, 75922,19840506,    0,    0
 11416, 75922,19840507,    0,    0
 11416, 75922,19840508,    0,    0
 11416, 75922,19840509,    0,    0
 11416, 75922,19840510,    0,    0
 11416, 75922,19840511,    0,    0
 11416, 75922,19840512,    0,    0
 11416, 75922,19840513,    0,    0
 11416, 75922,19840514,    0,    0
 11416, 75922,19840515,    0,    0
 11416, 75922,19840516,    0,    0
 11416, 75922,19840517,    0,    0
 11416, 75922,19840518,    0,    0
 11416, 75922,19840519,    0,    0
 11416, 75922,19840520,    0,    0
 11416, 75922,19840521,    0,    0
 11416, 75922,19840522,    0,    0
 11416, 75922,19840523,    0,    0
 11416, 75922,19840524,    0,    0
 11416, 75922,19840525,    0,    0
 11416, 75922,19840526,    0,    0
 11416, 75922,19840527,    0,    0
 11416, 75922,19840528,    0,    0
 11416, 75922,19840529,    0,    0
 11416, 75922,19840530,    0,    0
 11416, 75922,19840531,    0,    0
 11416, 75922,19840601,    0,    0
 11416, 75922,19840602,    0,    0
 11416, 75922,19840603,    0,    0
 11416, 75922,19840604,    0,    0
 11416, 75922,19840605,    0,    0
 11416, 75922,19840606,    0,    0
 11416, 75922,19840607,    0,    0
 11416, 75922,19840608,    0,    0
 11416, 75922,19840609,    0,    0
 11416, 75922,19840610,    0,    0
 11416, 75922,19840611,    0,    0
 11416, 75922,19840612,    0,    0
 11416, 75922,19840613,    0,    0
 11416, 75922,19840614,    0,    0
 11416, 75922,19840615,    0,    0
 11416, 75922,19840616,    0,    0
 11416, 75922,19840617,    0,    0
 11416, 75922,19840618,    0,    0
 11416, 75922,19840619,    0,    0
 11416, 75922,19840620,    0,    0
 11416, 75922,19840621,    0,    0
 11416, 75922,19840622,    0,    0
 11416, 75922,19840623,    0,    0
 11416, 75922,19840624,    0,    0
 11416, 75922,19840625,    0,    0
 11416, 75922,19840626,    0,    0
 11416, 75922,19840627,    0,    0
 11416, 75922,19840628,    0,    0
 11416, 75922,19840629,    0,    0
 11416, 75922,19840630,    0,    0
 11416, 75922,19840701,    0,    0
 11416, 75922,19840702,    0,    0
 11416, 75922,19840703,    0,    0
 11416, 75922,19840704,    0,    0
 11416, 75922,19840705,    0,    0
 11416, 75922,19840706,    0,    0
 11416, 75922,19840707,    0,    0
 11416, 75922,19840708,    0,    0
 11416, 75922,19840709,    0,    0
 11416, 75922,19840710,    0,    0
 11416, 75922,19840711,    0,    0
 11416, 75922,19840712,    0,    0
 11416, 75922,19840713,    0,    0
 11416, 75922,19840714,    0,    0
 11416, 75922,19840715,    0,    0
 11416, 75922,19840716,    0,    0
 11416, 75922,19840717,    0,    0
 11416, 75922,19840718,    0,    0
 11416, 75922,19840719,    0,    0
 11416, 75922,19840720,    0,    0
 11416, 75922,19840721,    0,    0
 11416, 75922,19840722,    0,    0
 11416, 75922,19840723,    0,    0
 11416, 75922,19840724,    0,    0
 11416, 75922,19840725,    0,    0
 11416, 75922,19840726,    0,    0
 11416, 75922,19840727,    0,    0
 11416, 75922,19840728,    0,    0
 11416, 75922,19840729,    0,    0
 11416, 75922,19840730,    0,    0
 11416, 75922,19840731,    0,    0
 11416, 75922,19840801,    0,    0
 11416, 75922,19840802,    0,    0
 11416, 75922,19840803,    0,    0
 11416, 75922,19840804,    0,    0
 11416, 75922,19840805,    0,    0
 11416, 75922,19840806,    0,    0
 11416, 75922,19840807,    0,    0
 11416, 75922,19840808,    0,    0
 11416, 75922,19840809,    0,    0
 11416, 75922,19840810,    0,    0
 11416, 75922,19840811,    0,    0
 11416, 75922,19840812,    0,    0
 11416, 75922,19840813,    0,    0
 11416, 75922,19840814,    0,    0
 11416, 75922,19840815,    0,    0
 11416, 75922,19840816,    0,    0
 11416, 75922,19840817,    0,    0
 11416, 75922,19840818,    0,    0
 11416, 75922,19840819,    0,    0
 11416, 75922,19840820,    0,    0
 11416, 75922,19840821,    0,    0
 11416, 75922,19840822,    0,    0
 11416, 75922,19840823,    0,    0
 11416, 75922,19840824,    0,    0
 11416, 75922,19840825,    0,    0
 11416, 75922,19840826,    0,    0
 11416, 75922,19840827,    0,    0
 11416, 75922,19840828,    0,    0
 11416, 75922,19840829,    0,    0
 11416, 75922,19840830,    0,    0
 11416, 75922,19840831,    0,    0
 11416, 75922,19840901,    0,    0
 11416, 75922,19840902,    0,    0
 11416, 75922,19840903,    0,    0
 11416, 75922,19840904,    0,    0
 11416, 75922,19840905,    0,    0
 11416, 75922,19840906,    0,    0
 11416, 75922,19840907,    0,    0
 11416, 75922,19840908,    0,    0
 11416, 75922,19840909,    0,    0
 11416, 75922,19840910,    0,    0
 11416, 75922,19840911,    0,    0
 11416, 75922,19840912,    0,    0
 11416, 75922,19840913,    0,    0
 11416, 75922,19840914,    0,    0
 11416, 75922,19840915,    0,    0
 11416, 75922,19840916,    0,    0
 11416, 75922,19840917,    0,    0
 11416, 75922,19840918,    0,    0
 11416, 75922,19840919,    0,    0
 11416, 75922,19840920,    0,    0
 11416, 75922,19840921,    0,    0
 11416, 75922,19840922,    0,    0
 11416, 75922,19840923,    0,    0
 11416, 75922,19840924,    0,    0
 11416, 75922,19840925,    0,    0
 11416, 75922,19840926,    0,    0
 11416, 75922,19840927,    0,    0
 11416, 75922,19840928,    0,    0
 11416, 75922,19840929,    0,    0
 11416, 75922,19840930,    0,    0
 11416, 75922,19841001,    0,    0
 11416, 75922,19841002,    0,    0
 11416, 75922,19841003,    0,    0
 11416, 75922,19841004,    0,    0
 11416, 75922,19841005,    0,    0
 11416, 75922,19841006,    0,    0
 11416, 75922,19841007,    0,    0
 11416, 75922,19841008,    0,    0
 11416, 75922,19841009,    0,    0
 11416, 75922,19841010,    0,    0
 11416, 75922,19841011,    0,    0
 11416, 75922,19841012,    0,    0
 11416, 75922,19841013,    0,    0
 11416, 75922,19841014,    0,    0
 11416, 75922,19841015,  477,    0
 11416, 75922,19841016,   35,    0
 11416, 75922,19841017,   40,    0
 11416, 75922,19841018,    0,    0
 11416, 75922,19841019,    0,    0
 11416, 75922,19841020,    0,    0
 11416, 75922,19841021,    0,    0
 11416, 75922,19841022,    0,    0
 11416, 75922,19841023,    0,    0
 11416, 75922,19841024,    0,    0
 11416, 75922,19841025,    0,    0
 11416, 75922,19841026,    0,    0
 11416, 75922,19841027,    0,    0
 11416, 75922,19841028,    0,    0
 11416, 75922,19841029,    0,    0
 11416, 75922,19841030,    3,    0
 11416, 75922,19841031,    0,    0
 11416, 75922,19841101,    0,    0
 11416, 75922,19841102,    0,    0
 11416, 75922,19841103,    0,    0
 11416, 75922,19841104,    0,    0
 11416, 75922,19841105,    0,    0
 11416, 75922,19841106,    0,    0
 11416, 75922,19841107,    0,    0
 11416, 75922,19841108,    0,    0
 11416, 75922,19841109,   20,    0
 11416, 75922,19841110,    0,    0
 11416, 75922,19841111,    5,    0
 11416, 75922,19841112,    0,    0
 11416, 75922,19841113,    0,    0
 11416, 75922,19841114,    0,    0
 11416, 75922,19841115,    0,    0
 11416, 75922,19841116,  190,    0
 11416, 75922,19841117,    0,    0
 11416, 75922,19841118,    0,    0
 11416, 75922,19841119,    0,    0
 11416, 75922,19841120,    0,    0
