EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ALTUSRIED-MUTHMANNSHOFEN, GERMANY (STAID: 11902)
Blended and updated with sources:81651 81653 82481 84153 85723 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 11902, 81653,19310101,   70,    0
 11902, 81653,19310102,   41,    0
 11902, 81653,19310103,    0,    0
 11902, 81653,19310104,  155,    0
 11902, 81653,19310105,    0,    0
 11902, 81653,19310106,    0,    0
 11902, 81653,19310107,    0,    0
 11902, 81653,19310108,    0,    0
 11902, 81653,19310109,    0,    0
 11902, 81653,19310110,    0,    0
 11902, 81653,19310111,    0,    0
 11902, 81653,19310112,    0,    0
 11902, 81653,19310113,    0,    0
 11902, 81653,19310114,    0,    0
 11902, 81653,19310115,    0,    0
 11902, 81653,19310116,    0,    0
 11902, 81653,19310117,  201,    0
 11902, 81653,19310118,   36,    0
 11902, 81653,19310119,  367,    0
 11902, 81653,19310120,   51,    0
 11902, 81653,19310121,    0,    0
 11902, 81653,19310122,    0,    0
 11902, 81653,19310123,    0,    0
 11902, 81653,19310124,  168,    0
 11902, 81653,19310125,   59,    0
 11902, 81653,19310126,  193,    0
 11902, 81653,19310127,   28,    0
 11902, 81653,19310128,  121,    0
 11902, 81653,19310129,   45,    0
 11902, 81653,19310130,    0,    0
 11902, 81653,19310131,    0,    0
 11902, 81653,19310201,    0,    0
 11902, 81653,19310202,    0,    0
 11902, 81653,19310203,    0,    0
 11902, 81653,19310204,   27,    0
 11902, 81653,19310205,   26,    0
 11902, 81653,19310206,    0,    0
 11902, 81653,19310207,    0,    0
 11902, 81653,19310208,    0,    0
 11902, 81653,19310209,    0,    0
 11902, 81653,19310210,   55,    0
 11902, 81653,19310211,    0,    0
 11902, 81653,19310212,  146,    0
 11902, 81653,19310213,    0,    0
 11902, 81653,19310214,   26,    0
 11902, 81653,19310215,    0,    0
 11902, 81653,19310216,    0,    0
 11902, 81653,19310217,  158,    0
 11902, 81653,19310218,    0,    0
 11902, 81653,19310219,    0,    0
 11902, 81653,19310220,    0,    0
 11902, 81653,19310221,   92,    0
