EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BAHRENDORF, GERMANY (STAID: 11974)
Blended and updated with sources:81735 81797 82059 82305 89815 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 11974, 89815,19510101,    0,    0
 11974, 89815,19510102,    0,    0
 11974, 89815,19510103,    0,    0
 11974, 89815,19510104,    0,    0
 11974, 89815,19510105,   12,    0
 11974, 89815,19510106,   30,    0
 11974, 89815,19510107,    0,    0
 11974, 89815,19510108,    0,    0
 11974, 89815,19510109,    0,    0
 11974, 89815,19510110,    0,    0
 11974, 89815,19510111,    0,    0
 11974, 89815,19510112,    0,    0
 11974, 89815,19510113,    0,    0
 11974, 89815,19510114,    0,    0
 11974, 89815,19510115,   40,    0
 11974, 89815,19510116,    2,    0
 11974, 89815,19510117,   95,    0
 11974, 89815,19510118,   84,    0
 11974, 89815,19510119,   40,    0
 11974, 89815,19510120,    1,    0
 11974, 89815,19510121,    0,    0
 11974, 89815,19510122,    5,    0
 11974, 89815,19510123,    0,    0
 11974, 89815,19510124,    0,    0
 11974, 89815,19510125,    0,    0
 11974, 89815,19510126,   22,    0
 11974, 89815,19510127,    0,    0
 11974, 89815,19510128,    0,    0
 11974, 89815,19510129,    0,    0
 11974, 89815,19510130,    0,    0
 11974, 89815,19510131,    0,    0
 11974, 89815,19510201,   10,    0
 11974, 89815,19510202,    5,    0
 11974, 89815,19510203,    0,    0
 11974, 89815,19510204,    0,    0
 11974, 89815,19510205,   10,    0
 11974, 89815,19510206,    0,    0
 11974, 89815,19510207,    0,    0
 11974, 89815,19510208,    1,    0
 11974, 89815,19510209,    0,    0
 11974, 89815,19510210,    0,    0
 11974, 89815,19510211,    0,    0
 11974, 89815,19510212,    5,    0
 11974, 89815,19510213,   25,    0
 11974, 89815,19510214,   58,    0
 11974, 89815,19510215,    0,    0
 11974, 89815,19510216,    0,    0
 11974, 89815,19510217,    0,    0
 11974, 89815,19510218,    3,    0
 11974, 89815,19510219,   20,    0
 11974, 89815,19510220,    0,    0
 11974, 89815,19510221,    3,    0
 11974, 89815,19510222,    0,    0
 11974, 89815,19510223,   17,    0
 11974, 89815,19510224,    0,    0
 11974, 89815,19510225,    0,    0
 11974, 89815,19510226,    0,    0
 11974, 89815,19510227,   12,    0
 11974, 89815,19510228,    0,    0
 11974, 89815,19510301,    5,    0
 11974, 89815,19510302,    0,    0
 11974, 89815,19510303,    0,    0
 11974, 89815,19510304,    0,    0
 11974, 89815,19510305,    0,    0
 11974, 89815,19510306,    0,    0
 11974, 89815,19510307,    0,    0
 11974, 89815,19510308,   32,    0
 11974, 89815,19510309,    8,    0
 11974, 89815,19510310,    0,    0
 11974, 89815,19510311,    0,    0
 11974, 89815,19510312,    0,    0
 11974, 89815,19510313,    0,    0
 11974, 89815,19510314,   10,    0
 11974, 89815,19510315,    1,    0
 11974, 89815,19510316,   35,    0
 11974, 89815,19510317,   73,    0
 11974, 89815,19510318,    8,    0
 11974, 89815,19510319,  120,    0
 11974, 89815,19510320,   10,    0
 11974, 89815,19510321,    0,    0
 11974, 89815,19510322,   40,    0
 11974, 89815,19510323,    0,    0
 11974, 89815,19510324,    0,    0
 11974, 89815,19510325,    0,    0
 11974, 89815,19510326,   12,    0
 11974, 89815,19510327,    0,    0
 11974, 89815,19510328,    3,    0
 11974, 89815,19510329,    0,    0
 11974, 89815,19510330,    0,    0
 11974, 89815,19510331,   33,    0
 11974, 89815,19510401,    0,    0
 11974, 89815,19510402,    0,    0
 11974, 89815,19510403,    0,    0
 11974, 89815,19510404,    0,    0
 11974, 89815,19510405,    0,    0
 11974, 89815,19510406,    0,    0
 11974, 89815,19510407,   20,    0
 11974, 89815,19510408,    1,    0
 11974, 89815,19510409,    0,    0
 11974, 89815,19510410,    0,    0
 11974, 89815,19510411,    0,    0
 11974, 89815,19510412,    0,    0
 11974, 89815,19510413,    0,    0
 11974, 89815,19510414,    2,    0
 11974, 89815,19510415,    0,    0
 11974, 89815,19510416,    0,    0
 11974, 89815,19510417,    0,    0
 11974, 89815,19510418,    0,    0
 11974, 89815,19510419,    3,    0
 11974, 89815,19510420,    0,    0
 11974, 89815,19510421,    0,    0
 11974, 89815,19510422,    0,    0
 11974, 89815,19510423,    0,    0
 11974, 89815,19510424,    0,    0
 11974, 89815,19510425,    0,    0
 11974, 89815,19510426,    0,    0
