EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BECKINGEN-DUEPPENWEILER, GERMANY (STAID: 12014)
Blended and updated with sources:81877 85859 86133 87977 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 12014, 87977,19310101,   10,    0
 12014, 87977,19310102,   35,    0
 12014, 87977,19310103,   23,    0
 12014, 87977,19310104,    5,    0
 12014, 87977,19310105,   50,    0
 12014, 87977,19310106,  101,    0
 12014, 87977,19310107,    0,    0
 12014, 87977,19310108,    0,    0
 12014, 87977,19310109,    0,    0
 12014, 87977,19310110,    0,    0
 12014, 87977,19310111,   95,    0
 12014, 87977,19310112,  156,    0
 12014, 87977,19310113,   10,    0
 12014, 87977,19310114,    0,    0
 12014, 87977,19310115,    0,    0
 12014, 87977,19310116,   16,    0
 12014, 87977,19310117,   20,    0
 12014, 87977,19310118,   57,    0
 12014, 87977,19310119,   70,    0
 12014, 87977,19310120,   12,    0
 12014, 87977,19310121,    0,    0
 12014, 87977,19310122,    0,    0
 12014, 87977,19310123,  121,    0
 12014, 87977,19310124,   80,    0
 12014, 87977,19310125,  282,    0
 12014, 87977,19310126,   40,    0
 12014, 87977,19310127,    0,    0
 12014, 87977,19310128,    0,    0
 12014, 87977,19310129,   22,    0
 12014, 87977,19310130,    0,    0
 12014, 87977,19310131,    0,    0
 12014, 87977,19310201,    0,    0
 12014, 87977,19310202,   29,    0
 12014, 87977,19310203,   67,    0
 12014, 87977,19310204,   13,    0
 12014, 87977,19310205,   20,    0
 12014, 87977,19310206,    0,    0
 12014, 87977,19310207,    0,    0
 12014, 87977,19310208,    0,    0
 12014, 87977,19310209,    0,    0
 12014, 87977,19310210,   21,    0
 12014, 87977,19310211,  120,    0
 12014, 87977,19310212,    7,    0
 12014, 87977,19310213,    6,    0
 12014, 87977,19310214,    0,    0
 12014, 87977,19310215,    0,    0
 12014, 87977,19310216,    1,    0
 12014, 87977,19310217,   14,    0
 12014, 87977,19310218,    0,    0
 12014, 87977,19310219,    0,    0
 12014, 87977,19310220,    0,    0
 12014, 87977,19310221,    0,    0
 12014, 87977,19310222,    0,    0
 12014, 87977,19310223,    0,    0
 12014, 87977,19310224,    0,    0
 12014, 87977,19310225,    0,    0
 12014, 87977,19310226,   27,    0
 12014, 87977,19310227,   34,    0
 12014, 87977,19310228,  150,    0
 12014, 87977,19310301,    0,    0
 12014, 87977,19310302,    0,    0
 12014, 87977,19310303,   54,    0
 12014, 87977,19310304,    3,    0
 12014, 87977,19310305,    0,    0
 12014, 87977,19310306,    4,    0
 12014, 87977,19310307,   31,    0
 12014, 87977,19310308,    0,    0
