EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station RHOENBLICK-BETTENHAUSEN, GERMANY (STAID: 12099)
Blended and updated with sources:82047 86093 89201 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 12099, 86093,19460401,-9999,    9
 12099, 86093,19460402,-9999,    9
 12099, 86093,19460403,-9999,    9
 12099, 86093,19460404,-9999,    9
 12099, 86093,19460405,-9999,    9
 12099, 86093,19460406,-9999,    9
 12099, 86093,19460407,-9999,    9
 12099, 86093,19460408,-9999,    9
 12099, 86093,19460409,    0,    0
 12099, 86093,19460410,    0,    0
 12099, 86093,19460411,    0,    0
 12099, 86093,19460412,    0,    0
 12099, 86093,19460413,    0,    0
 12099, 86093,19460414,    0,    0
 12099, 86093,19460415,    0,    0
 12099, 86093,19460416,    0,    0
 12099, 86093,19460417,   33,    0
 12099, 86093,19460418,   66,    0
 12099, 86093,19460419,    0,    0
 12099, 86093,19460420,    0,    0
 12099, 86093,19460421,    0,    0
 12099, 86093,19460422,    0,    0
 12099, 86093,19460423,    0,    0
 12099, 86093,19460424,    0,    0
 12099, 86093,19460425,    0,    0
 12099, 86093,19460426,    0,    0
 12099, 86093,19460427,    0,    0
 12099, 86093,19460428,   78,    0
 12099, 86093,19460429,    0,    0
 12099, 86093,19460430,   36,    0
 12099, 86093,19460501,    0,    0
 12099, 86093,19460502,   58,    0
 12099, 86093,19460503,    0,    0
 12099, 86093,19460504,    0,    0
 12099, 86093,19460505,   45,    0
 12099, 86093,19460506,   28,    0
 12099, 86093,19460507,    0,    0
 12099, 86093,19460508,    0,    0
 12099, 86093,19460509,    0,    0
 12099, 86093,19460510,    0,    0
 12099, 86093,19460511,    0,    0
 12099, 86093,19460512,    4,    0
 12099, 86093,19460513,   38,    0
 12099, 86093,19460514,  125,    0
 12099, 86093,19460515,    0,    0
 12099, 86093,19460516,    0,    0
 12099, 86093,19460517,   52,    0
 12099, 86093,19460518,    0,    0
 12099, 86093,19460519,    0,    0
 12099, 86093,19460520,    0,    0
 12099, 86093,19460521,    0,    0
 12099, 86093,19460522,  183,    0
 12099, 86093,19460523,    0,    0
 12099, 86093,19460524,   23,    0
 12099, 86093,19460525,    0,    0
 12099, 86093,19460526,   56,    0
 12099, 86093,19460527,    0,    0
 12099, 86093,19460528,    0,    0
 12099, 86093,19460529,   19,    0
 12099, 86093,19460530,    0,    0
 12099, 86093,19460531,    8,    0
 12099, 86093,19460601,  120,    0
 12099, 86093,19460602,   12,    0
 12099, 86093,19460603,    8,    0
 12099, 86093,19460604,    0,    0
 12099, 86093,19460605,    0,    0
 12099, 86093,19460606,    1,    0
 12099, 86093,19460607,   17,    0
 12099, 86093,19460608,   24,    0
 12099, 86093,19460609,    0,    0
 12099, 86093,19460610,   38,    0
 12099, 86093,19460611,   22,    0
 12099, 86093,19460612,    3,    0
 12099, 86093,19460613,  242,    0
 12099, 86093,19460614,    0,    0
 12099, 86093,19460615,    0,    0
 12099, 86093,19460616,   61,    0
 12099, 86093,19460617,   52,    0
 12099, 86093,19460618,   19,    0
 12099, 86093,19460619,   39,    0
 12099, 86093,19460620,    0,    0
 12099, 86093,19460621,    0,    0
 12099, 86093,19460622,  169,    0
 12099, 86093,19460623,  100,    0
 12099, 86093,19460624,    1,    0
 12099, 86093,19460625,   10,    0
 12099, 86093,19460626,   62,    0
 12099, 86093,19460627,    1,    0
 12099, 86093,19460628,    0,    0
 12099, 86093,19460629,    0,    0
 12099, 86093,19460630,    0,    0
 12099, 86093,19460701,    0,    0
 12099, 86093,19460702,    0,    0
 12099, 86093,19460703,    0,    0
 12099, 86093,19460704,    0,    0
 12099, 86093,19460705,    0,    0
 12099, 86093,19460706,    0,    0
 12099, 86093,19460707,    9,    0
 12099, 86093,19460708,   35,    0
 12099, 86093,19460709,    0,    0
 12099, 86093,19460710,    0,    0
 12099, 86093,19460711,    0,    0
 12099, 86093,19460712,    0,    0
 12099, 86093,19460713,    0,    0
 12099, 86093,19460714,   19,    0
 12099, 86093,19460715,   87,    0
 12099, 86093,19460716,   13,    0
 12099, 86093,19460717,   36,    0
 12099, 86093,19460718,   65,    0
 12099, 86093,19460719,    8,    0
 12099, 86093,19460720,  204,    0
 12099, 86093,19460721,    0,    0
 12099, 86093,19460722,    0,    0
 12099, 86093,19460723,    0,    0
 12099, 86093,19460724,    0,    0
 12099, 86093,19460725,  121,    0
 12099, 86093,19460726,    0,    0
 12099, 86093,19460727,    8,    0
 12099, 86093,19460728,  140,    0
 12099, 86093,19460729,   30,    0
 12099, 86093,19460730,    0,    0
 12099, 86093,19460731,    0,    0
 12099, 86093,19460801,    0,    0
 12099, 86093,19460802,    0,    0
 12099, 86093,19460803,    0,    0
 12099, 86093,19460804,    0,    0
 12099, 86093,19460805,   26,    0
 12099, 86093,19460806,    0,    0
 12099, 86093,19460807,   10,    0
 12099, 86093,19460808,    7,    0
 12099, 86093,19460809,    0,    0
 12099, 86093,19460810,   49,    0
 12099, 86093,19460811,    2,    0
 12099, 86093,19460812,    4,    0
 12099, 86093,19460813,   18,    0
 12099, 86093,19460814,    1,    0
 12099, 86093,19460815,    2,    0
 12099, 86093,19460816,   46,    0
 12099, 86093,19460817,    5,    0
 12099, 86093,19460818,    0,    0
 12099, 86093,19460819,   77,    0
 12099, 86093,19460820,   14,    0
 12099, 86093,19460821,   59,    0
 12099, 86093,19460822,    0,    0
 12099, 86093,19460823,    2,    0
 12099, 86093,19460824,    0,    0
 12099, 86093,19460825,    0,    0
 12099, 86093,19460826,    5,    0
 12099, 86093,19460827,    6,    0
 12099, 86093,19460828,    7,    0
 12099, 86093,19460829,   42,    0
 12099, 86093,19460830,   25,    0
 12099, 86093,19460831,    2,    0
 12099, 86093,19460901,   87,    0
 12099, 86093,19460902,    3,    0
 12099, 86093,19460903,    1,    0
 12099, 86093,19460904,   91,    0
 12099, 86093,19460905,    7,    0
 12099, 86093,19460906,    0,    0
 12099, 86093,19460907,    0,    0
 12099, 86093,19460908,    4,    0
 12099, 86093,19460909,   46,    0
 12099, 86093,19460910,    0,    0
 12099, 86093,19460911,    0,    0
 12099, 86093,19460912,    1,    0
 12099, 86093,19460913,   89,    0
 12099, 86093,19460914,    1,    0
 12099, 86093,19460915,    0,    0
 12099, 86093,19460916,    0,    0
 12099, 86093,19460917,   71,    0
 12099, 86093,19460918,  131,    0
 12099, 86093,19460919,    6,    0
 12099, 86093,19460920,   70,    0
 12099, 86093,19460921,    0,    0
 12099, 86093,19460922,   18,    0
 12099, 86093,19460923,    2,    0
 12099, 86093,19460924,    0,    0
 12099, 86093,19460925,    0,    0
 12099, 86093,19460926,    0,    0
 12099, 86093,19460927,    2,    0
 12099, 86093,19460928,    1,    0
 12099, 86093,19460929,    2,    0
 12099, 86093,19460930,    2,    0
 12099, 86093,19461001,    0,    0
 12099, 86093,19461002,    0,    0
 12099, 86093,19461003,   10,    0
 12099, 86093,19461004,  165,    0
 12099, 86093,19461005,   72,    0
 12099, 86093,19461006,  116,    0
 12099, 86093,19461007,   37,    0
 12099, 86093,19461008,   38,    0
 12099, 86093,19461009,    9,    0
 12099, 86093,19461010,    0,    0
 12099, 86093,19461011,    0,    0
 12099, 86093,19461012,    0,    0
 12099, 86093,19461013,    0,    0
 12099, 86093,19461014,    0,    0
 12099, 86093,19461015,   13,    0
 12099, 86093,19461016,    1,    0
 12099, 86093,19461017,    0,    0
 12099, 86093,19461018,    0,    0
 12099, 86093,19461019,    0,    0
 12099, 86093,19461020,    0,    0
