EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BODENKIRCHEN-AICH, GERMANY (STAID: 12188)
Blended and updated with sources:82225 83571 89125 89873 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 12188, 82225,18990101,   34,    0
 12188, 82225,18990102,   68,    0
 12188, 82225,18990103,   13,    0
 12188, 82225,18990104,   41,    0
 12188, 82225,18990105,   23,    0
 12188, 82225,18990106,    0,    0
 12188, 82225,18990107,    2,    0
 12188, 82225,18990108,    0,    0
 12188, 82225,18990109,    0,    0
 12188, 82225,18990110,    0,    0
 12188, 82225,18990111,    0,    0
 12188, 82225,18990112,   96,    0
 12188, 82225,18990113,  133,    0
 12188, 82225,18990114,    0,    0
 12188, 82225,18990115,   71,    0
 12188, 82225,18990116,    3,    0
 12188, 82225,18990117,   17,    0
 12188, 82225,18990118,   34,    0
 12188, 82225,18990119,    0,    0
 12188, 82225,18990120,    0,    0
 12188, 82225,18990121,    0,    0
 12188, 82225,18990122,    0,    0
 12188, 82225,18990123,    0,    0
 12188, 82225,18990124,  128,    0
 12188, 82225,18990125,  159,    0
 12188, 82225,18990126,    0,    0
 12188, 82225,18990127,    0,    0
 12188, 82225,18990128,    0,    0
 12188, 82225,18990129,    0,    0
 12188, 82225,18990130,    0,    0
 12188, 82225,18990131,    0,    0
 12188, 82225,18990201,    0,    0
 12188, 82225,18990202,    0,    0
 12188, 82225,18990203,    0,    0
 12188, 82225,18990204,    0,    0
 12188, 82225,18990205,   13,    0
 12188, 82225,18990206,   22,    0
 12188, 82225,18990207,   72,    0
 12188, 82225,18990208,    0,    0
 12188, 82225,18990209,    0,    0
 12188, 82225,18990210,    0,    0
 12188, 82225,18990211,    0,    0
 12188, 82225,18990212,    9,    0
 12188, 82225,18990213,    0,    0
 12188, 82225,18990214,    0,    0
 12188, 82225,18990215,    0,    0
 12188, 82225,18990216,   30,    0
 12188, 82225,18990217,    0,    0
 12188, 82225,18990218,    0,    0
 12188, 82225,18990219,    0,    0
 12188, 82225,18990220,    6,    0
 12188, 82225,18990221,    0,    0
 12188, 82225,18990222,    0,    0
 12188, 82225,18990223,   16,    0
 12188, 82225,18990224,    0,    0
 12188, 82225,18990225,    0,    0
 12188, 82225,18990226,    0,    0
 12188, 82225,18990227,    0,    0
 12188, 82225,18990228,    0,    0
 12188, 82225,18990301,   40,    0
 12188, 82225,18990302,    0,    0
