EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GROSS BOELKOW-MATERSEN, GERMANY (STAID: 12197)
Blended and updated with sources:82243 86445 88115 90421 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 12197, 86445,18880301,    0,    0
 12197, 86445,18880302,    0,    0
 12197, 86445,18880303,  190,    0
 12197, 86445,18880304,   20,    0
 12197, 86445,18880305,    0,    0
 12197, 86445,18880306,    7,    0
 12197, 86445,18880307,  161,    0
 12197, 86445,18880308,  123,    0
 12197, 86445,18880309,   58,    0
 12197, 86445,18880310,   97,    0
 12197, 86445,18880311,   51,    0
 12197, 86445,18880312,   31,    0
 12197, 86445,18880313,   11,    0
 12197, 86445,18880314,    0,    0
 12197, 86445,18880315,    0,    0
 12197, 86445,18880316,    0,    0
 12197, 86445,18880317,    0,    0
 12197, 86445,18880318,    0,    0
 12197, 86445,18880319,   54,    0
 12197, 86445,18880320,    7,    0
 12197, 86445,18880321,   41,    0
 12197, 86445,18880322,    8,    0
 12197, 86445,18880323,    1,    0
 12197, 86445,18880324,    6,    0
 12197, 86445,18880325,   41,    0
 12197, 86445,18880326,    9,    0
 12197, 86445,18880327,    0,    0
 12197, 86445,18880328,    0,    0
 12197, 86445,18880329,   93,    0
 12197, 86445,18880330,    0,    0
 12197, 86445,18880331,   20,    0
 12197, 86445,18880401,   11,    0
 12197, 86445,18880402,   41,    0
 12197, 86445,18880403,    7,    0
 12197, 86445,18880404,    0,    0
 12197, 86445,18880405,    0,    0
 12197, 86445,18880406,    0,    0
 12197, 86445,18880407,    0,    0
 12197, 86445,18880408,   16,    0
 12197, 86445,18880409,    0,    0
 12197, 86445,18880410,    0,    0
 12197, 86445,18880411,    7,    0
 12197, 86445,18880412,    1,    0
 12197, 86445,18880413,   42,    0
 12197, 86445,18880414,    0,    0
 12197, 86445,18880415,    0,    0
 12197, 86445,18880416,    6,    0
 12197, 86445,18880417,   52,    0
 12197, 86445,18880418,   31,    0
 12197, 86445,18880419,    0,    0
 12197, 86445,18880420,   11,    0
 12197, 86445,18880421,   17,    0
 12197, 86445,18880422,   14,    0
 12197, 86445,18880423,  202,    0
 12197, 86445,18880424,  216,    0
 12197, 86445,18880425,    4,    0
 12197, 86445,18880426,    0,    0
 12197, 86445,18880427,    3,    0
 12197, 86445,18880428,    4,    0
 12197, 86445,18880429,    0,    0
 12197, 86445,18880430,    0,    0
 12197, 86445,18880501,  112,    0
 12197, 86445,18880502,    2,    0
 12197, 86445,18880503,   32,    0
 12197, 86445,18880504,    7,    0
 12197, 86445,18880505,   20,    0
 12197, 86445,18880506,    9,    0
 12197, 86445,18880507,    1,    0
 12197, 86445,18880508,    0,    0
 12197, 86445,18880509,    0,    0
 12197, 86445,18880510,    0,    0
 12197, 86445,18880511,    1,    0
 12197, 86445,18880512,   17,    0
 12197, 86445,18880513,    0,    0
 12197, 86445,18880514,    4,    0
 12197, 86445,18880515,    0,    0
 12197, 86445,18880516,    0,    0
 12197, 86445,18880517,    0,    0
 12197, 86445,18880518,    0,    0
 12197, 86445,18880519,    0,    0
 12197, 86445,18880520,    0,    0
 12197, 86445,18880521,    0,    0
 12197, 86445,18880522,    0,    0
 12197, 86445,18880523,    0,    0
 12197, 86445,18880524,    0,    0
 12197, 86445,18880525,   10,    0
 12197, 86445,18880526,    0,    0
 12197, 86445,18880527,    0,    0
 12197, 86445,18880528,    0,    0
 12197, 86445,18880529,    0,    0
 12197, 86445,18880530,   35,    0
 12197, 86445,18880531,    9,    0
 12197, 86445,18880601,   14,    0
 12197, 86445,18880602,    0,    0
 12197, 86445,18880603,   34,    0
 12197, 86445,18880604,    0,    0
 12197, 86445,18880605,    0,    0
 12197, 86445,18880606,    0,    0
 12197, 86445,18880607,  108,    0
 12197, 86445,18880608,    0,    0
 12197, 86445,18880609,   53,    0
 12197, 86445,18880610,   10,    0
 12197, 86445,18880611,    0,    0
 12197, 86445,18880612,    0,    0
 12197, 86445,18880613,    0,    0
 12197, 86445,18880614,   62,    0
 12197, 86445,18880615,   35,    0
 12197, 86445,18880616,   63,    0
 12197, 86445,18880617,    0,    0
 12197, 86445,18880618,    0,    0
 12197, 86445,18880619,   29,    0
 12197, 86445,18880620,    0,    0
 12197, 86445,18880621,    0,    0
 12197, 86445,18880622,    0,    0
 12197, 86445,18880623,    0,    0
 12197, 86445,18880624,    0,    0
 12197, 86445,18880625,    0,    0
 12197, 86445,18880626,    0,    0
 12197, 86445,18880627,    0,    0
 12197, 86445,18880628,    6,    0
 12197, 86445,18880629,   51,    0
 12197, 86445,18880630,   64,    0
 12197, 86445,18880701,   37,    0
 12197, 86445,18880702,   14,    0
 12197, 86445,18880703,   37,    0
 12197, 86445,18880704,    0,    0
 12197, 86445,18880705,   27,    0
 12197, 86445,18880706,   86,    0
 12197, 86445,18880707,    0,    0
 12197, 86445,18880708,    0,    0
 12197, 86445,18880709,   39,    0
 12197, 86445,18880710,   54,    0
 12197, 86445,18880711,  170,    0
 12197, 86445,18880712,  212,    0
 12197, 86445,18880713,    5,    0
 12197, 86445,18880714,    2,    0
 12197, 86445,18880715,    0,    0
 12197, 86445,18880716,    0,    0
 12197, 86445,18880717,  213,    0
 12197, 86445,18880718,   34,    0
 12197, 86445,18880719,   11,    0
 12197, 86445,18880720,    0,    0
 12197, 86445,18880721,   10,    0
 12197, 86445,18880722,    0,    0
 12197, 86445,18880723,  127,    0
 12197, 86445,18880724,    3,    0
 12197, 86445,18880725,   41,    0
 12197, 86445,18880726,    0,    0
 12197, 86445,18880727,    0,    0
 12197, 86445,18880728,   76,    0
 12197, 86445,18880729,   64,    0
 12197, 86445,18880730,   17,    0
 12197, 86445,18880731,    2,    0
 12197, 86445,18880801,    0,    0
 12197, 86445,18880802,    2,    0
 12197, 86445,18880803,    0,    0
 12197, 86445,18880804,   34,    0
 12197, 86445,18880805,   65,    0
 12197, 86445,18880806,   37,    0
 12197, 86445,18880807,    4,    0
 12197, 86445,18880808,   17,    0
 12197, 86445,18880809,    0,    0
 12197, 86445,18880810,    2,    0
 12197, 86445,18880811,    0,    0
 12197, 86445,18880812,   21,    0
 12197, 86445,18880813,    0,    0
 12197, 86445,18880814,    2,    0
 12197, 86445,18880815,    0,    0
 12197, 86445,18880816,   20,    0
 12197, 86445,18880817,    3,    0
 12197, 86445,18880818,    0,    0
 12197, 86445,18880819,    0,    0
 12197, 86445,18880820,    0,    0
 12197, 86445,18880821,    6,    0
 12197, 86445,18880822,   13,    0
 12197, 86445,18880823,    3,    0
 12197, 86445,18880824,    0,    0
 12197, 86445,18880825,    0,    0
 12197, 86445,18880826,    0,    0
 12197, 86445,18880827,    1,    0
 12197, 86445,18880828,    0,    0
 12197, 86445,18880829,    0,    0
 12197, 86445,18880830,    0,    0
 12197, 86445,18880831,    0,    0
 12197, 86445,18880901,    0,    0
 12197, 86445,18880902,    0,    0
 12197, 86445,18880903,    0,    0
 12197, 86445,18880904,  417,    0
 12197, 86445,18880905,    0,    0
 12197, 86445,18880906,    0,    0
 12197, 86445,18880907,    0,    0
 12197, 86445,18880908,    1,    0
 12197, 86445,18880909,    0,    0
 12197, 86445,18880910,   40,    0
 12197, 86445,18880911,   72,    0
 12197, 86445,18880912,   53,    0
 12197, 86445,18880913,    0,    0
 12197, 86445,18880914,    0,    0
 12197, 86445,18880915,    0,    0
 12197, 86445,18880916,    0,    0
 12197, 86445,18880917,    0,    0
 12197, 86445,18880918,    0,    0
 12197, 86445,18880919,    0,    0
 12197, 86445,18880920,    0,    0
 12197, 86445,18880921,    0,    0
 12197, 86445,18880922,    0,    0
 12197, 86445,18880923,    1,    0
 12197, 86445,18880924,    0,    0
 12197, 86445,18880925,    0,    0
 12197, 86445,18880926,    0,    0
 12197, 86445,18880927,    0,    0
 12197, 86445,18880928,    0,    0
 12197, 86445,18880929,   75,    0
 12197, 86445,18880930,   52,    0
 12197, 86445,18881001,   15,    0
 12197, 86445,18881002,   17,    0
 12197, 86445,18881003,    0,    0
 12197, 86445,18881004,   17,    0
 12197, 86445,18881005,    5,    0
 12197, 86445,18881006,   15,    0
 12197, 86445,18881007,   13,    0
 12197, 86445,18881008,    0,    0
 12197, 86445,18881009,  111,    0
 12197, 86445,18881010,    7,    0
 12197, 86445,18881011,   14,    0
 12197, 86445,18881012,  119,    0
 12197, 86445,18881013,   11,    0
 12197, 86445,18881014,    1,    0
 12197, 86445,18881015,    6,    0
 12197, 86445,18881016,   22,    0
 12197, 86445,18881017,    0,    0
 12197, 86445,18881018,   13,    0
 12197, 86445,18881019,    0,    0
 12197, 86445,18881020,    0,    0
 12197, 86445,18881021,    0,    0
 12197, 86445,18881022,    0,    0
 12197, 86445,18881023,   18,    0
 12197, 86445,18881024,    0,    0
 12197, 86445,18881025,    0,    0
 12197, 86445,18881026,    6,    0
 12197, 86445,18881027,    0,    0
 12197, 86445,18881028,    0,    0
 12197, 86445,18881029,    0,    0
 12197, 86445,18881030,    8,    0
 12197, 86445,18881031,    1,    0
 12197, 86445,18881101,   31,    0
 12197, 86445,18881102,    0,    0
 12197, 86445,18881103,    0,    0
 12197, 86445,18881104,    0,    0
 12197, 86445,18881105,    0,    0
 12197, 86445,18881106,    0,    0
 12197, 86445,18881107,    0,    0
 12197, 86445,18881108,    0,    0
 12197, 86445,18881109,    0,    0
 12197, 86445,18881110,    0,    0
 12197, 86445,18881111,    0,    0
 12197, 86445,18881112,    0,    0
 12197, 86445,18881113,    0,    0
 12197, 86445,18881114,    0,    0
 12197, 86445,18881115,    0,    0
 12197, 86445,18881116,   21,    0
 12197, 86445,18881117,   81,    0
 12197, 86445,18881118,   71,    0
 12197, 86445,18881119,   71,    0
 12197, 86445,18881120,   90,    0
 12197, 86445,18881121,   20,    0
 12197, 86445,18881122,   65,    0
 12197, 86445,18881123,   53,    0
 12197, 86445,18881124,  185,    0
 12197, 86445,18881125,   13,    0
 12197, 86445,18881126,   46,    0
 12197, 86445,18881127,   45,    0
 12197, 86445,18881128,    0,    0
 12197, 86445,18881129,   31,    0
 12197, 86445,18881130,   56,    0
 12197, 86445,18881201,    3,    0
 12197, 86445,18881202,    3,    0
 12197, 86445,18881203,    0,    0
 12197, 86445,18881204,    2,    0
 12197, 86445,18881205,    0,    0
 12197, 86445,18881206,    1,    0
 12197, 86445,18881207,    1,    0
 12197, 86445,18881208,    0,    0
 12197, 86445,18881209,    4,    0
 12197, 86445,18881210,   11,    0
 12197, 86445,18881211,    1,    0
 12197, 86445,18881212,    2,    0
 12197, 86445,18881213,    0,    0
 12197, 86445,18881214,    0,    0
 12197, 86445,18881215,   15,    0
 12197, 86445,18881216,    0,    0
 12197, 86445,18881217,    1,    0
 12197, 86445,18881218,    0,    0
 12197, 86445,18881219,    0,    0
 12197, 86445,18881220,    0,    0
 12197, 86445,18881221,    0,    0
 12197, 86445,18881222,    0,    0
 12197, 86445,18881223,    0,    0
 12197, 86445,18881224,   22,    0
 12197, 86445,18881225,   54,    0
 12197, 86445,18881226,   72,    0
 12197, 86445,18881227,   13,    0
 12197, 86445,18881228,    1,    0
 12197, 86445,18881229,    0,    0
 12197, 86445,18881230,  110,    0
 12197, 86445,18881231,    1,    0
 12197, 86445,18890101,    0,    0
 12197, 86445,18890102,    0,    0
 12197, 86445,18890103,    0,    0
 12197, 86445,18890104,    0,    0
 12197, 86445,18890105,    0,    0
 12197, 86445,18890106,    0,    0
 12197, 86445,18890107,    0,    0
 12197, 86445,18890108,    0,    0
 12197, 86445,18890109,    0,    0
 12197, 86445,18890110,    0,    0
 12197, 86445,18890111,    0,    0
 12197, 86445,18890112,    0,    0
 12197, 86445,18890113,    0,    0
 12197, 86445,18890114,    0,    0
 12197, 86445,18890115,    0,    0
 12197, 86445,18890116,    0,    0
 12197, 86445,18890117,    0,    0
 12197, 86445,18890118,   21,    0
 12197, 86445,18890119,   11,    0
 12197, 86445,18890120,   10,    0
 12197, 86445,18890121,    0,    0
 12197, 86445,18890122,    0,    0
 12197, 86445,18890123,    4,    0
 12197, 86445,18890124,    4,    0
 12197, 86445,18890125,    9,    0
 12197, 86445,18890126,    2,    0
 12197, 86445,18890127,    0,    0
 12197, 86445,18890128,   13,    0
 12197, 86445,18890129,   43,    0
 12197, 86445,18890130,    0,    0
 12197, 86445,18890131,   46,    0
 12197, 86445,18890201,   62,    0
 12197, 86445,18890202,   42,    0
 12197, 86445,18890203,   73,    0
 12197, 86445,18890204,    5,    0
 12197, 86445,18890205,   14,    0
 12197, 86445,18890206,    4,    0
 12197, 86445,18890207,    0,    0
 12197, 86445,18890208,   86,    0
 12197, 86445,18890209,   24,    0
 12197, 86445,18890210,   15,    0
 12197, 86445,18890211,    1,    0
 12197, 86445,18890212,    3,    0
 12197, 86445,18890213,    0,    0
 12197, 86445,18890214,   11,    0
 12197, 86445,18890215,    3,    0
 12197, 86445,18890216,   15,    0
 12197, 86445,18890217,    6,    0
 12197, 86445,18890218,    3,    0
 12197, 86445,18890219,    3,    0
 12197, 86445,18890220,    5,    0
 12197, 86445,18890221,    5,    0
 12197, 86445,18890222,   20,    0
 12197, 86445,18890223,    7,    0
 12197, 86445,18890224,   17,    0
 12197, 86445,18890225,   26,    0
 12197, 86445,18890226,   25,    0
 12197, 86445,18890227,   14,    0
 12197, 86445,18890228,    3,    0
 12197, 86445,18890301,   12,    0
 12197, 86445,18890302,   22,    0
 12197, 86445,18890303,    4,    0
 12197, 86445,18890304,    4,    0
 12197, 86445,18890305,    2,    0
 12197, 86445,18890306,    0,    0
 12197, 86445,18890307,    0,    0
 12197, 86445,18890308,    0,    0
 12197, 86445,18890309,    7,    0
 12197, 86445,18890310,    0,    0
 12197, 86445,18890311,   13,    0
 12197, 86445,18890312,    0,    0
 12197, 86445,18890313,  135,    0
 12197, 86445,18890314,    3,    0
 12197, 86445,18890315,    0,    0
 12197, 86445,18890316,    1,    0
 12197, 86445,18890317,    2,    0
 12197, 86445,18890318,    0,    0
 12197, 86445,18890319,    0,    0
 12197, 86445,18890320,    7,    0
 12197, 86445,18890321,    0,    0
 12197, 86445,18890322,    2,    0
 12197, 86445,18890323,   10,    0
 12197, 86445,18890324,   35,    0
 12197, 86445,18890325,   27,    0
 12197, 86445,18890326,    0,    0
 12197, 86445,18890327,    0,    0
 12197, 86445,18890328,    0,    0
 12197, 86445,18890329,   41,    0
 12197, 86445,18890330,    0,    0
 12197, 86445,18890331,   20,    0
 12197, 86445,18890401,   37,    0
 12197, 86445,18890402,   75,    0
 12197, 86445,18890403,    1,    0
 12197, 86445,18890404,    0,    0
 12197, 86445,18890405,   12,    0
 12197, 86445,18890406,    2,    0
 12197, 86445,18890407,    0,    0
 12197, 86445,18890408,    0,    0
 12197, 86445,18890409,    0,    0
 12197, 86445,18890410,    0,    0
 12197, 86445,18890411,    1,    0
 12197, 86445,18890412,    0,    0
 12197, 86445,18890413,    0,    0
 12197, 86445,18890414,   14,    0
 12197, 86445,18890415,    6,    0
 12197, 86445,18890416,    0,    0
 12197, 86445,18890417,    0,    0
 12197, 86445,18890418,    0,    0
 12197, 86445,18890419,    0,    0
 12197, 86445,18890420,    1,    0
 12197, 86445,18890421,    3,    0
 12197, 86445,18890422,   17,    0
 12197, 86445,18890423,    0,    0
 12197, 86445,18890424,   21,    0
 12197, 86445,18890425,   52,    0
 12197, 86445,18890426,    0,    0
 12197, 86445,18890427,    0,    0
 12197, 86445,18890428,    9,    0
 12197, 86445,18890429,    0,    0
 12197, 86445,18890430,    0,    0
 12197, 86445,18890501,    0,    0
 12197, 86445,18890502,    0,    0
 12197, 86445,18890503,    0,    0
 12197, 86445,18890504,    0,    0
 12197, 86445,18890505,    0,    0
 12197, 86445,18890506,    0,    0
 12197, 86445,18890507,    0,    0
 12197, 86445,18890508,   45,    0
 12197, 86445,18890509,    0,    0
 12197, 86445,18890510,    0,    0
 12197, 86445,18890511,   15,    0
 12197, 86445,18890512,  136,    0
 12197, 86445,18890513,   28,    0
 12197, 86445,18890514,    0,    0
 12197, 86445,18890515,   83,    0
 12197, 86445,18890516,  207,    0
 12197, 86445,18890517,    3,    0
 12197, 86445,18890518,    0,    0
 12197, 86445,18890519,    0,    0
 12197, 86445,18890520,    0,    0
 12197, 86445,18890521,    0,    0
 12197, 86445,18890522,    0,    0
 12197, 86445,18890523,    0,    0
 12197, 86445,18890524,    0,    0
 12197, 86445,18890525,    0,    0
 12197, 86445,18890526,    0,    0
 12197, 86445,18890527,    0,    0
 12197, 86445,18890528,   11,    0
 12197, 86445,18890529,    0,    0
 12197, 86445,18890530,    0,    0
 12197, 86445,18890531,    0,    0
 12197, 86445,18890601,    0,    0
 12197, 86445,18890602,    0,    0
 12197, 86445,18890603,   18,    0
 12197, 86445,18890604,    0,    0
 12197, 86445,18890605,    0,    0
 12197, 86445,18890606,    0,    0
 12197, 86445,18890607,    0,    0
 12197, 86445,18890608,    0,    0
 12197, 86445,18890609,    7,    0
 12197, 86445,18890610,   80,    0
 12197, 86445,18890611,    3,    0
 12197, 86445,18890612,   40,    0
 12197, 86445,18890613,    0,    0
 12197, 86445,18890614,    0,    0
 12197, 86445,18890615,    0,    0
 12197, 86445,18890616,    0,    0
 12197, 86445,18890617,    0,    0
 12197, 86445,18890618,    0,    0
