EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OBERSCHOENA-BRAEUNSDORF, GERMANY (STAID: 12236)
Blended and updated with sources:82239 82321 83391 86867 87451 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 12236, 87451,19360101,    0,    0
 12236, 87451,19360102,    0,    0
 12236, 87451,19360103,   35,    0
 12236, 87451,19360104,   51,    0
 12236, 87451,19360105,    0,    0
 12236, 87451,19360106,    0,    0
 12236, 87451,19360107,    4,    0
 12236, 87451,19360108,    7,    0
 12236, 87451,19360109,   60,    0
 12236, 87451,19360110,  146,    0
 12236, 87451,19360111,    4,    0
 12236, 87451,19360112,    0,    0
 12236, 87451,19360113,    2,    0
 12236, 87451,19360114,    3,    0
 12236, 87451,19360115,    0,    0
 12236, 87451,19360116,    0,    0
 12236, 87451,19360117,    5,    0
 12236, 87451,19360118,    0,    0
 12236, 87451,19360119,    2,    0
 12236, 87451,19360120,    0,    0
 12236, 87451,19360121,    0,    0
 12236, 87451,19360122,    0,    0
 12236, 87451,19360123,    2,    0
 12236, 87451,19360124,    8,    0
 12236, 87451,19360125,    1,    0
 12236, 87451,19360126,   10,    0
 12236, 87451,19360127,    2,    0
 12236, 87451,19360128,    0,    0
 12236, 87451,19360129,    0,    0
 12236, 87451,19360130,    0,    0
 12236, 87451,19360131,  125,    0
 12236, 87451,19360201,    3,    0
 12236, 87451,19360202,   13,    0
 12236, 87451,19360203,    0,    0
 12236, 87451,19360204,    0,    0
 12236, 87451,19360205,    3,    0
 12236, 87451,19360206,   13,    0
 12236, 87451,19360207,    7,    0
 12236, 87451,19360208,    0,    0
 12236, 87451,19360209,   55,    0
 12236, 87451,19360210,    0,    0
 12236, 87451,19360211,    0,    0
 12236, 87451,19360212,    2,    0
 12236, 87451,19360213,   16,    0
 12236, 87451,19360214,    0,    0
 12236, 87451,19360215,   23,    0
 12236, 87451,19360216,   11,    0
 12236, 87451,19360217,    0,    0
 12236, 87451,19360218,    0,    0
 12236, 87451,19360219,   23,    0
 12236, 87451,19360220,   52,    0
 12236, 87451,19360221,    0,    0
 12236, 87451,19360222,    6,    0
 12236, 87451,19360223,    3,    0
 12236, 87451,19360224,  198,    0
 12236, 87451,19360225,    3,    0
 12236, 87451,19360226,    4,    0
 12236, 87451,19360227,    0,    0
 12236, 87451,19360228,    7,    0
 12236, 87451,19360229,    0,    0
 12236, 87451,19360301,    0,    0
 12236, 87451,19360302,    0,    0
 12236, 87451,19360303,    2,    0
 12236, 87451,19360304,    0,    0
 12236, 87451,19360305,    8,    0
 12236, 87451,19360306,   40,    0
 12236, 87451,19360307,   42,    0
 12236, 87451,19360308,    6,    0
 12236, 87451,19360309,    0,    0
 12236, 87451,19360310,    0,    0
 12236, 87451,19360311,   22,    0
 12236, 87451,19360312,    0,    0
 12236, 87451,19360313,    2,    0
 12236, 87451,19360314,   17,    0
 12236, 87451,19360315,    3,    0
 12236, 87451,19360316,   25,    0
 12236, 87451,19360317,    0,    0
 12236, 87451,19360318,    0,    0
 12236, 87451,19360319,    0,    0
 12236, 87451,19360320,    0,    0
 12236, 87451,19360321,    0,    0
 12236, 87451,19360322,    0,    0
 12236, 87451,19360323,    0,    0
 12236, 87451,19360324,   30,    0
 12236, 87451,19360325,    0,    0
 12236, 87451,19360326,    0,    0
 12236, 87451,19360327,    0,    0
 12236, 87451,19360328,    0,    0
 12236, 87451,19360329,   30,    0
 12236, 87451,19360330,   55,    0
 12236, 87451,19360331,   46,    0
 12236, 87451,19360401,   18,    0
 12236, 87451,19360402,   71,    0
 12236, 87451,19360403,   29,    0
 12236, 87451,19360404,    0,    0
 12236, 87451,19360405,    0,    0
 12236, 87451,19360406,    0,    0
 12236, 87451,19360407,    0,    0
 12236, 87451,19360408,    0,    0
 12236, 87451,19360409,    0,    0
 12236, 87451,19360410,    5,    0
 12236, 87451,19360411,    2,    0
 12236, 87451,19360412,   15,    0
 12236, 87451,19360413,    0,    0
 12236, 87451,19360414,   35,    0
 12236, 87451,19360415,   10,    0
 12236, 87451,19360416,    7,    0
 12236, 87451,19360417,    0,    0
 12236, 87451,19360418,  110,    0
 12236, 87451,19360419,   25,    0
 12236, 87451,19360420,    0,    0
 12236, 87451,19360421,   20,    0
 12236, 87451,19360422,   17,    0
 12236, 87451,19360423,   57,    0
 12236, 87451,19360424,   83,    0
 12236, 87451,19360425,   72,    0
 12236, 87451,19360426,    8,    0
 12236, 87451,19360427,    0,    0
 12236, 87451,19360428,    0,    0
 12236, 87451,19360429,    0,    0
 12236, 87451,19360430,    3,    0
 12236, 87451,19360501,   37,    0
 12236, 87451,19360502,   47,    0
 12236, 87451,19360503,   13,    0
 12236, 87451,19360504,    0,    0
 12236, 87451,19360505,    0,    0
 12236, 87451,19360506,    2,    0
 12236, 87451,19360507,   48,    0
 12236, 87451,19360508,    1,    0
 12236, 87451,19360509,    7,    0
 12236, 87451,19360510,   25,    0
 12236, 87451,19360511,   35,    0
 12236, 87451,19360512,   37,    0
 12236, 87451,19360513,   65,    0
 12236, 87451,19360514,    1,    0
 12236, 87451,19360515,    0,    0
 12236, 87451,19360516,    0,    0
 12236, 87451,19360517,    0,    0
 12236, 87451,19360518,    0,    0
 12236, 87451,19360519,    0,    0
 12236, 87451,19360520,    0,    0
 12236, 87451,19360521,  160,    0
 12236, 87451,19360522,  118,    0
 12236, 87451,19360523,  100,    0
 12236, 87451,19360524,    0,    0
 12236, 87451,19360525,    0,    0
 12236, 87451,19360526,    0,    0
 12236, 87451,19360527,    0,    0
 12236, 87451,19360528,    0,    0
 12236, 87451,19360529,    0,    0
 12236, 87451,19360530,    0,    0
 12236, 87451,19360531,    7,    0
 12236, 87451,19360601,   95,    0
 12236, 87451,19360602,    0,    0
 12236, 87451,19360603,    0,    0
 12236, 87451,19360604,    0,    0
 12236, 87451,19360605,   90,    0
 12236, 87451,19360606,   12,    0
 12236, 87451,19360607,    1,    0
 12236, 87451,19360608,    1,    0
 12236, 87451,19360609,    0,    0
 12236, 87451,19360610,   12,    0
 12236, 87451,19360611,    6,    0
 12236, 87451,19360612,  192,    0
 12236, 87451,19360613,    0,    0
 12236, 87451,19360614,    0,    0
 12236, 87451,19360615,    0,    0
 12236, 87451,19360616,    0,    0
 12236, 87451,19360617,    0,    0
 12236, 87451,19360618,    0,    0
 12236, 87451,19360619,    0,    0
 12236, 87451,19360620,    0,    0
 12236, 87451,19360621,    0,    0
 12236, 87451,19360622,    0,    0
 12236, 87451,19360623,   18,    0
 12236, 87451,19360624,    0,    0
 12236, 87451,19360625,    0,    0
 12236, 87451,19360626,   62,    0
 12236, 87451,19360627,    0,    0
 12236, 87451,19360628,    0,    0
 12236, 87451,19360629,    0,    0
 12236, 87451,19360630,  580,    0
 12236, 87451,19360701,    8,    0
 12236, 87451,19360702,   78,    0
 12236, 87451,19360703,   16,    0
 12236, 87451,19360704,    0,    0
 12236, 87451,19360705,    3,    0
 12236, 87451,19360706,    0,    0
 12236, 87451,19360707,   96,    0
 12236, 87451,19360708,    0,    0
 12236, 87451,19360709,   77,    0
 12236, 87451,19360710,   18,    0
 12236, 87451,19360711,   90,    0
 12236, 87451,19360712,    0,    0
 12236, 87451,19360713,    6,    0
 12236, 87451,19360714,    6,    0
 12236, 87451,19360715,   30,    0
 12236, 87451,19360716,   29,    0
 12236, 87451,19360717,    0,    0
 12236, 87451,19360718,   18,    0
 12236, 87451,19360719,    0,    0
 12236, 87451,19360720,   92,    0
 12236, 87451,19360721,   10,    0
 12236, 87451,19360722,    2,    0
 12236, 87451,19360723,    0,    0
 12236, 87451,19360724,    0,    0
 12236, 87451,19360725,  121,    0
 12236, 87451,19360726,    0,    0
 12236, 87451,19360727,  108,    0
 12236, 87451,19360728,   41,    0
 12236, 87451,19360729,    1,    0
 12236, 87451,19360730,    3,    0
 12236, 87451,19360731,    0,    0
 12236, 87451,19360801,    0,    0
 12236, 87451,19360802,   20,    0
 12236, 87451,19360803,   38,    0
 12236, 87451,19360804,    4,    0
 12236, 87451,19360805,   56,    0
 12236, 87451,19360806,    0,    0
 12236, 87451,19360807,    7,    0
 12236, 87451,19360808,    5,    0
 12236, 87451,19360809,    0,    0
 12236, 87451,19360810,    0,    0
 12236, 87451,19360811,    0,    0
 12236, 87451,19360812,    0,    0
 12236, 87451,19360813,   62,    0
 12236, 87451,19360814,   20,    0
 12236, 87451,19360815,    0,    0
 12236, 87451,19360816,    0,    0
 12236, 87451,19360817,    0,    0
 12236, 87451,19360818,    0,    0
 12236, 87451,19360819,   86,    0
 12236, 87451,19360820,   10,    0
