EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BRUNSLEBERFELD, GERMANY (STAID: 12308)
Blended and updated with sources:82465 83219 84967 88079 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 12308, 88079,19310101,    0,    0
 12308, 88079,19310102,   19,    0
 12308, 88079,19310103,  224,    0
 12308, 88079,19310104,  107,    0
 12308, 88079,19310105,   70,    0
 12308, 88079,19310106,   29,    0
 12308, 88079,19310107,   18,    0
 12308, 88079,19310108,   12,    0
 12308, 88079,19310109,    0,    0
 12308, 88079,19310110,    0,    0
 12308, 88079,19310111,    1,    0
 12308, 88079,19310112,    0,    0
 12308, 88079,19310113,   23,    0
 12308, 88079,19310114,   37,    0
 12308, 88079,19310115,   21,    0
 12308, 88079,19310116,  143,    0
 12308, 88079,19310117,  120,    0
 12308, 88079,19310118,   67,    0
 12308, 88079,19310119,   17,    0
 12308, 88079,19310120,  116,    0
 12308, 88079,19310121,    4,    0
 12308, 88079,19310122,    0,    0
 12308, 88079,19310123,    0,    0
 12308, 88079,19310124,    0,    0
 12308, 88079,19310125,   38,    0
 12308, 88079,19310126,   41,    0
 12308, 88079,19310127,    2,    0
 12308, 88079,19310128,   26,    0
 12308, 88079,19310129,   45,    0
 12308, 88079,19310130,    9,    0
 12308, 88079,19310131,    0,    0
 12308, 88079,19310201,    0,    0
 12308, 88079,19310202,    0,    0
 12308, 88079,19310203,   23,    0
 12308, 88079,19310204,    0,    0
 12308, 88079,19310205,   18,    0
 12308, 88079,19310206,    3,    0
 12308, 88079,19310207,    0,    0
 12308, 88079,19310208,    0,    0
 12308, 88079,19310209,    0,    0
 12308, 88079,19310210,   56,    0
 12308, 88079,19310211,   11,    0
 12308, 88079,19310212,   19,    0
 12308, 88079,19310213,    7,    0
 12308, 88079,19310214,    0,    0
 12308, 88079,19310215,    0,    0
 12308, 88079,19310216,    0,    0
 12308, 88079,19310217,    0,    0
 12308, 88079,19310218,    0,    0
 12308, 88079,19310219,    0,    0
 12308, 88079,19310220,    0,    0
 12308, 88079,19310221,   11,    0
 12308, 88079,19310222,    0,    0
 12308, 88079,19310223,    0,    0
 12308, 88079,19310224,    0,    0
 12308, 88079,19310225,    0,    0
 12308, 88079,19310226,   38,    0
