EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BUTTSTAEDT, GERMANY (STAID: 12369)
Blended and updated with sources:82587 85861 87639 89383 89721 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 12369, 82587,19470101,    0,    0
 12369, 82587,19470102,    8,    0
 12369, 82587,19470103,    0,    0
 12369, 82587,19470104,    0,    0
 12369, 82587,19470105,    0,    0
 12369, 82587,19470106,    0,    0
 12369, 82587,19470107,    0,    0
 12369, 82587,19470108,    0,    0
 12369, 82587,19470109,    5,    0
 12369, 82587,19470110,   55,    0
 12369, 82587,19470111,    0,    0
 12369, 82587,19470112,    0,    0
 12369, 82587,19470113,  177,    0
 12369, 82587,19470114,    0,    0
 12369, 82587,19470115,    0,    0
 12369, 82587,19470116,    0,    0
 12369, 82587,19470117,    0,    0
 12369, 82587,19470118,    0,    0
 12369, 82587,19470119,    0,    0
 12369, 82587,19470120,    0,    0
 12369, 82587,19470121,    0,    0
 12369, 82587,19470122,    4,    0
 12369, 82587,19470123,   64,    0
 12369, 82587,19470124,    0,    0
 12369, 82587,19470125,   52,    0
 12369, 82587,19470126,   64,    0
 12369, 82587,19470127,    0,    0
 12369, 82587,19470128,    0,    0
 12369, 82587,19470129,    0,    0
 12369, 82587,19470130,    0,    0
 12369, 82587,19470131,    0,    0
 12369, 82587,19470201,    0,    0
 12369, 82587,19470202,    0,    0
 12369, 82587,19470203,    0,    0
 12369, 82587,19470204,    7,    0
 12369, 82587,19470205,  100,    0
 12369, 82587,19470206,    0,    0
 12369, 82587,19470207,    0,    0
 12369, 82587,19470208,    0,    0
 12369, 82587,19470209,    8,    0
 12369, 82587,19470210,   99,    0
 12369, 82587,19470211,    0,    0
 12369, 82587,19470212,    0,    0
 12369, 82587,19470213,    0,    0
 12369, 82587,19470214,   89,    0
 12369, 82587,19470215,    0,    0
 12369, 82587,19470216,   97,    0
 12369, 82587,19470217,    0,    0
 12369, 82587,19470218,    0,    0
 12369, 82587,19470219,  119,    0
 12369, 82587,19470220,    0,    0
 12369, 82587,19470221,  144,    0
 12369, 82587,19470222,    0,    0
