EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station COESFELD, GERMANY (STAID: 12397)
Blended and updated with sources:82643 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 12397, 82643,19410101,    0,    0
 12397, 82643,19410102,    0,    0
 12397, 82643,19410103,    0,    0
 12397, 82643,19410104,    0,    0
 12397, 82643,19410105,    0,    0
 12397, 82643,19410106,    0,    0
 12397, 82643,19410107,    0,    0
 12397, 82643,19410108,    0,    0
 12397, 82643,19410109,    0,    0
 12397, 82643,19410110,    0,    0
 12397, 82643,19410111,    0,    0
 12397, 82643,19410112,   34,    0
 12397, 82643,19410113,   48,    0
 12397, 82643,19410114,   43,    0
 12397, 82643,19410115,    1,    0
 12397, 82643,19410116,    0,    0
 12397, 82643,19410117,    0,    0
 12397, 82643,19410118,   52,    0
 12397, 82643,19410119,   44,    0
 12397, 82643,19410120,  151,    0
 12397, 82643,19410121,   25,    0
 12397, 82643,19410122,    6,    0
 12397, 82643,19410123,    5,    0
 12397, 82643,19410124,    0,    0
 12397, 82643,19410125,    0,    0
 12397, 82643,19410126,    0,    0
 12397, 82643,19410127,    0,    0
 12397, 82643,19410128,    0,    0
 12397, 82643,19410129,    0,    0
 12397, 82643,19410130,    0,    0
 12397, 82643,19410131,    0,    0
 12397, 82643,19410201,   30,    0
 12397, 82643,19410202,   33,    0
 12397, 82643,19410203,    0,    0
 12397, 82643,19410204,    0,    0
 12397, 82643,19410205,    0,    0
 12397, 82643,19410206,    0,    0
 12397, 82643,19410207,    9,    0
 12397, 82643,19410208,    5,    0
 12397, 82643,19410209,   25,    0
 12397, 82643,19410210,   12,    0
 12397, 82643,19410211,    0,    0
 12397, 82643,19410212,    0,    0
 12397, 82643,19410213,   70,    0
 12397, 82643,19410214,    0,    0
 12397, 82643,19410215,    0,    0
 12397, 82643,19410216,   40,    0
 12397, 82643,19410217,    7,    0
 12397, 82643,19410218,    9,    0
 12397, 82643,19410219,    0,    0
 12397, 82643,19410220,    0,    0
 12397, 82643,19410221,    0,    0
