EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DAHME, GERMANY (STAID: 12423)
Blended and updated with sources:82695 84709 85117 90435 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 12423, 85117,19470101,    0,    0
 12423, 85117,19470102,    0,    0
 12423, 85117,19470103,    0,    0
 12423, 85117,19470104,    0,    0
 12423, 85117,19470105,    0,    0
 12423, 85117,19470106,    0,    0
 12423, 85117,19470107,    0,    0
 12423, 85117,19470108,    0,    0
 12423, 85117,19470109,   37,    0
 12423, 85117,19470110,    4,    0
 12423, 85117,19470111,   78,    0
 12423, 85117,19470112,    0,    0
 12423, 85117,19470113,   45,    0
 12423, 85117,19470114,   50,    0
 12423, 85117,19470115,    0,    0
 12423, 85117,19470116,    0,    0
 12423, 85117,19470117,    9,    0
 12423, 85117,19470118,   14,    0
 12423, 85117,19470119,    0,    0
 12423, 85117,19470120,    0,    0
 12423, 85117,19470121,    0,    0
 12423, 85117,19470122,   14,    0
 12423, 85117,19470123,    0,    0
 12423, 85117,19470124,    0,    0
 12423, 85117,19470125,    0,    0
 12423, 85117,19470126,   28,    0
 12423, 85117,19470127,   35,    0
 12423, 85117,19470128,    0,    0
 12423, 85117,19470129,    0,    0
 12423, 85117,19470130,    0,    0
 12423, 85117,19470131,-9999,    9
 12423, 85117,19470201,-9999,    9
 12423, 85117,19470202,-9999,    9
 12423, 85117,19470203,-9999,    9
 12423, 85117,19470204,-9999,    9
 12423, 85117,19470205,-9999,    9
 12423, 85117,19470206,-9999,    9
 12423, 85117,19470207,-9999,    9
 12423, 85117,19470208,-9999,    9
 12423, 85117,19470209,-9999,    9
 12423, 85117,19470210,-9999,    9
 12423, 85117,19470211,-9999,    9
 12423, 85117,19470212,-9999,    9
 12423, 85117,19470213,-9999,    9
 12423, 85117,19470214,-9999,    9
 12423, 85117,19470215,-9999,    9
 12423, 85117,19470216,-9999,    9
 12423, 85117,19470217,-9999,    9
 12423, 85117,19470218,-9999,    9
 12423, 85117,19470219,-9999,    9
 12423, 85117,19470220,-9999,    9
 12423, 85117,19470221,-9999,    9
 12423, 85117,19470222,-9999,    9
 12423, 85117,19470223,-9999,    9
 12423, 85117,19470224,-9999,    9
 12423, 85117,19470225,-9999,    9
 12423, 85117,19470226,-9999,    9
 12423, 85117,19470227,-9999,    9
 12423, 85117,19470228,-9999,    9
 12423, 85117,19470301,-9999,    9
 12423, 85117,19470302,-9999,    9
 12423, 85117,19470303,-9999,    9
 12423, 85117,19470304,-9999,    9
 12423, 85117,19470305,-9999,    9
 12423, 85117,19470306,-9999,    9
 12423, 85117,19470307,-9999,    9
 12423, 85117,19470308,-9999,    9
 12423, 85117,19470309,-9999,    9
 12423, 85117,19470310,-9999,    9
 12423, 85117,19470311,-9999,    9
 12423, 85117,19470312,-9999,    9
 12423, 85117,19470313,-9999,    9
 12423, 85117,19470314,-9999,    9
 12423, 85117,19470315,-9999,    9
 12423, 85117,19470316,-9999,    9
 12423, 85117,19470317,-9999,    9
 12423, 85117,19470318,-9999,    9
 12423, 85117,19470319,-9999,    9
 12423, 85117,19470320,-9999,    9
 12423, 85117,19470321,-9999,    9
 12423, 85117,19470322,-9999,    9
 12423, 85117,19470323,-9999,    9
 12423, 85117,19470324,-9999,    9
 12423, 85117,19470325,-9999,    9
 12423, 85117,19470326,-9999,    9
 12423, 85117,19470327,-9999,    9
 12423, 85117,19470328,-9999,    9
 12423, 85117,19470329,-9999,    9
 12423, 85117,19470330,-9999,    9
 12423, 85117,19470331,   26,    0
 12423, 85117,19470401,   19,    0
 12423, 85117,19470402,    0,    0
 12423, 85117,19470403,   18,    0
 12423, 85117,19470404,   21,    0
 12423, 85117,19470405,   24,    0
 12423, 85117,19470406,   78,    0
 12423, 85117,19470407,   80,    0
 12423, 85117,19470408,  113,    0
 12423, 85117,19470409,    8,    0
 12423, 85117,19470410,    0,    0
 12423, 85117,19470411,    0,    0
 12423, 85117,19470412,    0,    0
 12423, 85117,19470413,    0,    0
 12423, 85117,19470414,    0,    0
 12423, 85117,19470415,    0,    0
 12423, 85117,19470416,    0,    0
 12423, 85117,19470417,   14,    0
 12423, 85117,19470418,    0,    0
 12423, 85117,19470419,    0,    0
 12423, 85117,19470420,    0,    0
 12423, 85117,19470421,   19,    0
 12423, 85117,19470422,    0,    0
 12423, 85117,19470423,   13,    0
 12423, 85117,19470424,    0,    0
 12423, 85117,19470425,    0,    0
 12423, 85117,19470426,    0,    0
 12423, 85117,19470427,    0,    0
 12423, 85117,19470428,   46,    0
 12423, 85117,19470429,   32,    0
 12423, 85117,19470430,   16,    0
 12423, 85117,19470501,    0,    0
 12423, 85117,19470502,    0,    0
 12423, 85117,19470503,    0,    0
 12423, 85117,19470504,    0,    0
 12423, 85117,19470505,    0,    0
 12423, 85117,19470506,    0,    0
 12423, 85117,19470507,    0,    0
 12423, 85117,19470508,    0,    0
 12423, 85117,19470509,    0,    0
 12423, 85117,19470510,    0,    0
 12423, 85117,19470511,    0,    0
 12423, 85117,19470512,    0,    0
