EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DEDELEBEN, GERMANY (STAID: 12436)
Blended and updated with sources:81475 81791 82721 84967 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 12436, 84967,19410101,    0,    0
 12436, 84967,19410102,    0,    0
 12436, 84967,19410103,    0,    0
 12436, 84967,19410104,    0,    0
 12436, 84967,19410105,    9,    0
 12436, 84967,19410106,    0,    0
 12436, 84967,19410107,    4,    0
 12436, 84967,19410108,    2,    0
 12436, 84967,19410109,    0,    0
 12436, 84967,19410110,    0,    0
 12436, 84967,19410111,    0,    0
 12436, 84967,19410112,    0,    0
 12436, 84967,19410113,    6,    0
 12436, 84967,19410114,   11,    0
 12436, 84967,19410115,   28,    0
 12436, 84967,19410116,   12,    0
 12436, 84967,19410117,    1,    0
 12436, 84967,19410118,    4,    0
 12436, 84967,19410119,   65,    0
 12436, 84967,19410120,  100,    0
 12436, 84967,19410121,   16,    0
 12436, 84967,19410122,   76,    0
 12436, 84967,19410123,    0,    0
 12436, 84967,19410124,   19,    0
 12436, 84967,19410125,    0,    0
 12436, 84967,19410126,    0,    0
 12436, 84967,19410127,    0,    0
 12436, 84967,19410128,    0,    0
 12436, 84967,19410129,    0,    0
 12436, 84967,19410130,    0,    0
 12436, 84967,19410131,    0,    0
 12436, 84967,19410201,   11,    0
 12436, 84967,19410202,    7,    0
 12436, 84967,19410203,    7,    0
 12436, 84967,19410204,    0,    0
 12436, 84967,19410205,    1,    0
 12436, 84967,19410206,    0,    0
 12436, 84967,19410207,    0,    0
 12436, 84967,19410208,   66,    0
 12436, 84967,19410209,    4,    0
 12436, 84967,19410210,    3,    0
 12436, 84967,19410211,    0,    0
 12436, 84967,19410212,    0,    0
 12436, 84967,19410213,   45,    0
 12436, 84967,19410214,   17,    0
 12436, 84967,19410215,    0,    0
 12436, 84967,19410216,   40,    0
 12436, 84967,19410217,    0,    0
 12436, 84967,19410218,    0,    0
 12436, 84967,19410219,    3,    0
 12436, 84967,19410220,    0,    0
 12436, 84967,19410221,    0,    0
 12436, 84967,19410222,    0,    0
 12436, 84967,19410223,   13,    0
 12436, 84967,19410224,    3,    0
 12436, 84967,19410225,    0,    0
