EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DITZENBACH BAD, GERMANY (STAID: 12485)
Blended and updated with sources:82261 82819 84085 86417 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 12485, 82819,19510101,    1,    0
 12485, 82819,19510102,    0,    0
 12485, 82819,19510103,    0,    0
 12485, 82819,19510104,    0,    0
 12485, 82819,19510105,    0,    0
 12485, 82819,19510106,    0,    0
 12485, 82819,19510107,    0,    0
 12485, 82819,19510108,    0,    0
 12485, 82819,19510109,    0,    0
 12485, 82819,19510110,    0,    0
 12485, 82819,19510111,    0,    0
 12485, 82819,19510112,   22,    0
 12485, 82819,19510113,    0,    0
 12485, 82819,19510114,    0,    0
 12485, 82819,19510115,   85,    0
 12485, 82819,19510116,   75,    0
 12485, 82819,19510117,   92,    0
 12485, 82819,19510118,   75,    0
 12485, 82819,19510119,   85,    0
 12485, 82819,19510120,  632,    0
 12485, 82819,19510121,   85,    0
 12485, 82819,19510122,   16,    0
 12485, 82819,19510123,    0,    0
 12485, 82819,19510124,    0,    0
 12485, 82819,19510125,   14,    0
 12485, 82819,19510126,    0,    0
 12485, 82819,19510127,    0,    0
 12485, 82819,19510128,    6,    0
 12485, 82819,19510129,   18,    0
 12485, 82819,19510130,    0,    0
 12485, 82819,19510131,    8,    0
 12485, 82819,19510201,    0,    0
 12485, 82819,19510202,    0,    0
 12485, 82819,19510203,    0,    0
 12485, 82819,19510204,    0,    0
 12485, 82819,19510205,   21,    0
 12485, 82819,19510206,    0,    0
 12485, 82819,19510207,    0,    0
 12485, 82819,19510208,    0,    0
 12485, 82819,19510209,    0,    0
 12485, 82819,19510210,    0,    0
 12485, 82819,19510211,   14,    0
 12485, 82819,19510212,    0,    0
 12485, 82819,19510213,   33,    0
 12485, 82819,19510214,    0,    0
 12485, 82819,19510215,   26,    0
 12485, 82819,19510216,    0,    0
 12485, 82819,19510217,  108,    0
 12485, 82819,19510218,    0,    0
 12485, 82819,19510219,   22,    0
 12485, 82819,19510220,   54,    0
 12485, 82819,19510221,   78,    0
 12485, 82819,19510222,   15,    0
 12485, 82819,19510223,    0,    0
 12485, 82819,19510224,    0,    0
 12485, 82819,19510225,    0,    0
 12485, 82819,19510226,   22,    0
 12485, 82819,19510227,    0,    0
 12485, 82819,19510228,   10,    0
 12485, 82819,19510301,    0,    0
 12485, 82819,19510302,    0,    0
 12485, 82819,19510303,    0,    0
 12485, 82819,19510304,    5,    0
 12485, 82819,19510305,    0,    0
 12485, 82819,19510306,    0,    0
 12485, 82819,19510307,    0,    0
 12485, 82819,19510308,    2,    0
 12485, 82819,19510309,   27,    0
 12485, 82819,19510310,    0,    0
 12485, 82819,19510311,   14,    0
 12485, 82819,19510312,    0,    0
 12485, 82819,19510313,   18,    0
 12485, 82819,19510314,   16,    0
 12485, 82819,19510315,    0,    0
 12485, 82819,19510316,   23,    0
 12485, 82819,19510317,   55,    0
 12485, 82819,19510318,  100,    0
 12485, 82819,19510319,    0,    0
 12485, 82819,19510320,   28,    0
 12485, 82819,19510321,    0,    0
 12485, 82819,19510322,   25,    0
 12485, 82819,19510323,   60,    0
 12485, 82819,19510324,  155,    0
 12485, 82819,19510325,   27,    0
 12485, 82819,19510326,    5,    0
 12485, 82819,19510327,   65,    0
 12485, 82819,19510328,    0,    0
