EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LANGBALLIG, GERMANY (STAID: 12498)
Blended and updated with sources:22854 82845 83755 87853 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 12498, 83755,19310101,   18,    0
 12498, 83755,19310102,    0,    0
 12498, 83755,19310103,   30,    0
 12498, 83755,19310104,  108,    0
 12498, 83755,19310105,    0,    0
 12498, 83755,19310106,    0,    0
 12498, 83755,19310107,    0,    0
 12498, 83755,19310108,    0,    0
 12498, 83755,19310109,    2,    0
 12498, 83755,19310110,   18,    0
 12498, 83755,19310111,  100,    0
 12498, 83755,19310112,   40,    0
 12498, 83755,19310113,    0,    0
 12498, 83755,19310114,    5,    0
 12498, 83755,19310115,   81,    0
 12498, 83755,19310116,  115,    0
 12498, 83755,19310117,    8,    0
 12498, 83755,19310118,   15,    0
 12498, 83755,19310119,    2,    0
 12498, 83755,19310120,    5,    0
 12498, 83755,19310121,    0,    0
 12498, 83755,19310122,    3,    0
 12498, 83755,19310123,   95,    0
 12498, 83755,19310124,   34,    0
 12498, 83755,19310125,   30,    0
 12498, 83755,19310126,    0,    0
 12498, 83755,19310127,   11,    0
 12498, 83755,19310128,   18,    0
 12498, 83755,19310129,    0,    0
 12498, 83755,19310130,    2,    0
 12498, 83755,19310131,    0,    0
 12498, 83755,19310201,    0,    0
 12498, 83755,19310202,   40,    0
 12498, 83755,19310203,    0,    0
 12498, 83755,19310204,   13,    0
 12498, 83755,19310205,   10,    0
 12498, 83755,19310206,    0,    0
 12498, 83755,19310207,    0,    0
 12498, 83755,19310208,    0,    0
 12498, 83755,19310209,   30,    0
 12498, 83755,19310210,   70,    0
 12498, 83755,19310211,   50,    0
 12498, 83755,19310212,   55,    0
 12498, 83755,19310213,    4,    0
 12498, 83755,19310214,    0,    0
 12498, 83755,19310215,    8,    0
 12498, 83755,19310216,    2,    0
 12498, 83755,19310217,   30,    0
 12498, 83755,19310218,    6,    0
 12498, 83755,19310219,    0,    0
 12498, 83755,19310220,    2,    0
 12498, 83755,19310221,   38,    0
 12498, 83755,19310222,    0,    0
 12498, 83755,19310223,    0,    0
 12498, 83755,19310224,   12,    0
 12498, 83755,19310225,   60,    0
 12498, 83755,19310226,   42,    0
 12498, 83755,19310227,   11,    0
 12498, 83755,19310228,    5,    0
 12498, 83755,19310301,   35,    0
 12498, 83755,19310302,   57,    0
 12498, 83755,19310303,    0,    0
 12498, 83755,19310304,    0,    0
 12498, 83755,19310305,   10,    0
 12498, 83755,19310306,    0,    0
 12498, 83755,19310307,    0,    0
 12498, 83755,19310308,    4,    0
 12498, 83755,19310309,   10,    0
 12498, 83755,19310310,    0,    0
 12498, 83755,19310311,    7,    0
 12498, 83755,19310312,    0,    0
 12498, 83755,19310313,    0,    0
 12498, 83755,19310314,    0,    0
 12498, 83755,19310315,    0,    0
 12498, 83755,19310316,    0,    0
 12498, 83755,19310317,    0,    0
 12498, 83755,19310318,    0,    0
 12498, 83755,19310319,    0,    0
