EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DORNUM, GERMANY (STAID: 12511)
Blended and updated with sources:82871 84039 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 12511, 84039,19310101,    0,    0
 12511, 84039,19310102,    8,    0
 12511, 84039,19310103,   82,    0
 12511, 84039,19310104,  179,    0
 12511, 84039,19310105,   20,    0
 12511, 84039,19310106,   14,    0
 12511, 84039,19310107,    0,    0
 12511, 84039,19310108,    0,    0
 12511, 84039,19310109,    2,    0
 12511, 84039,19310110,    0,    0
 12511, 84039,19310111,   18,    0
 12511, 84039,19310112,   23,    0
 12511, 84039,19310113,    8,    0
 12511, 84039,19310114,    0,    0
 12511, 84039,19310115,   15,    0
 12511, 84039,19310116,   66,    0
 12511, 84039,19310117,   32,    0
 12511, 84039,19310118,    4,    0
 12511, 84039,19310119,   19,    0
 12511, 84039,19310120,   20,    0
 12511, 84039,19310121,    0,    0
 12511, 84039,19310122,   21,    0
 12511, 84039,19310123,   72,    0
 12511, 84039,19310124,   23,    0
 12511, 84039,19310125,   21,    0
 12511, 84039,19310126,   38,    0
 12511, 84039,19310127,    2,    0
 12511, 84039,19310128,   73,    0
 12511, 84039,19310129,    0,    0
 12511, 84039,19310130,    0,    0
 12511, 84039,19310131,    0,    0
 12511, 84039,19310201,    0,    0
 12511, 84039,19310202,    3,    0
 12511, 84039,19310203,    0,    0
 12511, 84039,19310204,   10,    0
 12511, 84039,19310205,    6,    0
 12511, 84039,19310206,    0,    0
 12511, 84039,19310207,    0,    0
 12511, 84039,19310208,   25,    0
 12511, 84039,19310209,   25,    0
 12511, 84039,19310210,   46,    0
 12511, 84039,19310211,   84,    0
 12511, 84039,19310212,   75,    0
 12511, 84039,19310213,   11,    0
 12511, 84039,19310214,    0,    0
 12511, 84039,19310215,   14,    0
 12511, 84039,19310216,   74,    0
 12511, 84039,19310217,   46,    0
 12511, 84039,19310218,    2,    0
 12511, 84039,19310219,    0,    0
 12511, 84039,19310220,    0,    0
 12511, 84039,19310221,   98,    0
 12511, 84039,19310222,    0,    0
 12511, 84039,19310223,   24,    0
 12511, 84039,19310224,   21,    0
 12511, 84039,19310225,   47,    0
 12511, 84039,19310226,   63,    0
 12511, 84039,19310227,  131,    0
 12511, 84039,19310228,    0,    0
 12511, 84039,19310301,    2,    0
 12511, 84039,19310302,   24,    0
 12511, 84039,19310303,   32,    0
 12511, 84039,19310304,    0,    0
 12511, 84039,19310305,    1,    0
 12511, 84039,19310306,    0,    0
 12511, 84039,19310307,    0,    0
