EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DREBKAU, GERMANY (STAID: 12519)
Blended and updated with sources:81795 82887 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 12519, 82887,19510101,    0,    0
 12519, 82887,19510102,    0,    0
 12519, 82887,19510103,    0,    0
 12519, 82887,19510104,    0,    0
 12519, 82887,19510105,   30,    0
 12519, 82887,19510106,   15,    0
 12519, 82887,19510107,    5,    0
 12519, 82887,19510108,    0,    0
 12519, 82887,19510109,    5,    0
 12519, 82887,19510110,    0,    0
 12519, 82887,19510111,    0,    0
 12519, 82887,19510112,    5,    0
 12519, 82887,19510113,   10,    0
 12519, 82887,19510114,    0,    0
 12519, 82887,19510115,   50,    0
 12519, 82887,19510116,    0,    0
 12519, 82887,19510117,   90,    0
 12519, 82887,19510118,  150,    0
 12519, 82887,19510119,  100,    0
 12519, 82887,19510120,   10,    0
 12519, 82887,19510121,    0,    0
 12519, 82887,19510122,    5,    0
 12519, 82887,19510123,    5,    0
 12519, 82887,19510124,    0,    0
 12519, 82887,19510125,    0,    0
 12519, 82887,19510126,    0,    0
 12519, 82887,19510127,    0,    0
 12519, 82887,19510128,    0,    0
 12519, 82887,19510129,    0,    0
 12519, 82887,19510130,    0,    0
 12519, 82887,19510131,    7,    0
 12519, 82887,19510201,    0,    0
 12519, 82887,19510202,    0,    0
 12519, 82887,19510203,    0,    0
 12519, 82887,19510204,    0,    0
 12519, 82887,19510205,    0,    0
 12519, 82887,19510206,   16,    0
 12519, 82887,19510207,    6,    0
 12519, 82887,19510208,    0,    0
 12519, 82887,19510209,    0,    0
 12519, 82887,19510210,    0,    0
 12519, 82887,19510211,    0,    0
 12519, 82887,19510212,    0,    0
 12519, 82887,19510213,    0,    0
 12519, 82887,19510214,   34,    0
 12519, 82887,19510215,    0,    0
 12519, 82887,19510216,    0,    0
 12519, 82887,19510217,   28,    0
 12519, 82887,19510218,    6,    0
