EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DROCHTERSEN, GERMANY (STAID: 12527)
Blended and updated with sources:22866 82903 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 12527, 22866,19310101,   20,    0
 12527, 22866,19310102,   22,    0
 12527, 22866,19310103,   92,    0
 12527, 22866,19310104,   20,    0
 12527, 22866,19310105,    0,    0
 12527, 22866,19310106,    0,    0
 12527, 22866,19310107,    0,    0
 12527, 22866,19310108,    0,    0
 12527, 22866,19310109,    0,    0
 12527, 22866,19310110,    0,    0
 12527, 22866,19310111,   30,    0
 12527, 22866,19310112,   22,    0
 12527, 22866,19310113,    0,    0
 12527, 22866,19310114,    0,    0
 12527, 22866,19310115,   45,    0
 12527, 22866,19310116,  166,    0
 12527, 22866,19310117,   12,    0
 12527, 22866,19310118,    4,    0
 12527, 22866,19310119,    0,    0
 12527, 22866,19310120,   23,    0
 12527, 22866,19310121,    0,    0
 12527, 22866,19310122,    4,    0
 12527, 22866,19310123,   32,    0
 12527, 22866,19310124,   24,    0
 12527, 22866,19310125,   56,    0
 12527, 22866,19310126,   21,    0
 12527, 22866,19310127,    8,    0
 12527, 22866,19310128,   64,    0
 12527, 22866,19310129,    0,    0
 12527, 22866,19310130,    0,    0
 12527, 22866,19310131,    0,    0
 12527, 22866,19310201,    0,    0
 12527, 22866,19310202,   23,    0
 12527, 22866,19310203,    0,    0
 12527, 22866,19310204,    4,    0
 12527, 22866,19310205,    0,    0
 12527, 22866,19310206,    0,    0
 12527, 22866,19310207,    0,    0
 12527, 22866,19310208,    0,    0
 12527, 22866,19310209,   21,    0
 12527, 22866,19310210,   42,    0
 12527, 22866,19310211,   65,    0
 12527, 22866,19310212,   78,    0
 12527, 22866,19310213,    0,    0
 12527, 22866,19310214,    0,    0
 12527, 22866,19310215,    0,    0
 12527, 22866,19310216,   27,    0
 12527, 22866,19310217,    0,    0
 12527, 22866,19310218,   25,    0
 12527, 22866,19310219,    0,    0
 12527, 22866,19310220,    0,    0
 12527, 22866,19310221,    0,    0
 12527, 22866,19310222,   29,    0
 12527, 22866,19310223,    0,    0
 12527, 22866,19310224,    0,    0
 12527, 22866,19310225,    0,    0
 12527, 22866,19310226,   28,    0
 12527, 22866,19310227,  137,    0
 12527, 22866,19310228,   82,    0
 12527, 22866,19310301,    0,    0
 12527, 22866,19310302,    0,    0
 12527, 22866,19310303,   34,    0
 12527, 22866,19310304,    0,    0
 12527, 22866,19310305,    6,    0
 12527, 22866,19310306,    3,    0
 12527, 22866,19310307,    0,    0
 12527, 22866,19310308,    0,    0
 12527, 22866,19310309,    0,    0
 12527, 22866,19310310,    0,    0
 12527, 22866,19310311,    6,    0
 12527, 22866,19310312,    3,    0
 12527, 22866,19310313,    0,    0
 12527, 22866,19310314,    0,    0
 12527, 22866,19310315,    0,    0
 12527, 22866,19310316,    0,    0
 12527, 22866,19310317,    0,    0
 12527, 22866,19310318,    0,    0
 12527, 22866,19310319,    0,    0
 12527, 22866,19310320,    0,    0
 12527, 22866,19310321,   30,    0
 12527, 22866,19310322,   30,    0
 12527, 22866,19310323,   70,    0
 12527, 22866,19310324,    0,    0
 12527, 22866,19310325,    0,    0
 12527, 22866,19310326,    0,    0
 12527, 22866,19310327,    0,    0
 12527, 22866,19310328,    9,    0
 12527, 22866,19310329,    6,    0
 12527, 22866,19310330,    0,    0
 12527, 22866,19310331,    0,    0
 12527, 22866,19310401,    0,    0
 12527, 22866,19310402,    0,    0
 12527, 22866,19310403,    0,    0
 12527, 22866,19310404,    8,    0
 12527, 22866,19310405,   16,    0
 12527, 22866,19310406,    0,    0
 12527, 22866,19310407,    0,    0
 12527, 22866,19310408,    0,    0
 12527, 22866,19310409,   40,    0
 12527, 22866,19310410,    0,    0
 12527, 22866,19310411,   36,    0
 12527, 22866,19310412,   34,    0
 12527, 22866,19310413,    8,    0
 12527, 22866,19310414,   18,    0
 12527, 22866,19310415,    0,    0
 12527, 22866,19310416,    0,    0
 12527, 22866,19310417,   86,    0
 12527, 22866,19310418,   72,    0
 12527, 22866,19310419,   22,    0
 12527, 22866,19310420,    0,    0
 12527, 22866,19310421,    0,    0
 12527, 22866,19310422,    0,    0
 12527, 22866,19310423,    0,    0
 12527, 22866,19310424,    0,    0
 12527, 22866,19310425,   28,    0
 12527, 22866,19310426,    0,    0
 12527, 22866,19310427,   64,    0
 12527, 22866,19310428,  225,    0
 12527, 22866,19310429,   32,    0
 12527, 22866,19310430,    0,    0
 12527, 22866,19310501,    0,    0
 12527, 22866,19310502,    0,    0
 12527, 22866,19310503,   15,    0
 12527, 22866,19310504,   88,    0
 12527, 22866,19310505,    0,    0
 12527, 22866,19310506,   16,    0
 12527, 22866,19310507,    4,    0
 12527, 22866,19310508,   64,    0
 12527, 22866,19310509,    0,    0
 12527, 22866,19310510,    0,    0
 12527, 22866,19310511,    0,    0
