EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DUEREN-MERKEN, GERMANY (STAID: 12538)
Blended and updated with sources:82923 82925 83243 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 12538, 82923,19410101,    8,    0
 12538, 82923,19410102,    0,    0
 12538, 82923,19410103,    1,    0
 12538, 82923,19410104,    0,    0
 12538, 82923,19410105,    0,    0
 12538, 82923,19410106,    0,    0
 12538, 82923,19410107,    0,    0
 12538, 82923,19410108,    0,    0
 12538, 82923,19410109,    0,    0
 12538, 82923,19410110,    0,    0
 12538, 82923,19410111,    0,    0
 12538, 82923,19410112,    3,    0
 12538, 82923,19410113,    5,    0
 12538, 82923,19410114,    0,    0
 12538, 82923,19410115,   33,    0
 12538, 82923,19410116,    1,    0
 12538, 82923,19410117,    0,    0
 12538, 82923,19410118,    9,    0
 12538, 82923,19410119,   17,    0
 12538, 82923,19410120,   59,    0
 12538, 82923,19410121,    0,    0
 12538, 82923,19410122,    0,    0
 12538, 82923,19410123,   20,    0
 12538, 82923,19410124,   25,    0
 12538, 82923,19410125,   25,    0
 12538, 82923,19410126,    8,    0
 12538, 82923,19410127,    3,    0
 12538, 82923,19410128,    0,    0
 12538, 82923,19410129,    0,    0
 12538, 82923,19410130,    0,    0
 12538, 82923,19410131,    2,    0
 12538, 82923,19410201,    7,    0
 12538, 82923,19410202,   20,    0
 12538, 82923,19410203,    3,    0
 12538, 82923,19410204,    2,    0
 12538, 82923,19410205,    0,    0
 12538, 82923,19410206,    3,    0
 12538, 82923,19410207,    0,    0
 12538, 82923,19410208,    0,    0
 12538, 82923,19410209,    0,    0
 12538, 82923,19410210,    0,    0
 12538, 82923,19410211,    0,    0
 12538, 82923,19410212,   11,    0
 12538, 82923,19410213,    6,    0
 12538, 82923,19410214,    0,    0
 12538, 82923,19410215,    0,    0
 12538, 82923,19410216,    8,    0
 12538, 82923,19410217,    0,    0
 12538, 82923,19410218,    4,    0
 12538, 82923,19410219,    5,    0
 12538, 82923,19410220,   10,    0
 12538, 82923,19410221,    4,    0
 12538, 82923,19410222,    2,    0
 12538, 82923,19410223,    0,    0
 12538, 82923,19410224,    0,    0
 12538, 82923,19410225,    4,    0
 12538, 82923,19410226,    0,    0
 12538, 82923,19410227,   76,    0
 12538, 82923,19410228,   51,    0
 12538, 82923,19410301,    8,    0
 12538, 82923,19410302,    0,    0
 12538, 82923,19410303,   11,    0
 12538, 82923,19410304,    5,    0
 12538, 82923,19410305,    2,    0
 12538, 82923,19410306,    0,    0
 12538, 82923,19410307,    1,    0
 12538, 82923,19410308,   20,    0
 12538, 82923,19410309,   78,    0
 12538, 82923,19410310,    0,    0
 12538, 82923,19410311,    0,    0
 12538, 82923,19410312,    0,    0
 12538, 82923,19410313,    0,    0
 12538, 82923,19410314,    0,    0
 12538, 82923,19410315,    0,    0
 12538, 82923,19410316,    0,    0
 12538, 82923,19410317,    0,    0
 12538, 82923,19410318,    0,    0
 12538, 82923,19410319,    0,    0
 12538, 82923,19410320,    0,    0
 12538, 82923,19410321,   15,    0
 12538, 82923,19410322,   90,    0
 12538, 82923,19410323,   91,    0
 12538, 82923,19410324,    2,    0
 12538, 82923,19410325,  117,    0
 12538, 82923,19410326,   83,    0
 12538, 82923,19410327,   24,    0
 12538, 82923,19410328,   28,    0
 12538, 82923,19410329,   17,    0
 12538, 82923,19410330,    0,    0
 12538, 82923,19410331,    0,    0
 12538, 82923,19410401,    0,    0
 12538, 82923,19410402,   12,    0
 12538, 82923,19410403,    0,    0
 12538, 82923,19410404,    0,    0
 12538, 82923,19410405,   53,    0
 12538, 82923,19410406,    1,    0
 12538, 82923,19410407,    0,    0
 12538, 82923,19410408,    0,    0
 12538, 82923,19410409,    0,    0
 12538, 82923,19410410,    0,    0
 12538, 82923,19410411,   15,    0
 12538, 82923,19410412,    1,    0
 12538, 82923,19410413,    0,    0
 12538, 82923,19410414,    8,    0
 12538, 82923,19410415,    0,    0
 12538, 82923,19410416,    0,    0
 12538, 82923,19410417,    0,    0
 12538, 82923,19410418,    4,    0
 12538, 82923,19410419,    0,    0
 12538, 82923,19410420,   48,    0
 12538, 82923,19410421,   90,    0
 12538, 82923,19410422,    0,    0
 12538, 82923,19410423,    4,    0
 12538, 82923,19410424,    0,    0
 12538, 82923,19410425,    0,    0
 12538, 82923,19410426,    0,    0
 12538, 82923,19410427,    1,    0
 12538, 82923,19410428,    8,    0
 12538, 82923,19410429,    4,    0
 12538, 82923,19410430,   69,    0
 12538, 82923,19410501,   65,    0
 12538, 82923,19410502,    2,    0
 12538, 82923,19410503,    0,    0
 12538, 82923,19410504,    0,    0
 12538, 82923,19410505,    0,    0
 12538, 82923,19410506,    0,    0
 12538, 82923,19410507,    0,    0
 12538, 82923,19410508,    0,    0
 12538, 82923,19410509,    0,    0
 12538, 82923,19410510,    0,    0
 12538, 82923,19410511,    0,    0
 12538, 82923,19410512,    0,    0
 12538, 82923,19410513,    0,    0
 12538, 82923,19410514,   10,    0
 12538, 82923,19410515,   70,    0
 12538, 82923,19410516,    0,    0
 12538, 82923,19410517,    0,    0
 12538, 82923,19410518,   59,    0
 12538, 82923,19410519,    0,    0
 12538, 82923,19410520,    0,    0
 12538, 82923,19410521,    0,    0
 12538, 82923,19410522,    3,    0
 12538, 82923,19410523,   15,    0
 12538, 82923,19410524,    0,    0
 12538, 82923,19410525,    0,    0
 12538, 82923,19410526,    0,    0
 12538, 82923,19410527,    0,    0
 12538, 82923,19410528,    0,    0
 12538, 82923,19410529,    7,    0
 12538, 82923,19410530,   12,    0
 12538, 82923,19410531,    0,    0
 12538, 82923,19410601,    0,    0
 12538, 82923,19410602,    7,    0
 12538, 82923,19410603,    4,    0
 12538, 82923,19410604,    0,    0
 12538, 82923,19410605,  226,    0
 12538, 82923,19410606,   75,    0
 12538, 82923,19410607,    7,    0
 12538, 82923,19410608,   64,    0
 12538, 82923,19410609,   13,    0
 12538, 82923,19410610,  123,    0
 12538, 82923,19410611,   12,    0
 12538, 82923,19410612,    0,    0
 12538, 82923,19410613,   41,    0
 12538, 82923,19410614,    0,    0
 12538, 82923,19410615,    4,    0
 12538, 82923,19410616,    0,    0
 12538, 82923,19410617,    0,    0
 12538, 82923,19410618,    0,    0
 12538, 82923,19410619,    0,    0
 12538, 82923,19410620,    0,    0
 12538, 82923,19410621,    0,    0
 12538, 82923,19410622,    0,    0
 12538, 82923,19410623,    0,    0
 12538, 82923,19410624,    0,    0
 12538, 82923,19410625,    7,    0
 12538, 82923,19410626,   89,    0
 12538, 82923,19410627,   33,    0
 12538, 82923,19410628,    2,    0
 12538, 82923,19410629,    3,    0
 12538, 82923,19410630,    0,    0
 12538, 82923,19410701,    0,    0
 12538, 82923,19410702,    0,    0
 12538, 82923,19410703,    0,    0
 12538, 82923,19410704,    6,    0
 12538, 82923,19410705,    0,    0
 12538, 82923,19410706,    0,    0
 12538, 82923,19410707,    0,    0
 12538, 82923,19410708,    0,    0
 12538, 82923,19410709,    0,    0
 12538, 82923,19410710,    0,    0
 12538, 82923,19410711,    0,    0
 12538, 82923,19410712,  194,    0
 12538, 82923,19410713,   87,    0
 12538, 82923,19410714,    0,    0
 12538, 82923,19410715,    7,    0
 12538, 82923,19410716,   15,    0
 12538, 82923,19410717,    0,    0
 12538, 82923,19410718,    0,    0
 12538, 82923,19410719,    2,    0
 12538, 82923,19410720,   14,    0
 12538, 82923,19410721,    0,    0
 12538, 82923,19410722,    0,    0
 12538, 82923,19410723,    0,    0
 12538, 82923,19410724,    0,    0
 12538, 82923,19410725,    0,    0
 12538, 82923,19410726,   12,    0
 12538, 82923,19410727,    0,    0
 12538, 82923,19410728,    0,    0
 12538, 82923,19410729,   78,    0
 12538, 82923,19410730,    6,    0
 12538, 82923,19410731,    0,    0
 12538, 82923,19410801,    4,    0
 12538, 82923,19410802,    0,    0
 12538, 82923,19410803,    0,    0
 12538, 82923,19410804,  110,    0
 12538, 82923,19410805,   89,    0
 12538, 82923,19410806,   24,    0
 12538, 82923,19410807,   19,    0
 12538, 82923,19410808,  109,    0
 12538, 82923,19410809,   44,    0
 12538, 82923,19410810,   17,    0
 12538, 82923,19410811,   37,    0
 12538, 82923,19410812,   34,    0
 12538, 82923,19410813,    5,    0
 12538, 82923,19410814,  112,    0
 12538, 82923,19410815,   12,    0
 12538, 82923,19410816,    5,    0
 12538, 82923,19410817,    6,    0
 12538, 82923,19410818,    0,    0
 12538, 82923,19410819,    7,    0
 12538, 82923,19410820,  124,    0
 12538, 82923,19410821,    1,    0
 12538, 82923,19410822,   40,    0
 12538, 82923,19410823,  170,    0
 12538, 82923,19410824,    3,    0
 12538, 82923,19410825,  111,    0
 12538, 82923,19410826,    2,    0
 12538, 82923,19410827,    0,    0
 12538, 82923,19410828,   11,    0
 12538, 82923,19410829,   66,    0
 12538, 82923,19410830,   96,    0
 12538, 82923,19410831,    0,    0
 12538, 82923,19410901,    0,    0
 12538, 82923,19410902,    0,    0
 12538, 82923,19410903,    0,    0
 12538, 82923,19410904,    0,    0
 12538, 82923,19410905,    0,    0
 12538, 82923,19410906,    0,    0
 12538, 82923,19410907,    0,    0
 12538, 82923,19410908,    0,    0
 12538, 82923,19410909,    0,    0
 12538, 82923,19410910,    5,    0
 12538, 82923,19410911,  127,    0
 12538, 82923,19410912,    5,    0
 12538, 82923,19410913,    0,    0
