EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station EGGLHAM, GERMANY (STAID: 12587)
Blended and updated with sources:82787 83023 90365 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 12587, 83023,19410101,  156,    0
 12587, 83023,19410102,   10,    0
 12587, 83023,19410103,   10,    0
 12587, 83023,19410104,   35,    0
 12587, 83023,19410105,   18,    0
 12587, 83023,19410106,    0,    0
 12587, 83023,19410107,    0,    0
 12587, 83023,19410108,   22,    0
 12587, 83023,19410109,    0,    0
 12587, 83023,19410110,    0,    0
 12587, 83023,19410111,    0,    0
 12587, 83023,19410112,    0,    0
 12587, 83023,19410113,    0,    0
 12587, 83023,19410114,    0,    0
 12587, 83023,19410115,    0,    0
 12587, 83023,19410116,   18,    0
 12587, 83023,19410117,    0,    0
 12587, 83023,19410118,   48,    0
 12587, 83023,19410119,  126,    0
 12587, 83023,19410120,   82,    0
 12587, 83023,19410121,    0,    0
 12587, 83023,19410122,   26,    0
 12587, 83023,19410123,   25,    0
 12587, 83023,19410124,   35,    0
 12587, 83023,19410125,   76,    0
 12587, 83023,19410126,   18,    0
 12587, 83023,19410127,    0,    0
 12587, 83023,19410128,    0,    0
 12587, 83023,19410129,    0,    0
 12587, 83023,19410130,    0,    0
 12587, 83023,19410131,    4,    0
 12587, 83023,19410201,   64,    0
 12587, 83023,19410202,    0,    0
 12587, 83023,19410203,    0,    0
 12587, 83023,19410204,   52,    0
 12587, 83023,19410205,    4,    0
 12587, 83023,19410206,    0,    0
 12587, 83023,19410207,   41,    0
 12587, 83023,19410208,   23,    0
 12587, 83023,19410209,    0,    0
 12587, 83023,19410210,    5,    0
 12587, 83023,19410211,    0,    0
 12587, 83023,19410212,    0,    0
 12587, 83023,19410213,   29,    0
 12587, 83023,19410214,    0,    0
 12587, 83023,19410215,    0,    0
 12587, 83023,19410216,   32,    0
 12587, 83023,19410217,    0,    0
 12587, 83023,19410218,    0,    0
 12587, 83023,19410219,   16,    0
 12587, 83023,19410220,   49,    0
 12587, 83023,19410221,    0,    0
 12587, 83023,19410222,    9,    0
 12587, 83023,19410223,   37,    0
 12587, 83023,19410224,   38,    0
 12587, 83023,19410225,    0,    0
 12587, 83023,19410226,    0,    0
 12587, 83023,19410227,    0,    0
 12587, 83023,19410228,   35,    0
 12587, 83023,19410301,   98,    0
 12587, 83023,19410302,    0,    0
 12587, 83023,19410303,    5,    0
 12587, 83023,19410304,    0,    0
 12587, 83023,19410305,    0,    0
 12587, 83023,19410306,    0,    0
 12587, 83023,19410307,    0,    0
 12587, 83023,19410308,   26,    0
 12587, 83023,19410309,    0,    0
 12587, 83023,19410310,   36,    0
 12587, 83023,19410311,  122,    0
 12587, 83023,19410312,    0,    0
 12587, 83023,19410313,    0,    0
 12587, 83023,19410314,    0,    0
 12587, 83023,19410315,    0,    0
 12587, 83023,19410316,    0,    0
 12587, 83023,19410317,    0,    0
 12587, 83023,19410318,    0,    0
 12587, 83023,19410319,    0,    0
 12587, 83023,19410320,    0,    0
 12587, 83023,19410321,    0,    0
 12587, 83023,19410322,  166,    0
 12587, 83023,19410323,  168,    0
 12587, 83023,19410324,    0,    0
 12587, 83023,19410325,   16,    0
 12587, 83023,19410326,   13,    0
 12587, 83023,19410327,   24,    0
 12587, 83023,19410328,   62,    0
 12587, 83023,19410329,   21,    0
 12587, 83023,19410330,    0,    0
 12587, 83023,19410331,   46,    0
 12587, 83023,19410401,    0,    0
 12587, 83023,19410402,    0,    0
 12587, 83023,19410403,    0,    0
 12587, 83023,19410404,    0,    0
 12587, 83023,19410405,    0,    0
 12587, 83023,19410406,   19,    0
 12587, 83023,19410407,  152,    0
 12587, 83023,19410408,   53,    0
 12587, 83023,19410409,   14,    0
 12587, 83023,19410410,   11,    0
 12587, 83023,19410411,    0,    0
 12587, 83023,19410412,    0,    0
 12587, 83023,19410413,   87,    0
 12587, 83023,19410414,    0,    0
 12587, 83023,19410415,   10,    0
 12587, 83023,19410416,    0,    0
 12587, 83023,19410417,    0,    0
 12587, 83023,19410418,    0,    0
 12587, 83023,19410419,    0,    0
 12587, 83023,19410420,   19,    0
 12587, 83023,19410421,   57,    0
 12587, 83023,19410422,    0,    0
 12587, 83023,19410423,   17,    0
 12587, 83023,19410424,    0,    0
 12587, 83023,19410425,    4,    0
 12587, 83023,19410426,   91,    0
 12587, 83023,19410427,    0,    0
 12587, 83023,19410428,    0,    0
 12587, 83023,19410429,    0,    0
 12587, 83023,19410430,    0,    0
 12587, 83023,19410501,   25,    0
 12587, 83023,19410502,    5,    0
 12587, 83023,19410503,    0,    0
 12587, 83023,19410504,    0,    0
 12587, 83023,19410505,    0,    0
 12587, 83023,19410506,    0,    0
 12587, 83023,19410507,    0,    0
 12587, 83023,19410508,    0,    0
 12587, 83023,19410509,    0,    0
 12587, 83023,19410510,    0,    0
 12587, 83023,19410511,   16,    0
 12587, 83023,19410512,    0,    0
 12587, 83023,19410513,    0,    0
 12587, 83023,19410514,    0,    0
 12587, 83023,19410515,   62,    0
 12587, 83023,19410516,    0,    0
 12587, 83023,19410517,    0,    0
 12587, 83023,19410518,   36,    0
 12587, 83023,19410519,    0,    0
 12587, 83023,19410520,  134,    0
 12587, 83023,19410521,    7,    0
 12587, 83023,19410522,   10,    0
 12587, 83023,19410523,   29,    0
 12587, 83023,19410524,    0,    0
