EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station EMMINGEN-LIPTINGEN, GERMANY (STAID: 12652)
Blended and updated with sources:83153 83475 90413 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 12652, 83475,19310101,   96,    0
 12652, 83475,19310102,   21,    0
 12652, 83475,19310103,   18,    0
 12652, 83475,19310104,  119,    0
 12652, 83475,19310105,    0,    0
 12652, 83475,19310106,    0,    0
 12652, 83475,19310107,    0,    0
 12652, 83475,19310108,    0,    0
 12652, 83475,19310109,    0,    0
 12652, 83475,19310110,    0,    0
 12652, 83475,19310111,    0,    0
 12652, 83475,19310112,    0,    0
 12652, 83475,19310113,    0,    0
 12652, 83475,19310114,    0,    0
 12652, 83475,19310115,    0,    0
 12652, 83475,19310116,    0,    0
 12652, 83475,19310117,  124,    0
 12652, 83475,19310118,   23,    0
 12652, 83475,19310119,   49,    0
 12652, 83475,19310120,   45,    0
 12652, 83475,19310121,    0,    0
 12652, 83475,19310122,    0,    0
 12652, 83475,19310123,   21,    0
 12652, 83475,19310124,   98,    0
 12652, 83475,19310125,   87,    0
 12652, 83475,19310126,   60,    0
 12652, 83475,19310127,    3,    0
 12652, 83475,19310128,   29,    0
 12652, 83475,19310129,    9,    0
 12652, 83475,19310130,    0,    0
 12652, 83475,19310131,    0,    0
 12652, 83475,19310201,    0,    0
 12652, 83475,19310202,    0,    0
 12652, 83475,19310203,    0,    0
 12652, 83475,19310204,    2,    0
 12652, 83475,19310205,    2,    0
 12652, 83475,19310206,    5,    0
 12652, 83475,19310207,    0,    0
 12652, 83475,19310208,    0,    0
 12652, 83475,19310209,    0,    0
 12652, 83475,19310210,    0,    0
 12652, 83475,19310211,   30,    0
 12652, 83475,19310212,   70,    0
 12652, 83475,19310213,   20,    0
 12652, 83475,19310214,    8,    0
 12652, 83475,19310215,    0,    0
 12652, 83475,19310216,   19,    0
 12652, 83475,19310217,   51,    0
 12652, 83475,19310218,    0,    0
 12652, 83475,19310219,    0,    0
 12652, 83475,19310220,    0,    0
 12652, 83475,19310221,   47,    0
 12652, 83475,19310222,    0,    0
 12652, 83475,19310223,    0,    0
 12652, 83475,19310224,    0,    0
 12652, 83475,19310225,   17,    0
 12652, 83475,19310226,   29,    0
 12652, 83475,19310227,   34,    0
 12652, 83475,19310228,  101,    0
