EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TACHERTING-SPREIT, GERMANY (STAID: 12660)
Blended and updated with sources:83169 87999 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 12660, 87999,19310101,    0,    0
 12660, 87999,19310102,   28,    0
 12660, 87999,19310103,   12,    0
 12660, 87999,19310104,   71,    0
 12660, 87999,19310105,   21,    0
 12660, 87999,19310106,   10,    0
 12660, 87999,19310107,    0,    0
 12660, 87999,19310108,    0,    0
 12660, 87999,19310109,    0,    0
 12660, 87999,19310110,    0,    0
 12660, 87999,19310111,    0,    0
 12660, 87999,19310112,    0,    0
 12660, 87999,19310113,    0,    0
 12660, 87999,19310114,    0,    0
 12660, 87999,19310115,    0,    0
 12660, 87999,19310116,    2,    0
 12660, 87999,19310117,   22,    0
 12660, 87999,19310118,   36,    0
 12660, 87999,19310119,   82,    0
 12660, 87999,19310120,   69,    0
 12660, 87999,19310121,    2,    0
 12660, 87999,19310122,    0,    0
 12660, 87999,19310123,    2,    0
 12660, 87999,19310124,   40,    0
 12660, 87999,19310125,   42,    0
 12660, 87999,19310126,  162,    0
 12660, 87999,19310127,   34,    0
 12660, 87999,19310128,   21,    0
 12660, 87999,19310129,    8,    0
 12660, 87999,19310130,    0,    0
 12660, 87999,19310131,    0,    0
 12660, 87999,19310201,    2,    0
 12660, 87999,19310202,    0,    0
 12660, 87999,19310203,    0,    0
 12660, 87999,19310204,    0,    0
 12660, 87999,19310205,   23,    0
 12660, 87999,19310206,    0,    0
 12660, 87999,19310207,    0,    0
 12660, 87999,19310208,   20,    0
 12660, 87999,19310209,    0,    0
 12660, 87999,19310210,    0,    0
 12660, 87999,19310211,   22,    0
 12660, 87999,19310212,   67,    0
 12660, 87999,19310213,   92,    0
 12660, 87999,19310214,   57,    0
 12660, 87999,19310215,    4,    0
 12660, 87999,19310216,    0,    0
 12660, 87999,19310217,    0,    0
 12660, 87999,19310218,    0,    0
 12660, 87999,19310219,    0,    0
 12660, 87999,19310220,    0,    0
 12660, 87999,19310221,    0,    0
 12660, 87999,19310222,  189,    0
 12660, 87999,19310223,    8,    0
 12660, 87999,19310224,    0,    0
 12660, 87999,19310225,   10,    0
 12660, 87999,19310226,   66,    0
 12660, 87999,19310227,   47,    0
 12660, 87999,19310228,  105,    0
 12660, 87999,19310301,   33,    0
 12660, 87999,19310302,    0,    0
 12660, 87999,19310303,   50,    0
 12660, 87999,19310304,   45,    0
 12660, 87999,19310305,    0,    0
 12660, 87999,19310306,   12,    0
 12660, 87999,19310307,   20,    0
 12660, 87999,19310308,   10,    0
 12660, 87999,19310309,   10,    0
 12660, 87999,19310310,   73,    0
 12660, 87999,19310311,    0,    0
 12660, 87999,19310312,    0,    0
 12660, 87999,19310313,    0,    0
 12660, 87999,19310314,    0,    0
 12660, 87999,19310315,    0,    0
 12660, 87999,19310316,    0,    0
 12660, 87999,19310317,    0,    0
 12660, 87999,19310318,    0,    0
 12660, 87999,19310319,    0,    0
 12660, 87999,19310320,    0,    0
 12660, 87999,19310321,    7,    0
 12660, 87999,19310322,    6,    0
 12660, 87999,19310323,    0,    0
 12660, 87999,19310324,    0,    0
 12660, 87999,19310325,    0,    0
 12660, 87999,19310326,    0,    0
 12660, 87999,19310327,    0,    0
 12660, 87999,19310328,   50,    0
 12660, 87999,19310329,    0,    0
