EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ENGER, GERMANY (STAID: 12662)
Blended and updated with sources:83173 84589 87607 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 12662, 87607,19310101,  143,    0
 12662, 87607,19310102,  111,    0
 12662, 87607,19310103,    0,    0
 12662, 87607,19310104,    0,    0
 12662, 87607,19310105,   71,    0
 12662, 87607,19310106,    0,    0
 12662, 87607,19310107,    2,    0
 12662, 87607,19310108,    0,    0
 12662, 87607,19310109,    0,    0
 12662, 87607,19310110,    0,    0
 12662, 87607,19310111,   21,    0
 12662, 87607,19310112,   24,    0
 12662, 87607,19310113,   14,    0
 12662, 87607,19310114,   23,    0
 12662, 87607,19310115,   45,    0
 12662, 87607,19310116,  191,    0
 12662, 87607,19310117,  115,    0
 12662, 87607,19310118,   34,    0
 12662, 87607,19310119,   36,    0
 12662, 87607,19310120,    0,    0
 12662, 87607,19310121,    0,    0
 12662, 87607,19310122,    0,    0
 12662, 87607,19310123,   34,    0
 12662, 87607,19310124,   18,    0
 12662, 87607,19310125,   58,    0
 12662, 87607,19310126,   51,    0
 12662, 87607,19310127,    0,    0
 12662, 87607,19310128,   62,    0
 12662, 87607,19310129,   30,    0
 12662, 87607,19310130,    0,    0
 12662, 87607,19310131,    0,    0
 12662, 87607,19310201,    0,    0
 12662, 87607,19310202,    3,    0
 12662, 87607,19310203,    0,    0
 12662, 87607,19310204,    0,    0
 12662, 87607,19310205,    0,    0
 12662, 87607,19310206,    0,    0
 12662, 87607,19310207,    0,    0
 12662, 87607,19310208,    0,    0
 12662, 87607,19310209,    0,    0
 12662, 87607,19310210,   50,    0
 12662, 87607,19310211,   62,    0
 12662, 87607,19310212,   32,    0
 12662, 87607,19310213,    0,    0
 12662, 87607,19310214,   18,    0
 12662, 87607,19310215,    0,    0
 12662, 87607,19310216,   32,    0
 12662, 87607,19310217,    0,    0
 12662, 87607,19310218,    0,    0
 12662, 87607,19310219,    0,    0
 12662, 87607,19310220,    0,    0
 12662, 87607,19310221,    0,    0
 12662, 87607,19310222,    0,    0
 12662, 87607,19310223,    0,    0
 12662, 87607,19310224,    0,    0
 12662, 87607,19310225,   21,    0
 12662, 87607,19310226,   92,    0
 12662, 87607,19310227,   23,    0
 12662, 87607,19310228,    0,    0
 12662, 87607,19310301,    0,    0
 12662, 87607,19310302,    0,    0
 12662, 87607,19310303,    0,    0
 12662, 87607,19310304,    0,    0
 12662, 87607,19310305,    0,    0
 12662, 87607,19310306,    0,    0
 12662, 87607,19310307,    0,    0
 12662, 87607,19310308,   34,    0
 12662, 87607,19310309,    0,    0
 12662, 87607,19310310,   10,    0
 12662, 87607,19310311,    5,    0
 12662, 87607,19310312,    0,    0
 12662, 87607,19310313,    0,    0
 12662, 87607,19310314,    0,    0
 12662, 87607,19310315,    0,    0
 12662, 87607,19310316,    0,    0
 12662, 87607,19310317,    0,    0
 12662, 87607,19310318,    0,    0
 12662, 87607,19310319,    0,    0
 12662, 87607,19310320,    0,    0
 12662, 87607,19310321,   32,    0
 12662, 87607,19310322,   23,    0
 12662, 87607,19310323,   11,    0
 12662, 87607,19310324,    0,    0
 12662, 87607,19310325,    0,    0
 12662, 87607,19310326,    0,    0
 12662, 87607,19310327,    0,    0
 12662, 87607,19310328,    0,    0
 12662, 87607,19310329,    0,    0
 12662, 87607,19310330,    0,    0
 12662, 87607,19310331,    0,    0
 12662, 87607,19310401,    0,    0
 12662, 87607,19310402,    0,    0
 12662, 87607,19310403,    0,    0
 12662, 87607,19310404,   62,    0
 12662, 87607,19310405,   23,    0
 12662, 87607,19310406,    2,    0
 12662, 87607,19310407,    0,    0
 12662, 87607,19310408,    0,    0
 12662, 87607,19310409,    0,    0
 12662, 87607,19310410,   14,    0
 12662, 87607,19310411,   14,    0
 12662, 87607,19310412,   52,    0
 12662, 87607,19310413,   31,    0
 12662, 87607,19310414,   48,    0
 12662, 87607,19310415,    0,    0
 12662, 87607,19310416,   21,    0
 12662, 87607,19310417,   93,    0
 12662, 87607,19310418,   95,    0
 12662, 87607,19310419,   58,    0
 12662, 87607,19310420,    0,    0
 12662, 87607,19310421,    6,    0
 12662, 87607,19310422,    0,    0
 12662, 87607,19310423,    0,    0
 12662, 87607,19310424,    6,    0
 12662, 87607,19310425,   32,    0
 12662, 87607,19310426,   42,    0
 12662, 87607,19310427,   12,    0
 12662, 87607,19310428,   50,    0
 12662, 87607,19310429,   26,    0
 12662, 87607,19310430,    8,    0
 12662, 87607,19310501,    0,    0
 12662, 87607,19310502,    0,    0
 12662, 87607,19310503,    0,    0
 12662, 87607,19310504,    0,    0
 12662, 87607,19310505,    0,    0
 12662, 87607,19310506,    0,    0
 12662, 87607,19310507,  287,    0
 12662, 87607,19310508,   68,    0
 12662, 87607,19310509,   10,    0
 12662, 87607,19310510,    0,    0
 12662, 87607,19310511,    0,    0
 12662, 87607,19310512,    0,    0
 12662, 87607,19310513,    0,    0
 12662, 87607,19310514,    0,    0
 12662, 87607,19310515,   67,    0
 12662, 87607,19310516,    0,    0
 12662, 87607,19310517,    6,    0
 12662, 87607,19310518,    0,    0
 12662, 87607,19310519,    0,    0
 12662, 87607,19310520,    0,    0
 12662, 87607,19310521,    0,    0
 12662, 87607,19310522,    0,    0
 12662, 87607,19310523,    0,    0
 12662, 87607,19310524,    0,    0
 12662, 87607,19310525,   19,    0
 12662, 87607,19310526,    0,    0
 12662, 87607,19310527,    0,    0
 12662, 87607,19310528,    0,    0
 12662, 87607,19310529,    8,    0
 12662, 87607,19310530,  202,    0
 12662, 87607,19310531,    0,    0
 12662, 87607,19310601,    0,    0
 12662, 87607,19310602,   21,    0
 12662, 87607,19310603,   23,    0
 12662, 87607,19310604,    0,    0
 12662, 87607,19310605,    0,    0
 12662, 87607,19310606,   57,    0
 12662, 87607,19310607,   76,    0
 12662, 87607,19310608,  143,    0
 12662, 87607,19310609,    0,    0
 12662, 87607,19310610,  113,    0
 12662, 87607,19310611,    0,    0
 12662, 87607,19310612,    0,    0
 12662, 87607,19310613,    0,    0
 12662, 87607,19310614,   24,    0
 12662, 87607,19310615,    0,    0
 12662, 87607,19310616,    0,    0
 12662, 87607,19310617,   14,    0
 12662, 87607,19310618,   51,    0
 12662, 87607,19310619,   29,    0
 12662, 87607,19310620,    0,    0
 12662, 87607,19310621,    0,    0
 12662, 87607,19310622,    0,    0
 12662, 87607,19310623,    0,    0
 12662, 87607,19310624,    0,    0
 12662, 87607,19310625,    0,    0
 12662, 87607,19310626,    0,    0
 12662, 87607,19310627,    0,    0
 12662, 87607,19310628,    0,    0
 12662, 87607,19310629,    0,    0
 12662, 87607,19310630,    0,    0
 12662, 87607,19310701,    0,    0
 12662, 87607,19310702,    0,    0
 12662, 87607,19310703,    0,    0
 12662, 87607,19310704,    0,    0
 12662, 87607,19310705,  186,    0
 12662, 87607,19310706,  172,    0
 12662, 87607,19310707,   93,    0
 12662, 87607,19310708,   56,    0
 12662, 87607,19310709,    0,    0
 12662, 87607,19310710,    0,    0
 12662, 87607,19310711,    0,    0
 12662, 87607,19310712,   47,    0
 12662, 87607,19310713,    0,    0
 12662, 87607,19310714,    0,    0
 12662, 87607,19310715,   63,    0
 12662, 87607,19310716,   66,    0
 12662, 87607,19310717,  298,    0
 12662, 87607,19310718,   35,    0
 12662, 87607,19310719,   41,    0
 12662, 87607,19310720,  143,    0
 12662, 87607,19310721,    0,    0
 12662, 87607,19310722,    0,    0
 12662, 87607,19310723,    0,    0
 12662, 87607,19310724,    0,    0
 12662, 87607,19310725,   58,    0
 12662, 87607,19310726,    0,    0
 12662, 87607,19310727,    0,    0
 12662, 87607,19310728,    0,    0
 12662, 87607,19310729,    0,    0
 12662, 87607,19310730,    0,    0
 12662, 87607,19310731,    0,    0
 12662, 87607,19310801,    0,    0
 12662, 87607,19310802,    0,    0
 12662, 87607,19310803,    0,    0
 12662, 87607,19310804,    0,    0
 12662, 87607,19310805,   52,    0
 12662, 87607,19310806,  228,    0
 12662, 87607,19310807,    0,    0
 12662, 87607,19310808,   47,    0
 12662, 87607,19310809,    0,    0
 12662, 87607,19310810,  120,    0
 12662, 87607,19310811,   34,    0
 12662, 87607,19310812,  484,    0
 12662, 87607,19310813,   67,    0
 12662, 87607,19310814,   18,    0
 12662, 87607,19310815,    0,    0
 12662, 87607,19310816,   71,    0
 12662, 87607,19310817,   38,    0
 12662, 87607,19310818,    0,    0
 12662, 87607,19310819,   19,    0
 12662, 87607,19310820,   24,    0
 12662, 87607,19310821,   98,    0
 12662, 87607,19310822,   44,    0
 12662, 87607,19310823,    0,    0
 12662, 87607,19310824,   27,    0
 12662, 87607,19310825,    0,    0
 12662, 87607,19310826,    0,    0
 12662, 87607,19310827,    0,    0
 12662, 87607,19310828,    0,    0
 12662, 87607,19310829,    0,    0
 12662, 87607,19310830,    0,    0
 12662, 87607,19310831,    0,    0
 12662, 87607,19310901,    0,    0
 12662, 87607,19310902,    0,    0
 12662, 87607,19310903,   49,    0
 12662, 87607,19310904,   56,    0
 12662, 87607,19310905,   76,    0
 12662, 87607,19310906,    8,    0
 12662, 87607,19310907,    0,    0
 12662, 87607,19310908,    0,    0
 12662, 87607,19310909,    0,    0
 12662, 87607,19310910,    0,    0
 12662, 87607,19310911,   38,    0
 12662, 87607,19310912,    0,    0
 12662, 87607,19310913,    0,    0
 12662, 87607,19310914,    0,    0
 12662, 87607,19310915,    0,    0
 12662, 87607,19310916,    0,    0
 12662, 87607,19310917,    0,    0
 12662, 87607,19310918,    0,    0
 12662, 87607,19310919,    0,    0
 12662, 87607,19310920,    5,    0
 12662, 87607,19310921,   48,    0
 12662, 87607,19310922,    0,    0
 12662, 87607,19310923,    0,    0
 12662, 87607,19310924,    0,    0
 12662, 87607,19310925,    0,    0
 12662, 87607,19310926,    0,    0
 12662, 87607,19310927,   34,    0
 12662, 87607,19310928,    0,    0
 12662, 87607,19310929,    0,    0
 12662, 87607,19310930,    0,    0
 12662, 87607,19311001,    0,    0
 12662, 87607,19311002,    0,    0
 12662, 87607,19311003,   56,    0
 12662, 87607,19311004,    0,    0
 12662, 87607,19311005,    0,    0
 12662, 87607,19311006,    0,    0
 12662, 87607,19311007,   36,    0
 12662, 87607,19311008,    0,    0
 12662, 87607,19311009,    0,    0
 12662, 87607,19311010,    0,    0
 12662, 87607,19311011,    0,    0
 12662, 87607,19311012,   31,    0
 12662, 87607,19311013,    0,    0
 12662, 87607,19311014,    3,    0
 12662, 87607,19311015,    0,    0
 12662, 87607,19311016,    0,    0
 12662, 87607,19311017,    0,    0
 12662, 87607,19311018,    0,    0
 12662, 87607,19311019,    0,    0
 12662, 87607,19311020,   44,    0
 12662, 87607,19311021,    0,    0
 12662, 87607,19311022,    0,    0
 12662, 87607,19311023,    0,    0
 12662, 87607,19311024,    0,    0
 12662, 87607,19311025,    0,    0
 12662, 87607,19311026,    0,    0
 12662, 87607,19311027,   23,    0
 12662, 87607,19311028,  183,    0
 12662, 87607,19311029,   72,    0
 12662, 87607,19311030,   78,    0
 12662, 87607,19311031,    5,    0
 12662, 87607,19311101,    0,    0
 12662, 87607,19311102,    0,    0
 12662, 87607,19311103,    0,    0
 12662, 87607,19311104,    0,    0
 12662, 87607,19311105,    0,    0
 12662, 87607,19311106,    0,    0
 12662, 87607,19311107,    0,    0
 12662, 87607,19311108,    0,    0
 12662, 87607,19311109,    0,    0
 12662, 87607,19311110,   30,    0
 12662, 87607,19311111,    0,    0
 12662, 87607,19311112,    0,    0
 12662, 87607,19311113,    0,    0
 12662, 87607,19311114,    0,    0
 12662, 87607,19311115,    0,    0
 12662, 87607,19311116,    0,    0
 12662, 87607,19311117,    0,    0
 12662, 87607,19311118,    0,    0
