EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRIESACK, GERMANY (STAID: 12828)
Blended and updated with sources:83505 85219 85307 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 12828, 85307,19510101,    0,    0
 12828, 85307,19510102,    0,    0
 12828, 85307,19510103,    0,    0
 12828, 85307,19510104,    0,    0
 12828, 85307,19510105,    0,    0
 12828, 85307,19510106,   80,    0
 12828, 85307,19510107,   61,    0
 12828, 85307,19510108,   41,    0
 12828, 85307,19510109,   46,    0
 12828, 85307,19510110,    0,    0
 12828, 85307,19510111,   17,    0
 12828, 85307,19510112,    0,    0
 12828, 85307,19510113,    0,    0
 12828, 85307,19510114,   55,    0
 12828, 85307,19510115,  113,    0
 12828, 85307,19510116,   76,    0
 12828, 85307,19510117,    0,    0
 12828, 85307,19510118,    0,    0
 12828, 85307,19510119,    0,    0
 12828, 85307,19510120,    0,    0
 12828, 85307,19510121,    0,    0
 12828, 85307,19510122,    0,    0
 12828, 85307,19510123,    0,    0
 12828, 85307,19510124,    0,    0
 12828, 85307,19510125,    0,    0
 12828, 85307,19510126,    0,    0
 12828, 85307,19510127,    0,    0
 12828, 85307,19510128,    0,    0
 12828, 85307,19510129,    0,    0
 12828, 85307,19510130,    0,    0
 12828, 85307,19510131,    0,    0
 12828, 85307,19510201,    0,    0
 12828, 85307,19510202,    0,    0
 12828, 85307,19510203,    0,    0
 12828, 85307,19510204,    0,    0
 12828, 85307,19510205,   45,    0
 12828, 85307,19510206,    0,    0
 12828, 85307,19510207,    0,    0
 12828, 85307,19510208,    0,    0
 12828, 85307,19510209,    0,    0
 12828, 85307,19510210,    0,    0
 12828, 85307,19510211,    0,    0
 12828, 85307,19510212,  102,    0
 12828, 85307,19510213,    0,    0
 12828, 85307,19510214,    0,    0
 12828, 85307,19510215,    0,    0
 12828, 85307,19510216,    0,    0
 12828, 85307,19510217,   96,    0
 12828, 85307,19510218,    0,    0
 12828, 85307,19510219,   17,    0
 12828, 85307,19510220,    0,    0
 12828, 85307,19510221,   25,    0
 12828, 85307,19510222,    0,    0
 12828, 85307,19510223,   20,    0
 12828, 85307,19510224,    0,    0
 12828, 85307,19510225,    0,    0
 12828, 85307,19510226,    0,    0
 12828, 85307,19510227,    0,    0
 12828, 85307,19510228,    0,    0
 12828, 85307,19510301,   35,    0
 12828, 85307,19510302,    0,    0
 12828, 85307,19510303,    0,    0
 12828, 85307,19510304,    0,    0
 12828, 85307,19510305,    0,    0
 12828, 85307,19510306,    0,    0
 12828, 85307,19510307,    0,    0
 12828, 85307,19510308,    0,    0
 12828, 85307,19510309,    0,    0
 12828, 85307,19510310,    0,    0
 12828, 85307,19510311,    5,    0
 12828, 85307,19510312,    0,    0
 12828, 85307,19510313,    0,    0
 12828, 85307,19510314,    1,    0
 12828, 85307,19510315,   16,    0
 12828, 85307,19510316,    3,    0
 12828, 85307,19510317,   68,    0
 12828, 85307,19510318,   64,    0
 12828, 85307,19510319,   86,    0
 12828, 85307,19510320,   21,    0
 12828, 85307,19510321,    0,    0
 12828, 85307,19510322,  101,    0
 12828, 85307,19510323,   51,    0
 12828, 85307,19510324,    9,    0
 12828, 85307,19510325,    0,    0
 12828, 85307,19510326,    0,    0
 12828, 85307,19510327,   79,    0
 12828, 85307,19510328,    4,    0
 12828, 85307,19510329,    0,    0
 12828, 85307,19510330,    0,    0
 12828, 85307,19510331,    7,    0
 12828, 85307,19510401,    0,    0
 12828, 85307,19510402,    7,    0
 12828, 85307,19510403,    4,    0
 12828, 85307,19510404,    9,    0
 12828, 85307,19510405,    0,    0
 12828, 85307,19510406,    0,    0
 12828, 85307,19510407,    4,    0
 12828, 85307,19510408,    9,    0
 12828, 85307,19510409,    0,    0
 12828, 85307,19510410,   57,    0
 12828, 85307,19510411,    0,    0
 12828, 85307,19510412,    0,    0
 12828, 85307,19510413,    0,    0
 12828, 85307,19510414,    8,    0
 12828, 85307,19510415,    8,    0
 12828, 85307,19510416,    0,    0
 12828, 85307,19510417,    0,    0
