EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GEORGENSGMUEND, GERMANY (STAID: 12904)
Blended and updated with sources:81439 83657 84611 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 12904, 84611,19310101,   34,    0
 12904, 84611,19310102,   12,    0
 12904, 84611,19310103,   68,    0
 12904, 84611,19310104,   41,    0
 12904, 84611,19310105,    0,    0
 12904, 84611,19310106,    0,    0
 12904, 84611,19310107,    0,    0
 12904, 84611,19310108,    0,    0
 12904, 84611,19310109,    0,    0
 12904, 84611,19310110,    0,    0
 12904, 84611,19310111,    0,    0
 12904, 84611,19310112,    0,    0
 12904, 84611,19310113,    0,    0
 12904, 84611,19310114,    0,    0
 12904, 84611,19310115,    0,    0
 12904, 84611,19310116,   45,    0
 12904, 84611,19310117,   25,    0
 12904, 84611,19310118,   23,    0
 12904, 84611,19310119,   75,    0
 12904, 84611,19310120,   54,    0
 12904, 84611,19310121,    0,    0
 12904, 84611,19310122,    0,    0
 12904, 84611,19310123,   27,    0
 12904, 84611,19310124,   77,    0
 12904, 84611,19310125,   24,    0
 12904, 84611,19310126,   15,    0
 12904, 84611,19310127,   18,    0
 12904, 84611,19310128,   21,    0
 12904, 84611,19310129,    5,    0
 12904, 84611,19310130,    0,    0
 12904, 84611,19310131,    0,    0
 12904, 84611,19310201,    0,    0
 12904, 84611,19310202,    0,    0
 12904, 84611,19310203,    0,    0
 12904, 84611,19310204,   28,    0
 12904, 84611,19310205,   12,    0
 12904, 84611,19310206,    7,    0
 12904, 84611,19310207,   15,    0
 12904, 84611,19310208,    7,    0
 12904, 84611,19310209,    0,    0
 12904, 84611,19310210,    0,    0
 12904, 84611,19310211,    9,    0
 12904, 84611,19310212,    0,    0
 12904, 84611,19310213,    0,    0
 12904, 84611,19310214,   45,    0
 12904, 84611,19310215,    0,    0
 12904, 84611,19310216,    0,    0
 12904, 84611,19310217,    0,    0
 12904, 84611,19310218,    0,    0
 12904, 84611,19310219,    0,    0
 12904, 84611,19310220,    0,    0
 12904, 84611,19310221,   65,    0
 12904, 84611,19310222,   23,    0
 12904, 84611,19310223,    0,    0
 12904, 84611,19310224,    0,    0
 12904, 84611,19310225,   21,    0
 12904, 84611,19310226,   25,    0
 12904, 84611,19310227,   15,    0
 12904, 84611,19310228,   71,    0
